data,valor
10/1964,10000.00
11/1964,10000.00
12/1964,10000.00
01/1965,11300.00
02/1965,11300.00
03/1965,11300.00
04/1965,13400.00
05/1965,13400.00
06/1965,13400.00
07/1965,15200.00
08/1965,15200.00
09/1965,15700.00
10/1965,15900.00
11/1965,16050.00
12/1965,16300.00
01/1966,16600.00
02/1966,17050.00
03/1966,17300.00
04/1966,17600.00
05/1966,18280.00
06/1966,19090.00
07/1966,19870.00
08/1966,20430.00
09/1966,21010.00
10/1966,21610.00
11/1966,22180.00
12/1966,22690.00
01/1967,23230.00
02/1967,23.78
03/1967,24.28
04/1967,24.64
05/1967,25.01
06/1967,25.46
07/1967,26.18
08/1967,26.84
09/1967,27.25
10/1967,27.38
11/1967,27.57
12/1967,27.96
01/1968,28.48
02/1968,28.98
03/1968,29.40
04/1968,29.83
05/1968,30.39
06/1968,31.20
07/1968,32.09
08/1968,32.81
09/1968,33.41
10/1968,33.88
11/1968,34.39
12/1968,34.95
01/1969,35.62
02/1969,36.27
03/1969,36.91
04/1969,37.43
05/1969,38.01
06/1969,38.48
07/1969,39.00
08/1969,39.27
09/1969,39.56
10/1969,39.92
11/1969,40.57
12/1969,41.42
01/1970,42.35
02/1970,43.30
03/1970,44.17
04/1970,44.67
05/1970,45.08
06/1970,45.50
07/1970,46.20
08/1970,46.61
09/1970,47.05
10/1970,47.61
11/1970,48.51
12/1970,49.54
01/1971,50.51
02/1971,51.44
03/1971,52.12
04/1971,52.64
05/1971,53.25
06/1971,54.01
07/1971,55.08
08/1971,56.18
09/1971,57.36
10/1971,58.61
11/1971,59.79
12/1971,60.77
01/1972,61.52
02/1972,62.26
03/1972,63.09
04/1972,63.81
05/1972,64.66
06/1972,65.75
07/1972,66.93
08/1972,67.89
09/1972,68.46
10/1972,68.95
11/1972,69.61
12/1972,70.07
01/1973,70.87
02/1973,71.57
03/1973,72.32
04/1973,73.19
05/1973,74.03
06/1973,74.97
07/1973,75.80
08/1973,76.48
09/1973,77.12
10/1973,77.87
11/1973,78.40
12/1973,79.07
01/1974,80.62
02/1974,81.47
03/1974,82.69
04/1974,83.73
05/1974,85.10
06/1974,86.91
07/1974,89.80
08/1974,93.75
09/1974,98.22
10/1974,101.90
11/1974,104.10
12/1974,105.41
01/1975,106.76
02/1975,108.38
03/1975,110.18
04/1975,112.25
05/1975,114.49
06/1975,117.13
07/1975,119.27
08/1975,121.31
09/1975,123.20
10/1975,125.70
11/1975,128.43
12/1975,130.93
01/1976,133.34
02/1976,135.90
03/1976,138.94
04/1976,142.24
05/1976,145.83
06/1976,150.17
07/1976,154.60
08/1976,158.55
09/1976,162.97
10/1976,166.33
11/1976,174.40
12/1976,179.68
01/1977,183.65
02/1977,186.83
03/1977,190.51
04/1977,194.83
05/1977,200.45
06/1977,206.90
07/1977,213.80
08/1977,219.51
09/1977,224.01
10/1977,227.15
11/1977,230.30
12/1977,233.74
01/1978,238.32
02/1978,243.35
03/1978,248.99
04/1978,255.41
05/1978,262.87
06/1978,270.88
07/1978,279.04
08/1978,287.58
09/1978,295.57
10/1978,303.29
11/1978,310.49
12/1978,318.44
01/1979,326.82
02/1979,334.20
03/1979,341.97
04/1979,350.51
05/1979,363.64
06/1979,377.54
07/1979,390.10
08/1979,400.71
09/1979,412.24
10/1979,428.80
11/1979,448.47
12/1979,468.71
01/1980,487.83
02/1980,508.33
03/1980,527.14
04/1980,546.64
05/1980,566.86
06/1980,586.13
07/1980,604.89
08/1980,624.25
09/1980,644.23
10/1980,663.56
11/1980,684.79
12/1980,706.70
01/1981,738.50
02/1981,775.43
03/1981,825.83
04/1981,877.86
05/1981,930.53
06/1981,986.36
07/1981,1045.54
08/1981,1108.27
09/1981,1172.55
10/1981,1239.39
11/1981,1310.04
12/1981,1382.09
01/1982,1453.96
02/1982,1526.66
03/1982,1602.99
04/1982,1683.14
05/1982,1775.71
06/1982,1873.37
07/1982,1976.41
08/1982,2094.99
09/1982,2241.64
10/1982,2398.55
11/1982,2566.45
12/1982,2733.27
01/1983,2910.93
02/1983,3085.59
03/1983,3292.32
04/1983,3588.63
05/1983,3911.61
06/1983,4224.54
07/1983,4554.05
08/1983,4963.91
09/1983,5385.84
10/1983,5897.49
11/1983,6469.55
12/1983,7012.99
01/1984,7545.98
02/1984,8295.49
03/1984,9304.61
04/1984,10235.07
05/1984,11145.99
06/1984,12137.98
07/1984,13254.67
08/1984,14619.90
09/1984,16169.61
10/1984,17867.42
11/1984,20118.71
12/1984,22110.46
01/1985,24432.06
02/1985,27510.50
03/1985,30316.57
04/1985,34166.77
05/1985,38208.46
06/1985,42031.56
07/1985,45901.91
08/1985,49396.88
09/1985,53437.40
10/1985,58300.20
11/1985,63547.22
12/1985,70613.67
01/1986,80047.66
02/1986,93039.40
03/1986,106.40
04/1986,106.40
05/1986,106.40
06/1986,106.40
07/1986,106.40
08/1986,106.40
09/1986,106.40
10/1986,106.40
11/1986,106.40
12/1986,106.40
01/1987,106.40
02/1987,106.40
03/1987,181.61
04/1987,207.97
05/1987,251.56
06/1987,310.53
07/1987,366.49
08/1987,377.67
09/1987,401.69
10/1987,424.51
11/1987,463.48
12/1987,522.99
01/1988,596.94
02/1988,695.50
03/1988,820.42
04/1988,951.77
05/1988,1135.27
06/1988,1337.12
07/1988,1598.26
08/1988,1982.48
09/1988,2392.06
10/1988,2966.39
11/1988,3774.73
12/1988,4790.89
01/1989,6170.19
