http://www.ipeadata.gov.br/
data,valor
01/1974,1.46
02/1974,1.15
03/1974,1.16
04/1974,1.21
05/1974,1.24
06/1974,1.51
07/1974,1.62
08/1974,1.00
09/1974,1.38
10/1974,1.12
11/1974,1.46
12/1974,1.73
01/1975,1.79
02/1975,1.60
03/1975,1.03
04/1975,1.19
05/1975,1.46
06/1975,1.76
07/1975,1.65
08/1975,1.60
09/1975,1.57
10/1975,1.95
11/1975,2.35
12/1975,1.99
01/1976,2.36
02/1976,2.58
03/1976,2.53
04/1976,3.02
05/1976,2.59
06/1976,2.62
07/1976,3.36
08/1976,2.80
09/1976,3.33
10/1976,3.19
11/1976,2.97
12/1976,3.62
01/1977,3.45
02/1977,3.27
03/1977,3.14
04/1977,2.64
05/1977,2.21
06/1977,3.09
07/1977,3.29
08/1977,2.67
09/1977,3.49
10/1977,2.02
11/1977,2.09
12/1977,4.20
01/1978,3.60
02/1978,2.93
03/1978,2.98
04/1978,3.21
05/1978,2.51
06/1978,2.91
07/1978,3.70
08/1978,2.28
09/1978,3.60
10/1978,3.05
11/1978,3.40
12/1978,4.58
01/1979,3.66
02/1979,3.43
03/1979,3.91
04/1979,3.63
05/1979,2.86
06/1979,2.77
07/1979,1.89
08/1979,2.50
09/1979,3.51
10/1979,2.21
11/1979,2.08
12/1979,3.57
01/1980,2.95
02/1980,2.47
03/1980,3.57
04/1980,1.95
05/1980,2.03
06/1980,2.45
07/1980,3.21
08/1980,3.04
09/1980,3.43
10/1980,3.96
11/1980,4.04
12/1980,5.65
01/1981,5.29
02/1981,4.80
03/1981,5.05
04/1981,4.52
05/1981,5.70
06/1981,4.75
07/1981,5.60
08/1981,5.89
09/1981,5.60
10/1981,6.02
11/1981,5.50
12/1981,6.83
01/1982,6.02
02/1982,5.31
03/1982,6.56
04/1982,5.90
05/1982,6.13
06/1982,6.14
07/1982,6.61
08/1982,7.58
09/1982,6.76
10/1982,7.31
11/1982,8.15
12/1982,8.76
01/1983,7.00
02/1983,6.75
03/1983,9.43
04/1983,11.02
05/1983,11.00
06/1983,11.45
07/1983,10.65
08/1983,10.14
09/1983,9.15
10/1983,9.67
11/1983,9.39
12/1983,9.41
01/1984,10.29
02/1984,12.14
03/1984,11.26
04/1984,10.12
05/1984,9.77
06/1984,10.17
07/1984,12.06
08/1984,10.81
09/1984,11.89
10/1984,12.89
11/1984,10.86
12/1984,11.57
01/1985,13.94
02/1985,11.96
03/1985,13.09
04/1985,13.27
05/1985,12.31
06/1985,10.73
07/1985,10.03
08/1985,9.43
09/1985,10.46
10/1985,10.67
11/1985,10.46
12/1985,13.96
01/1986,16.67
02/1986,14.54
03/1986,1.18
04/1986,1.25
05/1986,1.22
06/1986,1.27
07/1986,1.95
08/1986,2.57
09/1986,2.94
10/1986,1.96
11/1986,2.37
12/1986,5.47
01/1987,11.00
02/1987,19.61
03/1987,11.95
04/1987,15.30
05/1987,24.63
06/1987,18.02
07/1987,8.91
08/1987,8.09
09/1987,7.99
10/1987,9.45
11/1987,12.92
12/1987,14.38
01/1988,16.78
02/1988,18.35
03/1988,16.59
04/1988,20.25
05/1988,18.65
06/1988,20.17
07/1988,24.69
08/1988,22.63
09/1988,26.25
10/1988,29.79
11/1988,28.41
12/1988,30.24
01/1989,22.97
02/1989,18.95
03/1989,20.41
04/1989,11.52
05/1989,11.43
06/1989,27.29
07/1989,33.15
08/1989,35.49
09/1989,38.58
10/1989,47.70
11/1989,48.41
12/1989,64.21
01/1990,67.60
02/1990,82.04
03/1990,36.76
04/1990,4.23
05/1990,5.69
06/1990,8.73
07/1990,13.79
08/1990,11.53
09/1990,15.21
10/1990,16.49
11/1990,19.83
12/1990,22.86
01/1991,21.02
02/1991,6.85
03/1991,8.99
04/1991,9.67
05/1991,9.56
06/1991,10.32
07/1991,12.39
08/1991,15.75
09/1991,19.78
10/1991,25.95
11/1991,32.43
12/1991,31.17
01/1992,29.06
02/1992,28.76
03/1992,26.86
04/1992,23.92
05/1992,23.00
06/1992,24.28
07/1992,26.21
08/1992,25.65
09/1992,27.66
10/1992,28.18
11/1992,26.40
12/1992,25.92
01/1993,28.52
02/1993,28.90
03/1993,28.36
04/1993,30.53
05/1993,30.90
06/1993,31.91
07/1993,32.73
08/1993,34.64
09/1993,37.23
10/1993,38.40
11/1993,38.38
12/1993,40.38
01/1994,42.76
02/1994,41.99
03/1994,46.42
04/1994,46.49
05/1994,47.95
06/1994,50.62
07/1994,6.87
08/1994,4.17
09/1994,3.83
10/1994,3.62
11/1994,4.07
12/1994,3.80
01/1995,3.37
02/1995,3.25
03/1995,4.26
04/1995,4.26
05/1995,4.25
06/1995,4.04
07/1995,4.02
08/1995,3.84
09/1995,3.32
10/1995,3.09
11/1995,2.88
12/1995,2.78
01/1996,2.58
02/1996,2.35
03/1996,2.22
04/1996,2.07
05/1996,2.01
06/1996,1.98
07/1996,1.93
08/1996,1.97
09/1996,1.90
10/1996,1.86
11/1996,1.80
12/1996,1.80
01/1997,1.73
02/1997,1.67
03/1997,1.64
04/1997,1.66
05/1997,1.58
06/1997,1.61
07/1997,1.60
08/1997,1.59
09/1997,1.59
10/1997,1.67
11/1997,3.04
12/1997,2.97
01/1998,2.67
02/1998,2.13
03/1998,2.20
04/1998,1.71
05/1998,1.63
06/1998,1.60
07/1998,1.70
08/1998,1.48
09/1998,2.49
10/1998,2.94
11/1998,2.63
12/1998,2.40
01/1999,2.18
02/1999,2.38
03/1999,3.33
04/1999,2.35
05/1999,2.02
06/1999,1.67
07/1999,1.66
08/1999,1.57
09/1999,1.49
10/1999,1.38
11/1999,1.39
12/1999,1.60
01/2000,1.46
02/2000,1.45
03/2000,1.45
04/2000,1.30
05/2000,1.49
06/2000,1.39
07/2000,1.31
08/2000,1.41
09/2000,1.22
10/2000,1.29
11/2000,1.22
12/2000,1.20
01/2001,1.27
02/2001,1.02
03/2001,1.26
04/2001,1.19
05/2001,1.34
06/2001,1.27
07/2001,1.50
08/2001,1.60
09/2001,1.32
10/2001,1.53
11/2001,1.39
12/2001,1.39
01/2002,1.53
02/2002,1.25
03/2002,1.37
04/2002,1.48
05/2002,1.41
06/2002,1.33
07/2002,1.54
08/2002,1.44
09/2002,1.38
10/2002,1.65
11/2002,1.54
12/2002,1.74
01/2003,1.97
02/2003,1.83
03/2003,1.78
04/2003,1.87
05/2003,1.97
06/2003,1.86
07/2003,2.08
08/2003,1.77
09/2003,1.68
10/2003,1.64
11/2003,1.34
12/2003,1.37
01/2004,1.27
02/2004,1.08
03/2004,1.38
04/2004,1.18
05/2004,1.23
06/2004,1.23
07/2004,1.29
08/2004,1.29
09/2004,1.25
10/2004,1.21
11/2004,1.25
12/2004,1.48
01/2005,1.38
02/2005,1.22
03/2005,1.53
04/2005,1.41
05/2005,1.50
06/2005,1.59
07/2005,1.51
08/2005,1.66
09/2005,1.50
10/2005,1.41
11/2005,1.38
12/2005,1.47
01/2006,1.43
02/2006,1.15
03/2006,1.42
04/2006,1.08
05/2006,1.28
06/2006,1.18
07/2006,1.17
08/2006,1.26
09/2006,1.06
10/2006,1.09
11/2006,1.02
12/2006,0.99
01/2007,1.08
02/2007,0.87
03/2007,1.05
04/2007,0.94
05/2007,1.03
06/2007,0.91
07/2007,0.97
08/2007,0.99
09/2007,0.80
10/2007,0.93
11/2007,0.84
12/2007,0.84
01/2008,0.93
02/2008,0.80
03/2008,0.84
04/2008,0.90
05/2008,0.88
06/2008,0.96
07/2008,1.07
08/2008,1.02
09/2008,1.10
10/2008,1.18
11/2008,1.02
12/2008,1.12
01/2009,1.05
02/2009,0.86
03/2009,0.97
04/2009,0.84
05/2009,0.77
06/2009,0.76
07/2009,0.79
08/2009,0.69
09/2009,0.69
10/2009,0.69
11/2009,0.66
12/2009,0.73
01/2010,0.66
02/2010,0.59
03/2010,0.76
04/2010,0.67
05/2010,0.75
06/2010,0.79
07/2010,0.86
08/2010,0.89
09/2010,0.85
10/2010,0.81
11/2010,0.81
12/2010,0.93
01/2011,0.86
02/2011,0.84
03/2011,0.92
04/2011,0.84
05/2011,0.99
06/2011,0.96
07/2011,0.97
08/2011,1.07
09/2011,0.94
10/2011,0.88
11/2011,0.86
12/2011,0.91
01/2012,0.89
02/2012,0.75
03/2012,0.82
04/2012,0.71
05/2012,0.74
06/2012,0.64
07/2012,0.68
08/2012,0.69
09/2012,0.54
10/2012,0.61
11/2012,0.55
12/2012,0.55
01/2013,0.60
02/2013,0.49
03/2013,0.55
04/2013,0.61
05/2013,0.60
06/2013,0.61
07/2013,0.72
08/2013,0.71
09/2013,0.71
10/2013,0.81
11/2013,0.72
12/2013,0.79
01/2014,0.85
02/2014,0.79
03/2014,0.77
04/2014,0.82
05/2014,0.87
06/2014,0.82
07/2014,0.95
08/2014,0.87
09/2014,0.91
10/2014,0.95
11/2014,0.84
12/2014,0.96
01/2015,0.94
02/2015,0.82
03/2015,1.04
04/2015,0.95
05/2015,0.99
06/2015,1.07
07/2015,1.18
08/2015,1.11
09/2015,1.11
10/2015,1.11
11/2015,1.06
12/2015,1.16
01/2016,1.06
02/2016,1.00
03/2016,1.16
04/2016,1.06
05/2016,1.11
06/2016,1.16
07/2016,1.11
08/2016,1.22
09/2016,1.11
10/2016,1.05
11/2016,1.04
12/2016,1.12
01/2017,1.09
02/2017,0.87
03/2017,1.05
04/2017,0.79
