IBOVESPA - 2017
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;64.836,12;66.988,87;;;62.288,52;;66.516,23;71.923,11;;73.823,74;72.264,45
2;59.588,70;64.578,21;65.854,93;;66.721,74;62.510,69;;67.135,99;;74.359,82;;
3;61.813,83;64.953,93;66.785,53;65.211,47;66.093,78;;63.279,58;66.777,13;;76.762,91;73.915,42;
4;61.589,05;;;65.768,91;64.862,60;;63.231,59;66.897,98;72.128,83;76.591,44;;73.090,17
5;62.070,98;;;64.774,76;65.709,73;62.450,45;63.154,17;;72.150,87;76.617,52;;72.546,17
6;61.665,36;63.992,93;66.341,36;64.222,72;;62.954,69;62.470,33;;73.412,41;76.054,71;74.310,79;73.268,35
7;;64.198,89;65.742,32;64.593,10;;63.170,73;62.322,40;67.939,65;;;72.414,87;72.487,46
8;;64.835,40;64.718,01;;65.526,04;62.755,57;;67.898,93;73.078,85;;74.363,13;72.731,84
9;61.700,29;64.964,88;64.585,23;;66.277,67;62.210,55;;67.671,06;;75.726,80;72.930,69;
10;62.131,80;66.124,52;64.675,46;64.649,81;67.349,72;;63.025,46;66.992,08;;76.897,20;72.165,63;
11;62.446,26;;;64.359,79;67.537,61;;63.832,15;67.358,58;74.319,21;76.659,80;;72.800,04
12;63.953,93;;;63.891,67;68.221,94;61.700,23;64.835,55;;74.538,55;;;73.813,53
13;63.651,51;66.967,64;65.534,30;62.826,28;;61.828,99;65.178,34;;74.787,56;76.989,78;72.475,17;72.914,33
14;;66.712,88;64.699,46;;;61.922,92;65.436,17;68.284,66;74.656,68;;70.826,59;72.428,93
15;;67.975,58;66.234,87;;68.474,18;;;68.355,12;75.756,51;;;72.607,70
16;63.831,27;67.814,24;65.782,85;;68.684,49;61.626,41;;68.594,29;;76.891,83;72.511,79;
17;64.354,33;67.748,41;64.209,93;64.334,92;67.540,25;;65.212,31;67.976,79;;76.201,25;73.437,28;
18;64.149,57;;;64.158,84;61.597,05;;65.337,66;68.714,65;75.990,40;76.591,09;;73.115,45
19;63.950,86;;;63.406,97;62.639,30;62.014,03;65.179,92;;75.974,18;76.283,16;;72.680,37
20;64.521,18;68.532,85;64.884,26;63.760,62;;60.766,15;64.938,01;;76.004,15;76.390,51;;73.367,03
21;;69.052,02;62.980,37;;;60.761,74;64.684,18;68.634,64;75.604,34;;74.594,61;75.133,43
22;;68.589,54;63.521,33;;61.673,49;61.272,21;;70.011,25;75.389,75;;74.518,79;75.186,53
23;65.748,62;67.461,39;63.530,78;;62.662,48;61.087,13;;70.477,63;;75.413,13;74.486,58;
24;65.840,09;66.662,10;63.853,77;64.389,01;63.257,35;;65.099,55;71.132,79;;76.350,19;74.157,37;
25;;;;65.148,34;63.226,78;;65.667,62;71.073,65;74.443,47;76.671,13;;
26;66.190,62;;;64.861,92;64.085,41;62.188,08;65.010,57;;74.318,72;75.896,35;;75.707,73
27;66.033,98;;64.308,38;64.676,55;;61.675,46;65.277,38;;73.796,71;75.975,71;74.058,92;76.072,54
28;;;64.640,45;65.403,24;;62.017,97;65.497,12;71.016,59;73.567,24;;74.139,72;76.402,08
29;;;65.528,28;;63.760,94;62.238,95;;71.329,85;74.293,50;;72.700,45;
30;64.301,73;;65.265,98;;63.962,26;62.899,97;;70.886,25;;74.800,33;71.970,99;
31;64.670,78;;64.984,06;;62.711,47;;65.920,36;70.835,05;;74.308,49;;
MÍNIMO;59.588,70;63.992,93;62.980,37;62.826,28;61.597,05;60.761,74;62.322,40;66.516,23;71.923,11;74.308,49;70.826,59;72.264,45
MÍNIMO;66.190,62;69.052,02;66.988,87;65.768,91;68.684,49;63.170,73;65.920,36;71.329,85;76.004,15;76.989,78;74.594,61;76.402,08
