date,dayup,nindex,perc
01/1980,9,0.00,6.62
02/1980,9,0.00,4.62
03/1980,9,0.00,6.04
04/1980,9,0.00,5.29
05/1980,9,0.00,5.70
06/1980,9,0.00,5.31
07/1980,9,0.00,5.55
08/1980,9,0.00,4.95
09/1980,9,0.00,4.23
10/1980,9,0.00,9.48
11/1980,9,0.00,6.67
12/1980,9,0.00,6.61
01/1981,9,0.00,6.84
02/1981,9,0.00,6.40
03/1981,9,0.00,4.97
04/1981,9,0.00,6.46
05/1981,9,0.00,5.56
06/1981,9,0.00,5.52
07/1981,9,0.00,6.26
08/1981,9,0.00,5.50
09/1981,9,0.00,5.26
10/1981,9,0.00,5.08
11/1981,9,0.00,5.27
12/1981,9,0.00,5.93
01/1982,9,0.00,6.97
02/1982,9,0.00,6.64
03/1982,9,0.00,5.71
04/1982,9,0.00,5.89
05/1982,9,0.00,6.66
06/1982,9,0.00,7.10
07/1982,9,0.00,6.36
08/1982,9,0.00,5.97
09/1982,9,0.00,5.08
10/1982,9,0.00,4.44
11/1982,9,0.00,5.29
12/1982,9,0.00,7.81
01/1983,9,0.00,8.64
02/1983,9,0.00,7.86
03/1983,9,0.00,7.34
04/1983,9,0.00,6.58
05/1983,9,0.00,6.48
06/1983,9,0.00,9.88
07/1983,9,0.00,10.08
08/1983,9,0.00,9.11
09/1983,9,0.00,10.30
10/1983,9,0.00,8.87
11/1983,9,0.00,7.38
12/1983,9,0.00,8.68
01/1984,9,0.00,9.67
02/1984,9,0.00,9.50
03/1984,9,0.00,8.94
04/1984,9,0.00,9.54
05/1984,9,0.00,9.05
06/1984,9,0.00,10.08
07/1984,9,0.00,9.72
08/1984,9,0.00,9.35
09/1984,9,0.00,11.75
10/1984,9,0.00,10.44
11/1984,9,0.00,10.53
12/1984,9,0.00,11.98
01/1985,9,0.00,11.76
02/1985,9,0.00,10.87
03/1985,9,0.00,10.16
04/1985,9,0.00,8.20
05/1985,9,0.00,7.20
06/1985,9,0.00,8.49
07/1985,9,0.00,10.31
08/1985,9,0.00,12.05
09/1985,9,0.00,11.12
10/1985,9,0.00,10.62
11/1985,9,0.00,13.97
12/1985,9,0.00,15.07
01/1986,9,0.00,14.37
02/1986,9,0.00,12.72
03/1986,9,0.00,4.77
04/1986,9,0.00,0.78
05/1986,9,0.00,1.40
06/1986,9,0.00,1.27
07/1986,9,0.00,1.71
08/1986,9,0.00,3.55
09/1986,9,0.00,1.72
10/1986,9,0.00,1.90
11/1986,9,0.00,5.45
12/1986,9,0.00,11.65
01/1987,9,0.00,13.21
02/1987,9,0.00,12.64
03/1987,9,0.00,16.37
04/1987,9,0.00,19.10
05/1987,9,0.00,21.45
06/1987,9,0.00,19.71
07/1987,9,0.00,9.21
08/1987,9,0.00,4.87
09/1987,9,0.00,7.78
10/1987,9,0.00,11.22
11/1987,9,0.00,15.08
12/1987,9,0.00,14.15
01/1988,9,0.00,18.89
02/1988,9,0.00,15.70
03/1988,9,0.00,17.60
04/1988,9,0.00,19.29
05/1988,9,0.00,17.42
06/1988,9,0.00,22.00
07/1988,9,0.00,21.91
08/1988,9,0.00,21.59
09/1988,9,0.00,27.45
10/1988,9,0.00,25.62
11/1988,9,0.00,27.94
12/1988,9,0.00,28.70
01/1989,9,0.00,37.49
