data,valor
19791201,7.6183e-09
19800101,8.1223e-09
19800201,8.4973e-09
19800301,9.0104e-09
19800401,9.4867e-09
19800501,1.00277e-08
19800601,1.05597e-08
19800701,1.11453e-08
19800801,1.16965e-08
19800901,1.21913e-08
19801001,1.33471e-08
19801101,1.42378e-08
19801201,1.51795e-08
19810101,1.62174e-08
19810201,1.72555e-08
19810301,1.81134e-08
19810401,1.92839e-08
19810501,2.0356e-08
19810601,2.14792e-08
19810701,2.28229e-08
19810801,2.40772e-08
19810901,2.53429e-08
19811001,2.66297e-08
19811101,2.80335e-08
19811201,2.96946e-08
19820101,3.17628e-08
19820201,3.38708e-08
19820301,3.58057e-08
19820401,3.79137e-08
19820501,4.04382e-08
19820601,4.33113e-08
19820701,4.6065e-08
19820801,4.88164e-08
19820901,5.12964e-08
19821001,5.35752e-08
19821101,5.64085e-08
19821201,6.08117e-08
19830101,6.60665e-08
19830201,7.12581e-08
19830301,7.64919e-08
19830401,8.15245e-08
19830501,8.68097e-08
19830601,9.53868e-08
19830701,1.050003e-07
19830801,1.145671e-07
19830901,1.263682e-07
19831001,1.375727e-07
19831101,1.477314e-07
19831201,1.605502e-07
19840101,1.760737e-07
19840201,1.92802e-07
19840301,2.100357e-07
19840401,2.300794e-07
19840501,2.509021e-07
19840601,2.761935e-07
19840701,3.030524e-07
19840801,3.313854e-07
19840901,3.703168e-07
19841001,4.089675e-07
19841101,4.520168e-07
19841201,5.061559e-07
19850101,5.656761e-07
19850201,6.271382e-07
19850301,6.908698e-07
19850401,7.474889e-07
19850501,8.01277e-07
19850601,8.693369e-07
19850701,9.589916e-07
19850801,1.0745459e-06
19850901,1.1940075e-06
19851001,1.3207687e-06
19851101,1.5053189e-06
19851201,1.7322163e-06
19860101,1.9811765e-06
19860201,2.233108e-06
19860301,2.3396314e-06
19860401,2.3578806e-06
19860501,2.3908694e-06
19860601,2.4212846e-06
19860701,2.462696e-06
19860801,2.5501983e-06
19860901,2.5939494e-06
19861001,2.6433156e-06
19861101,2.7874369e-06
19861201,3.1121777e-06
19870101,3.523251e-06
19870201,3.9684829e-06
19870301,4.6181985e-06
19870401,5.5002395e-06
19870501,6.6801157e-06
19870601,7.9968603e-06
19870701,8.7333762e-06
19870801,9.1587212e-06
19870901,9.871373e-06
19871001,1.09789545e-05
19871101,1.26344777e-05
19871201,1.44221901e-05
19880101,1.7146457e-05
19880201,1.98384369e-05
19880301,2.33301029e-05
19880401,2.7830389e-05
19880501,3.26783343e-05
19880601,3.98675537e-05
19880701,4.86025677e-05
19880801,5.90958147e-05
19880901,7.53176493e-05
19881001,9.46139936e-05
19881101,0.0001210492553
19881201,0.0001557904426
19890101,0.0002141963
19890201,0.0002501384201
19890301,0.0002671978428
19890401,0.0002894554586
19890501,0.0003413257896
19890601,0.0004391155989
19890701,0.0005609261703
19890801,0.0007500144816
19890901,0.001031719911
19891001,0.0014420348808
19891101,0.0021316159803
19891201,0.0032293981927
19900101,0.0054108567454
19900201,0.0095084984833
19900301,0.017342550351
19900401,0.0200341140678
19900501,0.0215547032441
19900601,0.0240873809519
19900701,0.027199470492
19900801,0.0307027623187
19900901,0.0351270304097
19901001,0.0401712720553
19901101,0.0469240627842
19901201,0.0555768600186
19910101,0.0671090584724
19910201,0.0810143888491
19910301,0.0906736471203
19910401,0.0951976035258
19910501,0.1022725378062
19910601,0.113715813284
19910701,0.1278267780427
19910801,0.1478066592194
19910901,0.1709099599291
19911001,0.2054843245466
19911101,0.2572875157699
19911201,0.3182886773263
19920101,0.4008536605699
19920201,0.4983410307284
19920301,0.6049874674181
19920401,0.7255614652283
19920501,0.9059361644186
19920601,1.0890285720637
19920701,1.3267641484791
19920801,1.6205100844213
19920901,2.0196408623306
19921001,2.5293973801068
19921101,3.0982598885128
19921201,3.88025965509
19930101,5.0579166458253
19930201,6.3213843084293
19930301,8.0445948724789
19930401,10.2769672819025
19930501,13.1226581300609
19930601,17.0686429798089
19930701,22.3121307612362
19930801,29.6662109364145
19930901,40.2540807309468
19931001,53.9082648348533
19931101,73.078046584524
19931201,100.0
19940101,141.31
19940201,198.22
19940301,282.96
19940401,403.73
19940501,581.49
19940601,857.29
19940701,915.93
19940801,932.97
19940901,947.24
19941001,972.06
19941101,999.37
19941201,1016.46
19950101,1033.74
19950201,1044.28
19950301,1060.47
19950401,1086.24
19950501,1115.24
19950601,1140.44
19950701,1167.35
19950801,1178.91
19950901,1190.58
19951001,1207.37
19951101,1225.12
19951201,1244.23
19960101,1260.9
19960201,1273.89
19960301,1278.35
19960401,1294.46
19960501,1310.25
19960601,1325.84
19960701,1340.56
19960801,1346.46
19960901,1348.48
19961001,1352.53
19961101,1356.86
19961201,1363.24
19970101,1379.33
19970201,1386.23
19970301,1393.3
19970401,1405.56
19970501,1411.32
19970601,1418.94
19970701,1422.06
19970801,1421.78
19970901,1422.63
19971001,1425.9
19971101,1428.32
19971201,1434.46
19980101,1444.64
19980201,1451.29
19980301,1456.22
19980401,1459.71
19980501,1467.01
19980601,1467.3
19980701,1465.54
19980801,1458.07
19980901,1454.86
19981001,1455.15
19981101,1453.4
19981201,1458.2
19990101,1468.41
19990201,1483.83
19990301,1500.15
19990401,1508.55
19990501,1513.08
19990601,1515.95
19990701,1532.47
19990801,1541.05
19990901,1545.83
19991001,1564.23
19991101,1579.09
19991201,1588.56
20000101,1598.41
20000201,1600.49
20000301,1604.01
20000401,1610.75
20000501,1610.91
20000601,1614.62
20000701,1640.62
20000801,1662.11
20000901,1665.93
20001001,1668.26
20001101,1673.6
20001201,1683.47
20010101,1693.07
20010201,1700.86
20010301,1707.32
20010401,1717.22
20010501,1724.26
20010601,1733.23
20010701,1756.28
20010801,1768.57
20010901,1773.52
20011001,1788.24
20011101,1800.94
20011201,1812.65
20020101,1822.08
20020201,1828.64
20020301,1839.61
20020401,1854.33
20020501,1858.22
20020601,1866.02
20020701,1888.23
20020801,1900.5
20020901,1914.18
20021001,1939.26
20021101,1997.83
20021201,2039.78
20030101,2085.68
20030201,2118.43
20030301,2144.49
20030401,2165.29
20030501,2178.5
20030601,2175.23
20030701,2179.58
20030801,2186.99
20030901,2204.05
20031001,2210.44
20031101,2217.96
20031201,2229.49
20040101,2246.43
20040201,2260.13
20040301,2270.75
20040401,2279.15
20040501,2290.77
20040601,2307.03
20040701,2328.02
20040801,2344.08
20040901,2351.82
20041001,2362.17
20041101,2378.47
20041201,2398.92
20050101,2412.83
20050201,2427.07
20050301,2441.87
20050401,2463.11
20050501,2475.18
20050601,2474.68
20050701,2480.87
20050801,2485.09
20050901,2493.79
20051001,2512.49
20051101,2526.31
20051201,2535.4
20060101,2550.36
20060201,2560.82
20060301,2571.83
20060401,2577.23
20060501,2579.81
20060601,2574.39
20060701,2579.28
20060801,2580.57
20060901,2585.99
20061001,2594.52
20061101,2602.56
20061201,2615.05
20070101,2626.56
20070201,2638.12
20070301,2647.88
20070401,2654.5
20070501,2661.93
20070601,2669.38
20070701,2675.79
