21/03/2022;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;0.127788905260941;-1.48542484809765E-02;0.108651088088761;-9.04359212512134E-02;1.357099645144;0.764342458231076
IPCA;5.97751522567408E-02;-5.20024651112844E-02;4.00145031954995E-02;-1.25816236527685E-02;5.99997515761008;0.732826112242507

Term Structure and Break Even Inflation (IPCA)
Business Day;Indexed;Prefixed;BEI
126;5.2173;12.7314;7.1415
252;5.4810;13.0032;7.1313
378;5.4996;12.8578;6.9746
504;5.5079;12.6134;6.7345
630;5.5221;12.3908;6.5092
756;5.5417;12.2254;6.3327
882;5.5644;12.1179;6.2080
1,008;5.5883;12.0577;6.1270
1,134;5.6122;12.0323;6.0789
1,260;5.6352;12.0307;6.0543
1,386;5.6569;12.0445;6.0456
1,512;5.6770;12.0676;6.0472
1,638;5.6956;12.0957;6.0552
1,764;5.7126;12.1260;6.0668
1,890;5.7280;12.1568;6.0805
2,016;5.7421;12.1868;6.0947
2,142;5.7549;12.2156;6.1091
2,268;5.7665;12.2427;6.1231
2,394;5.7771;12.2681;6.1364
2,520;5.7867;12.2917;6.1491
2,646;5.7956;12.3136;6.1609
2,772;5.8037;;
2,898;5.8111;;
3,024;5.8180;;
3,150;5.8243;;
3,276;5.8301;;
3,402;5.8356;;
3,528;5.8406;;
3,654;5.8453;;
3,780;5.8497;;
3,906;5.8538;;
4,032;5.8577;;
4,158;5.8613;;
4,284;5.8647;;
4,410;5.8679;;
4,536;5.8710;;
4,662;5.8739;;
4,788;5.8766;;
4,914;5.8792;;
5,040;5.8816;;
5,166;5.8840;;
5,292;5.8862;;
5,418;5.8883;;
5,544;5.8903;;
5,670;5.8923;;
5,796;5.8941;;
5,922;5.8959;;
6,048;5.8976;;
6,174;5.8992;;
6,300;5.9008;;
6,426;5.9023;;
6,552;5.9037;;
6,678;5.9051;;
6,804;5.9065;;
6,930;5.9078;;
7,056;5.9090;;
7,182;5.9102;;
7,308;5.9114;;
7,434;5.9125;;
7,560;5.9136;;
7,686;5.9146;;
7,812;5.9156;;
7,938;5.9166;;
8,064;5.9176;;
8,190;5.9185;;
8,316;5.9194;;
8,442;5.9203;;
8,568;5.9211;;
8,694;5.9219;;
8,820;5.9227;;
8,946;5.9235;;
9,072;5.9242;;
9,198;5.9250;;
9,324;5.9257;;
9,450;5.9264;;
9,576;5.9270;;

PREFIXED (CIRCULAR 3,361)
Business Day;Rate (%p.y.)
21;11.6682
42;11.9783
63;12.2325
126;12.7314
252;13.0032
504;12.6134
756;12.2254
1,008;12.0577
1,260;12.0307
2,520;12.2917

BOND ERRORS
Bond;SELIC Code;Maturity;Error (%p.y.)
LTN;100000;04/01/2022;-0.2900
LTN;100000;07/01/2022;0.0206
LTN;100000;10/01/2022;0.0138
LTN;100000;01/01/2023;0.0278
LTN;100000;04/01/2023;0.0211
LTN;100000;07/01/2023;-0.0191
LTN;100000;01/01/2024;-0.0124
LTN;100000;04/01/2024;-0.0637
LTN;100000;07/01/2024;-0.0161
LTN;100000;01/01/2025;0.0044
LTN;100000;07/01/2025;-0.0143
NTN-F;950199;01/01/2023;0.0023
NTN-F;950199;01/01/2025;0.0424
NTN-F;950199;01/01/2027;0.0395
NTN-F;950199;01/01/2029;-0.0503
NTN-F;950199;01/01/2031;0.0073
NTN-F;950199;01/01/2033;0.0105
NTN-B;760199;08/15/2022;-0.0128
NTN-B;760100;03/15/2023;-0.0005
NTN-B;760199;05/15/2023;0.0079
NTN-B;760199;08/15/2024;0.0294
NTN-B;760199;05/15/2025;-0.0494
NTN-B;760199;08/15/2026;0.0334
NTN-B;760199;05/15/2027;0.0123
NTN-B;760199;08/15/2028;-0.0306
NTN-B;760199;08/15/2030;-0.0144
NTN-B;760199;08/15/2032;0.0038
NTN-B;760199;05/15/2035;0.0276
NTN-B;760199;08/15/2040;0.0075
NTN-B;760199;05/15/2045;-0.0178
NTN-B;760199;08/15/2050;-0.0088
NTN-B;760199;05/15/2055;-0.0004
NTN-B;760199;08/15/2060;0.0084

