22/03/2022;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;0.129057090468648;-1.71006431820162E-02;9.71142500791651E-02;-8.37038783963384E-02;1.50125092746924;0.710812828268203
IPCA;5.97598111547587E-02;-5.31133603585451E-02;3.64478116359337E-02;-1.49963631686119E-02;5.92067592842796;0.677800240831348

Term Structure and Break Even Inflation (IPCA)
Business Day;Indexed;Prefixed;BEI
126;5.0499;12.7708;7.3497
252;5.3577;13.0044;7.2578
378;5.3890;12.7979;7.0300
504;5.4007;12.5088;6.7438
630;5.4164;12.2621;6.4939
756;5.4374;12.0875;6.3071
882;5.4622;11.9803;6.1805
1,008;5.4889;11.9258;6.1019
1,134;5.5160;11.9090;6.0587
1,260;5.5427;11.9174;6.0399
1,386;5.5682;11.9417;6.0373
1,512;5.5923;11.9752;6.0448
1,638;5.6147;12.0137;6.0588
1,764;5.6354;12.0539;6.0760
1,890;5.6545;12.0942;6.0950
2,016;5.6720;12.1332;6.1143
2,142;5.6881;12.1705;6.1335
2,268;5.7027;12.2055;6.1519
2,394;5.7162;12.2383;6.1694
2,520;5.7285;12.2689;6.1860
2,646;5.7398;12.2972;6.2014
2,772;5.7502;;
2,898;5.7598;;
3,024;5.7686;;
3,150;5.7768;;
3,276;5.7843;;
3,402;5.7914;;
3,528;5.7979;;
3,654;5.8040;;
3,780;5.8097;;
3,906;5.8151;;
4,032;5.8201;;
4,158;5.8248;;
4,284;5.8292;;
4,410;5.8334;;
4,536;5.8374;;
4,662;5.8411;;
4,788;5.8447;;
4,914;5.8480;;
5,040;5.8512;;
5,166;5.8543;;
5,292;5.8572;;
5,418;5.8599;;
5,544;5.8626;;
5,670;5.8651;;
5,796;5.8675;;
5,922;5.8698;;
6,048;5.8720;;
6,174;5.8741;;
6,300;5.8762;;
6,426;5.8781;;
6,552;5.8800;;
6,678;5.8818;;
6,804;5.8836;;
6,930;5.8852;;
7,056;5.8869;;
7,182;5.8884;;
7,308;5.8899;;
7,434;5.8914;;
7,560;5.8928;;
7,686;5.8942;;
7,812;5.8955;;
7,938;5.8968;;
8,064;5.8980;;
8,190;5.8992;;
8,316;5.9004;;
8,442;5.9015;;
8,568;5.9026;;
8,694;5.9036;;
8,820;5.9047;;
8,946;5.9057;;
9,072;5.9067;;
9,198;5.9076;;
9,324;5.9085;;
9,450;5.9094;;
9,576;5.9103;;

PREFIXED (CIRCULAR 3,361)
Business Day;Rate (%p.y.)
21;11.6190
42;11.9645
63;12.2433
126;12.7708
252;13.0044
504;12.5088
756;12.0875
1,008;11.9258
1,260;11.9174
2,520;12.2689

BOND ERRORS
Bond;SELIC Code;Maturity;Error (%p.y.)
LTN;100000;04/01/2022;-0.3813
LTN;100000;07/01/2022;-0.0033
LTN;100000;10/01/2022;0.0293
LTN;100000;01/01/2023;0.0419
LTN;100000;04/01/2023;0.0228
LTN;100000;07/01/2023;-0.0210
LTN;100000;01/01/2024;-0.0466
LTN;100000;04/01/2024;-0.0750
LTN;100000;07/01/2024;-0.0353
LTN;100000;01/01/2025;0.0268
LTN;100000;07/01/2025;-0.0161
NTN-F;950199;01/01/2023;0.0153
NTN-F;950199;01/01/2025;0.0645
NTN-F;950199;01/01/2027;0.0317
NTN-F;950199;01/01/2029;-0.0419
NTN-F;950199;01/01/2031;-0.0054
NTN-F;950199;01/01/2033;0.0171
NTN-B;760199;08/15/2022;0.0012
NTN-B;760100;03/15/2023;-0.0082
NTN-B;760199;05/15/2023;0.0022
NTN-B;760199;08/15/2024;0.0105
NTN-B;760199;05/15/2025;-0.0150
NTN-B;760199;08/15/2026;0.0429
NTN-B;760199;05/15/2027;-0.0085
NTN-B;760199;08/15/2028;-0.0377
NTN-B;760199;08/15/2030;-0.0176
NTN-B;760199;08/15/2032;0.0029
NTN-B;760199;05/15/2035;0.0363
NTN-B;760199;08/15/2040;0.0188
NTN-B;760199;05/15/2045;-0.0225
NTN-B;760199;08/15/2050;-0.0096
NTN-B;760199;05/15/2055;-0.0012
NTN-B;760199;08/15/2060;0.0052

