23/03/2022;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;0,129070889032685;-1,85315682087904E-02;8,71751947737928E-02;-7,14262248441126E-02;1,67204221831858;0,670693554225731
IPCA;5,93698708249151E-02;-5,28070850212628E-02;4,45574434140921E-02;-1,63897498944608E-02;4,33991923728106;0,671411559622602

ETTJ Inflação Implicita (IPCA)
Vertices;ETTJ IPCA;ETTJ PREF;Inflação Implícita
126;4,8708;12,8198;7,5798
252;5,3350;13,0520;7,3261
378;5,3695;12,8195;7,0703
504;5,3672;12,5148;6,7835
630;5,3725;12,2630;6,5391
756;5,3871;12,0885;6,3588
882;5,4080;11,9827;6,2373
1.008;5,4325;11,9292;6,1619
1.134;5,4585;11,9125;6,1199
1.260;5,4848;11,9202;6,1007
1.386;5,5104;11,9432;6,0968
1.512;5,5348;11,9754;6,1028
1.638;5,5578;12,0123;6,1146
1.764;5,5791;12,0513;6,1301
1.890;5,5989;12,0904;6,1473
2.016;5,6171;12,1286;6,1651
2.142;5,6338;12,1652;6,1830
2.268;5,6491;12,1998;6,2004
2.394;5,6632;12,2323;6,2170
2.520;5,6761;12,2626;6,2327
2.646;5,6880;12,2909;6,2475
2.772;5,6989;;
2.898;5,7090;;
3.024;5,7183;;
3.150;5,7269;;
3.276;5,7348;;
3.402;5,7422;;
3.528;5,7491;;
3.654;5,7556;;
3.780;5,7616;;
3.906;5,7672;;
4.032;5,7725;;
4.158;5,7775;;
4.284;5,7822;;
4.410;5,7866;;
4.536;5,7908;;
4.662;5,7947;;
4.788;5,7985;;
4.914;5,8020;;
5.040;5,8054;;
5.166;5,8086;;
5.292;5,8116;;
5.418;5,8146;;
5.544;5,8173;;
5.670;5,8200;;
5.796;5,8225;;
5.922;5,8250;;
6.048;5,8273;;
6.174;5,8295;;
6.300;5,8317;;
6.426;5,8338;;
6.552;5,8357;;
6.678;5,8376;;
6.804;5,8395;;
6.930;5,8413;;
7.056;5,8430;;
7.182;5,8446;;
7.308;5,8462;;
7.434;5,8477;;
7.560;5,8492;;
7.686;5,8507;;
7.812;5,8521;;
7.938;5,8534;;
8.064;5,8547;;
8.190;5,8560;;
8.316;5,8572;;
8.442;5,8584;;
8.568;5,8595;;
8.694;5,8607;;
8.820;5,8618;;
8.946;5,8628;;
9.072;5,8638;;
9.198;5,8649;;
9.324;5,8658;;
9.450;5,8668;;
9.576;5,8677;;

PREFIXADOS (CIRCULAR 3.361)
Vertices;Taxa (%a.a.)
21;11,5386
42;11,9300
63;12,2422
126;12,8198
252;13,0520
504;12,5148
756;12,0885
1.008;11,9292
1.260;11,9202
2.520;12,2626

Erro Título a Título
Titulo;SELIC;Vencimento;Erro (%a.a.)
LTN;100000;01/04/2022;-0,5191
LTN;100000;01/07/2022;-0,0209
LTN;100000;01/10/2022;0,0494
LTN;100000;01/01/2023;0,0569
LTN;100000;01/04/2023;0,0180
LTN;100000;01/07/2023;-0,0433
LTN;100000;01/01/2024;-0,0550
LTN;100000;01/04/2024;-0,0797
LTN;100000;01/07/2024;-0,0344
LTN;100000;01/01/2025;0,0167
LTN;100000;01/07/2025;-0,0384
NTN-F;950199;01/01/2023;0,0293
NTN-F;950199;01/01/2025;0,0770
NTN-F;950199;01/01/2027;0,0511
NTN-F;950199;01/01/2029;-0,0378
NTN-F;950199;01/01/2031;-0,0259
NTN-F;950199;01/01/2033;0,0268
NTN-B;760199;15/08/2022;0,0033
NTN-B;760100;15/03/2023;-0,0135
NTN-B;760199;15/05/2023;0,0098
NTN-B;760199;15/08/2024;-0,0043
NTN-B;760199;15/05/2025;-0,0065
NTN-B;760199;15/08/2026;0,0528
NTN-B;760199;15/05/2027;-0,0125
NTN-B;760199;15/08/2028;-0,0389
NTN-B;760199;15/08/2030;-0,0175
NTN-B;760199;15/08/2032;-0,0020
NTN-B;760199;15/05/2035;0,0378
NTN-B;760199;15/08/2040;0,0227
NTN-B;760199;15/05/2045;-0,0258
NTN-B;760199;15/08/2050;-0,0120
NTN-B;760199;15/05/2055;-0,0016
NTN-B;760199;15/08/2060;0,0085

