data,valor
2001-07-01,0.8293
2001-08-01,0.85
2001-09-01,0.8602
2001-10-01,0.8983
2001-11-01,0.9076
2001-12-01,0.9078
2002-01-01,0.8835
2002-02-01,0.8784
2002-03-01,0.8894
2002-04-01,0.9583
2002-05-01,0.9762
2002-06-01,0.988
2002-07-01,1.0636
2002-08-01,1.0682
2002-09-01,1.0663
2002-10-01,1.0678
2002-11-01,1.2636
2002-12-01,1.3919
2003-01-01,1.5273
2003-02-01,1.5391
2003-03-01,1.5365
2003-04-01,1.5294
2003-05-01,1.4555
2003-06-01,1.4287
2003-07-01,1.4156
2003-08-01,1.4081
2003-09-01,1.4008
2003-10-01,1.3954
2003-11-01,1.3914
2003-12-01,1.39
2004-01-01,1.3929
2004-02-01,1.3922
2004-03-01,1.3895
2004-04-01,1.3867
2004-05-01,1.44
2004-06-01,1.494
2004-07-01,1.547
2004-08-01,1.548
2004-09-01,1.548
2004-10-01,1.58
2004-11-01,1.591
2004-12-01,1.692
2005-01-01,1.69
2005-02-01,1.687
2005-03-01,1.684
2005-04-01,1.683
2005-05-01,1.697
2005-06-01,1.695
2005-07-01,1.694
2005-08-01,1.694
2005-09-01,1.83
2005-10-01,1.885
2005-11-01,1.888
2005-12-01,1.888
2006-01-01,1.889
2006-02-01,1.889
2006-03-01,1.889
2006-04-01,1.889
2006-05-01,1.886
2006-06-01,1.883
2006-07-01,1.883
2006-08-01,1.882
2006-09-01,1.88
2006-10-01,1.879
2006-11-01,1.879
2006-12-01,1.878
2007-01-01,1.878
2007-02-01,1.877
2007-03-01,1.878
2007-04-01,1.879
2007-05-01,1.877
2007-06-01,1.875
2007-07-01,1.873
2007-08-01,1.875
2007-09-01,1.873
2007-10-01,1.872
2007-11-01,1.876
2007-12-01,1.88
2008-01-01,1.891
2008-02-01,1.894
2008-03-01,1.895
2008-04-01,1.896
2008-05-01,2.059
2008-06-01,2.068
2008-07-01,2.107
2008-08-01,2.12
2008-09-01,2.122
2008-10-01,2.123
2008-11-01,2.125
2008-12-01,2.126
2009-01-01,2.125
2009-02-01,2.126
2009-03-01,2.125
2009-04-01,2.123
2009-05-01,2.122
2009-06-01,2.078
2009-07-01,2.016
2009-08-01,2.009
2009-09-01,1.998
2009-10-01,2.0
2009-11-01,2.002
2009-12-01,1.999
2010-01-01,2.005
2010-02-01,2.008
2010-03-01,2.007
2010-04-01,2.005
2010-05-01,2.003
2010-06-01,2.002
2010-07-01,2.002
2010-08-01,1.999
2010-09-01,1.998
2010-10-01,2.0
2010-11-01,2.0
2010-12-01,2.0
2011-01-01,2.009
2011-02-01,2.016
2011-03-01,2.025
2011-04-01,2.032
2011-05-01,2.03
2011-06-01,2.026
2011-07-01,2.028
2011-08-01,2.027
2011-09-01,2.027
2011-10-01,2.029
2011-11-01,2.03
2011-12-01,2.032
2012-01-01,2.038
2012-02-01,2.04
2012-03-01,2.042
2012-04-01,2.045
2012-05-01,2.045
2012-06-01,2.045
2012-07-01,2.076
2012-08-01,2.131
2012-09-01,2.136
2012-10-01,2.145
2012-11-01,2.148
2012-12-01,2.151
2013-01-01,2.156
2013-02-01,2.252
2013-03-01,2.301
2013-04-01,2.332
2013-05-01,2.333
2013-06-01,2.333
2013-07-01,2.333
2013-08-01,2.331
2013-09-01,2.331
2013-10-01,2.332
2013-11-01,2.332
2013-12-01,2.466
2014-01-01,2.485
2014-02-01,2.491
2014-03-01,2.497
2014-04-01,2.502
2014-05-01,2.5
2014-06-01,2.5
2014-07-01,2.499
2014-08-01,2.501
2014-09-01,2.501
2014-10-01,2.5
2014-11-01,2.564
2014-12-01,2.606
2015-01-01,2.611
2015-02-01,2.788
2015-03-01,2.81
2015-04-01,2.809
2015-05-01,2.808
2015-06-01,2.807
2015-07-01,2.805
2015-08-01,2.805
2015-09-01,2.809
2015-10-01,2.925
2015-11-01,2.965
2015-12-01,2.985
2016-01-01,3.003
2016-02-01,3.017
2016-03-01,3.02
2016-04-01,3.021
2016-05-01,3.017
2016-06-01,3.015
2016-07-01,3.013
2016-08-01,3.01
2016-09-01,3.009
2016-10-01,3.009
2016-11-01,2.993
2016-12-01,3.024
2017-01-01,3.092
2017-02-01,3.098
2017-03-01,3.05
2017-04-01,3.015
2017-05-01,3.017
2017-06-01,2.985
2017-07-01,2.971
2017-08-01,3.102
2017-09-01,3.173
2017-10-01,3.223
2017-11-01,3.29
2017-12-01,3.323
2018-01-01,3.375
2018-02-01,3.388
2018-03-01,3.383
2018-04-01,3.432
2018-05-01,3.629
2018-06-01,3.424
2018-07-01,3.382
2018-08-01,3.373
2018-09-01,3.605
2018-10-01,3.706
2018-11-01,3.661
2018-12-01,3.499
2019-01-01,3.437
2019-02-01,3.453
2019-03-01,3.53
2019-04-01,3.573
2019-05-01,3.649
2019-06-01,3.608
2019-07-01,3.543
2019-08-01,3.524
2019-09-01,3.592
2019-10-01,3.705
2019-11-01,3.713
2019-12-01,3.737
2020-01-01,3.788
2020-02-01,3.714
2020-03-01,3.574
2020-04-01,3.293
2020-05-01,3.037
2020-06-01,3.064
2020-07-01,3.249
2020-08-01,3.358
2020-10-01,3.454
2020-11-01,3.514
2020-12-01,3.606
2021-01-01,3.696
2021-02-01,3.951
2021-03-01,4.252
2021-04-01,4.202
2021-05-01,4.47
2021-06-01,4.505
2021-07-01,4.589
2021-08-01,4.611
2021-09-01,4.728
2021-10-01,5.033
2021-11-01,5.359
2021-12-01,5.347
2022-01-01,5.497
2022-02-01,5.592
2022-02-05,5.6128212996389895
2022-02-12,5.616937184777625
2022-02-19,5.614641692375495
2022-02-26,5.618064906966681
2022-03-05,5.623731211317418
2022-03-12,5.814
2022-03-19,6.654
2022-03-26,6.564
2022-04-02,6.593
2022-04-09,6.600
2022-04-16,6.587
2022-04-23,6.600
2022-04-30,6.610
2022-05-07,6.630
2022-05-14,6.847
2022-05-21,6.943
2022-05-28,6.918
2022-06-04,6.882
2022-06-11,6.886
2022-06-18,6.906
2022-06-25,7.568
2022-07-02,7.55
2022-07-09,7.52
2022-07-16,7.48
