data,valor
2001-07-01,1.0093
2001-08-01,1.0143
2001-09-01,1.0265
2001-10-01,1.0391
2001-11-01,1.0326
2001-12-01,1.0289
2002-01-01,1.019
2002-02-01,1.0103
2002-03-01,1.0102
2002-04-01,1.0095
2002-05-01,1.0017
2002-06-01,0.9908
2002-07-01,0.94
2002-08-01,0.9122
2002-09-01,0.9349
2002-10-01,1.0136
2002-11-01,1.2984
2002-12-01,1.3133
2003-01-01,1.3855
2003-02-01,1.5689
2003-03-01,1.5856
2003-04-01,1.5616
2003-05-01,1.5058
2003-06-01,1.348
2003-07-01,1.2033
2003-08-01,1.2079
2003-09-01,1.2331
2003-10-01,1.2006
2003-11-01,1.1759
2003-12-01,1.1911
2004-01-01,1.2052
2004-02-01,1.1701
2004-03-01,1.0545
2004-04-01,1.0315
2004-05-01,1.289
2004-06-01,1.359
2004-07-01,1.381
2004-08-01,1.462
2004-09-01,1.487
2004-10-01,1.534
2004-11-01,1.445
2004-12-01,1.478
2005-01-01,1.46
2005-02-01,1.448
2005-03-01,1.444
2005-04-01,1.451
2005-05-01,1.354
2005-06-01,1.21
2005-07-01,1.256
2005-08-01,1.271
2005-09-01,1.308
2005-10-01,1.434
2005-11-01,1.45
2005-12-01,1.536
2006-01-01,1.693
2006-02-01,1.732
2006-03-01,1.95
2006-04-01,1.943
2006-05-01,1.71
2006-06-01,1.555
2006-07-01,1.571
2006-08-01,1.576
2006-09-01,1.515
2006-10-01,1.466
2006-11-01,1.448
2006-12-01,1.448
2007-01-01,1.544
2007-02-01,1.545
2007-03-01,1.54
2007-04-01,1.63
2007-05-01,1.626
2007-06-01,1.463
2007-07-01,1.351
2007-08-01,1.305
2007-09-01,1.279
2007-10-01,1.268
2007-11-01,1.36
2007-12-01,1.467
2008-01-01,1.464
2008-02-01,1.42
2008-03-01,1.439
2008-04-01,1.437
2008-05-01,1.441
2008-06-01,1.414
2008-07-01,1.423
2008-08-01,1.428
2008-09-01,1.449
2008-10-01,1.471
2008-11-01,1.478
2008-12-01,1.476
2009-01-01,1.477
2009-02-01,1.499
2009-03-01,1.478
2009-04-01,1.425
2009-05-01,1.388
2009-06-01,1.34
2009-07-01,1.374
2009-08-01,1.4
2009-09-01,1.447
2009-10-01,1.616
2009-11-01,1.675
2009-12-01,1.703
2010-01-01,1.89
2010-02-01,1.943
2010-03-01,1.763
2010-04-01,1.629
2010-05-01,1.545
2010-06-01,1.475
2010-07-01,1.501
2010-08-01,1.549
2010-09-01,1.566
2010-10-01,1.673
2010-11-01,1.721
2010-12-01,1.778
2011-01-01,1.835
2011-02-01,1.872
2011-03-01,2.083
2011-04-01,2.301
2011-05-01,2.032
2011-06-01,1.859
2011-07-01,1.932
2011-08-01,1.946
2011-09-01,2.006
2011-10-01,2.005
2011-11-01,2.03
2011-12-01,2.055
2012-01-01,2.034
2012-02-01,1.982
2012-03-01,1.997
2012-04-01,1.986
2012-05-01,1.967
2012-06-01,1.938
2012-07-01,1.909
2012-08-01,1.89
2012-09-01,1.888
2012-10-01,1.888
2012-11-01,1.896
2012-12-01,1.936
2013-01-01,1.956
2013-02-01,2.0
2013-03-01,2.058
2013-04-01,2.064
2013-05-01,2.029
2013-06-01,1.943
2013-07-01,1.918
2013-08-01,1.902
2013-09-01,1.895
2013-10-01,1.914
2013-11-01,1.932
2013-12-01,2.022
2014-01-01,2.047
2014-02-01,2.074
2014-03-01,2.168
2014-04-01,2.177
2014-05-01,2.134
2014-06-01,2.071
2014-07-01,2.042
2014-08-01,2.034
2014-09-01,2.005
2014-10-01,1.999
2014-11-01,2.016
2014-12-01,2.041
2015-01-01,2.061
2015-02-01,2.224
2015-03-01,2.226
2015-04-01,2.179
2015-05-01,2.141
2015-06-01,2.112
2015-07-01,2.081
2015-08-01,2.061
2015-09-01,2.074
2015-10-01,2.365
2015-11-01,2.578
2015-12-01,2.659
2016-01-01,2.718
2016-02-01,2.808
2016-03-01,2.869
2016-04-01,2.741
2016-05-01,2.478
2016-06-01,2.466
2016-07-01,2.434
2016-08-01,2.485
2016-09-01,2.51
2016-10-01,2.676
2016-11-01,2.812
2016-12-01,2.831
2017-01-01,2.91
2017-02-01,2.884
2017-03-01,2.745
2017-04-01,2.639
2017-05-01,2.584
2017-06-01,2.485
2017-07-01,2.46
2017-08-01,2.611
2017-09-01,2.633
2017-10-01,2.668
2017-11-01,2.79
2017-12-01,2.879
2018-01-01,2.984
2018-02-01,3.023
2018-03-01,3.032
2018-04-01,2.972
2018-05-01,2.811
2018-06-01,2.933
2018-07-01,2.785
2018-08-01,2.656
2018-09-01,2.798
2018-10-01,2.934
2018-11-01,2.917
2018-12-01,2.828
2019-01-01,2.812
2019-02-01,2.783
2019-03-01,2.95
2019-04-01,3.002
2019-05-01,2.99
2019-06-01,2.819
2019-07-01,2.776
2019-08-01,2.829
2019-09-01,2.851
2019-10-01,2.906
2019-11-01,2.974
2019-12-01,3.125
2020-01-01,3.226
2020-02-01,3.248
2020-03-01,3.196
2020-04-01,2.784
2020-05-01,2.55
2020-06-01,2.655
2020-07-01,2.739
2020-08-01,2.768
2020-10-01,3.006
2020-11-01,3.103
2020-12-01,3.179
2021-01-01,3.221
2021-02-01,3.429
2021-03-01,4.038
2021-04-01,3.826
2021-05-01,4.25
2021-06-01,4.358
2021-07-01,4.318
2021-08-01,4.476
2021-09-01,4.698
2021-10-01,4.883
2021-11-01,5.37
2021-12-01,5.141
2022-01-01,5.038
2022-02-01,4.744
2022-02-05,4.938
2022-02-12,4.794
2022-02-19,4.699
2022-02-26,4.632
2022-03-05,4.615
2022-03-12,4.646
2022-03-19,4.938
2022-03-26,4.952
2022-04-02,4.990
2022-04-09,5.014
2022-04-16,5.241
2022-04-23,5.496
2022-04-30,5.539
2022-05-07,5.441
2022-05-14,5.323
2022-05-21,5.224
2022-05-28,5.186
2022-06-04,5.083
2022-06-11,5.002
2022-06-18,4.910
2022-06-25,4.873
2022-07-02,4.72
2022-07-09,4.52
2022-07-16,4.41
