data,valor
2001-07-07,1.6814
2001-07-14,1.6814
2001-07-21,1.6814
2001-07-28,1.6814
2001-08-04,1.711
2001-08-11,1.711
2001-08-18,1.711
2001-08-25,1.711
2001-09-01,1.718
2001-09-08,1.718
2001-09-15,1.718
2001-09-22,1.718
2001-09-29,1.718
2001-10-06,1.7787
2001-10-13,1.7787
2001-10-20,1.7787
2001-10-27,1.7787
2001-11-03,1.7802
2001-11-10,1.7802
2001-11-17,1.7802
2001-11-24,1.7802
2001-12-01,1.7747
2001-12-08,1.7747
2001-12-15,1.7747
2001-12-22,1.7747
2001-12-29,1.7747
2002-01-05,1.5875
2002-01-12,1.5875
2002-01-19,1.5875
2002-01-26,1.5875
2002-02-02,1.5088
2002-02-09,1.5088
2002-02-16,1.5088
2002-02-23,1.5088
2002-03-02,1.5739
2002-03-09,1.5739
2002-03-16,1.5739
2002-03-23,1.5739
2002-03-30,1.5739
2002-04-06,1.7129
2002-04-13,1.7129
2002-04-20,1.7129
2002-04-27,1.7129
2002-05-04,1.7219
2002-05-11,1.7219
2002-05-18,1.7219
2002-05-25,1.7219
2002-06-01,1.7107
2002-06-08,1.7107
2002-06-15,1.7107
2002-06-22,1.7107
2002-06-29,1.7107
2002-07-06,1.7668
2002-07-13,1.7668
2002-07-20,1.7668
2002-07-27,1.7668
2002-08-03,1.7508
2002-08-10,1.7508
2002-08-17,1.7508
2002-08-24,1.7508
2002-08-31,1.7508
2002-09-07,1.7424
2002-09-14,1.7424
2002-09-21,1.7424
2002-09-28,1.7424
2002-10-05,1.761
2002-10-12,1.761
2002-10-19,1.761
2002-10-26,1.761
2002-11-02,1.9776
2002-11-09,1.9776
2002-11-16,1.9776
2002-11-23,1.9776
2002-11-30,1.9776
2002-12-07,2.0005
2002-12-14,2.0005
2002-12-21,2.0005
2002-12-28,2.0005
2003-01-04,2.1599
2003-01-11,2.1599
2003-01-18,2.1599
2003-01-25,2.1599
2003-02-01,2.2233
2003-02-08,2.2233
2003-02-15,2.2233
2003-02-22,2.2233
2003-03-01,2.2152
2003-03-08,2.2152
2003-03-15,2.2152
2003-03-22,2.2152
2003-03-29,2.2152
2003-04-05,2.195
2003-04-12,2.195
2003-04-19,2.195
2003-04-26,2.195
2003-05-03,2.1133
2003-05-10,2.1133
2003-05-17,2.1133
2003-05-24,2.1133
2003-05-31,2.1133
2003-06-07,2.026
2003-06-14,2.026
2003-06-21,2.026
2003-06-28,2.026
2003-07-05,1.9708
2003-07-12,1.9708
2003-07-19,1.9708
2003-07-26,1.9708
2003-08-02,1.9751
2003-08-09,1.9751
2003-08-16,1.9751
2003-08-23,1.9751
2003-08-30,1.9751
2003-09-06,2.0032
2003-09-13,2.0032
2003-09-20,2.0032
2003-09-27,2.0032
2003-10-04,1.9974
2003-10-11,1.9974
2003-10-18,1.9974
2003-10-25,1.9974
2003-11-01,1.9931
2003-11-08,1.9931
2003-11-15,1.9931
2003-11-22,1.9931
2003-11-29,1.9931
2003-12-06,1.9984
2003-12-13,1.9984
2003-12-20,1.9984
2003-12-27,1.9984
2004-01-03,2.007
2004-01-10,2.007
2004-01-17,2.007
2004-01-24,2.007
2004-01-31,2.007
2004-02-07,2.0025
2004-02-14,2.0025
2004-02-21,2.0025
2004-02-28,2.0025
2004-03-06,1.9813
2004-03-13,1.9813
2004-03-20,1.9813
2004-03-27,1.9813
2004-04-03,1.9715
2004-04-10,1.9715
2004-04-17,1.9715
2004-04-24,1.9715
2004-05-01,1.9715
2004-05-08,1.982896584973885
2004-05-15,1.982896584973885
2004-05-22,1.97959456217513
2004-05-29,1.9801643573817487
2004-06-05,1.9957323527060518
2004-06-12,2.005458250259191
2004-06-19,2.0424150295479953
2004-06-26,2.1238655519195464
2004-07-03,2.1143056824557185
2004-07-10,2.1105126592356687
2004-07-17,2.1075128942115766
2004-07-24,2.1056418374671027
2004-07-31,2.1052970186236113
2004-08-07,2.1140298221832388
2004-08-14,2.1285367743483126
2004-08-21,2.1326240331711985
2004-08-28,2.1299941707258645
2004-09-04,2.1260408114367864
2004-09-11,2.127134906037585
2004-09-18,2.1257483058279516
2004-09-25,2.1221164055004795
2004-10-02,2.1226999680306906
2004-10-09,2.1267593762495003
2004-10-16,2.1345946963627624
2004-10-23,2.1897194926140013
2004-10-30,2.194150553150553
2004-11-06,2.1974687449783064
2004-11-13,2.2142023512360094
2004-11-20,2.219154186795491
2004-11-27,2.2255978067004096
2004-12-04,2.31497109268057
2004-12-11,2.320243445391668
2004-12-18,2.315569877774204
2004-12-25,2.318634852763211
2005-01-01,2.316535164746637
2005-01-08,2.3163829136835328
2005-01-15,2.3135556807209525
2005-01-22,2.312541198201092
2005-01-29,2.308931175714745
2005-02-05,2.307646983208805
2005-02-12,2.305538096005155
2005-02-19,2.3028135634223044
2005-02-26,2.300178879484079
2005-03-05,2.30484141324514
2005-03-12,2.3048237241602068
2005-03-19,2.3025660133881765
2005-03-26,2.3060082198404386
2005-04-02,2.3052654838709676
2005-04-09,2.31369833710042
2005-04-16,2.315729790842284
2005-04-23,2.3126882613957243
2005-04-30,2.3123343016218834
2005-05-07,2.3091654821515104
2005-05-14,2.308644670871745
2005-05-21,2.2993077731092435
2005-05-28,2.2916220587046174
2005-06-04,2.289515019379845
2005-06-11,2.282916349809886
2005-06-18,2.275656116269681
2005-06-25,2.277077450584913
2005-07-02,2.275696111648919
2005-07-09,2.2799536670170615
2005-07-16,2.2880840743734843
2005-07-23,2.289999433656958
2005-07-30,2.2889829135962425
