data,valor
2001-07-01,1.6814
2001-08-01,1.711
2001-09-01,1.718
2001-10-01,1.7787
2001-11-01,1.7802
2001-12-01,1.7747
2002-01-01,1.5875
2002-02-01,1.5088
2002-03-01,1.5739
2002-04-01,1.7129
2002-05-01,1.7219
2002-06-01,1.7107
2002-07-01,1.7668
2002-08-01,1.7508
2002-09-01,1.7424
2002-10-01,1.761
2002-11-01,1.9776
2002-12-01,2.0005
2003-01-01,2.1599
2003-02-01,2.2233
2003-03-01,2.2152
2003-04-01,2.195
2003-05-01,2.1133
2003-06-01,2.026
2003-07-01,1.9708
2003-08-01,1.9751
2003-09-01,2.0032
2003-10-01,1.9974
2003-11-01,1.9931
2003-12-01,1.9984
2004-01-01,2.007
2004-02-01,2.0025
2004-03-01,1.9813
2004-04-01,1.9715
2004-05-01,2.086
2004-06-01,2.157
2004-07-01,2.203
2004-08-01,2.226
2004-09-01,2.232
2004-10-01,2.262
2004-11-01,2.214
2004-12-01,2.303
2005-01-01,2.296
2005-02-01,2.285
2005-03-01,2.291
2005-04-01,2.302
2005-05-01,2.283
2005-06-01,2.256
2005-07-01,2.267
2005-08-01,2.273
2005-09-01,2.401
2005-10-01,2.47
2005-11-01,2.478
2005-12-01,2.483
2006-01-01,2.511
2006-02-01,2.523
2006-03-01,2.587
2006-04-01,2.595
2006-05-01,2.582
2006-06-01,2.545
2006-07-01,2.557
2006-08-01,2.559
2006-09-01,2.554
2006-10-01,2.547
2006-11-01,2.538
2006-12-01,2.531
2007-01-01,2.523
2007-02-01,2.516
2007-03-01,2.518
2007-04-01,2.532
2007-05-01,2.54
2007-06-01,2.527
2007-07-01,2.507
2007-08-01,2.487
2007-09-01,2.471
2007-10-01,2.475
2007-11-01,2.487
2007-12-01,2.509
2008-01-01,2.505
2008-02-01,2.488
2008-03-01,2.493
2008-04-01,2.493
2008-05-01,2.494
2008-06-01,2.49
2008-07-01,2.495
2008-08-01,2.5
2008-09-01,2.506
2008-10-01,2.508
2008-11-01,2.513
2008-12-01,2.518
2009-01-01,2.516
2009-02-01,2.518
2009-03-01,2.514
2009-04-01,2.5
2009-05-01,2.487
2009-06-01,2.488
2009-07-01,2.492
2009-08-01,2.498
2009-09-01,2.488
2009-10-01,2.528
2009-11-01,2.551
2009-12-01,2.556
2010-01-01,2.586
2010-02-01,2.611
2010-03-01,2.578
2010-04-01,2.555
2010-05-01,2.55
2010-06-01,2.534
2010-07-01,2.534
2010-08-01,2.542
2010-09-01,2.544
2010-10-01,2.572
2010-11-01,2.589
2010-12-01,2.602
2011-01-01,2.612
2011-02-01,2.622
2011-03-01,2.67
2011-04-01,2.824
2011-05-01,2.842
2011-06-01,2.738
2011-07-01,2.735
2011-08-01,2.736
2011-09-01,2.742
2011-10-01,2.75
2011-11-01,2.746
2011-12-01,2.75
2012-01-01,2.743
2012-02-01,2.734
2012-03-01,2.74
2012-04-01,2.742
2012-05-01,2.737
2012-06-01,2.731
2012-07-01,2.729
2012-08-01,2.725
2012-09-01,2.723
2012-10-01,2.731
2012-11-01,2.747
2012-12-01,2.754
2013-01-01,2.763
2013-02-01,2.887
2013-03-01,2.886
2013-04-01,2.876
2013-05-01,2.862
2013-06-01,2.848
2013-07-01,2.839
2013-08-01,2.835
2013-09-01,2.834
2013-10-01,2.834
2013-11-01,2.841
2013-12-01,2.946
2014-01-01,2.956
2014-02-01,2.955
2014-03-01,2.98
2014-04-01,2.988
2014-05-01,2.978
2014-06-01,2.966
2014-07-01,2.957
2014-08-01,2.96
2014-09-01,2.963
2014-10-01,2.96
2014-11-01,3.009
2014-12-01,3.031
2015-01-01,3.032
2015-02-01,3.301
2015-03-01,3.323
2015-04-01,3.308
2015-05-01,3.299
2015-06-01,3.301
2015-07-01,3.296
2015-08-01,3.295
2015-09-01,3.277
2015-10-01,3.48
2015-11-01,3.576
2015-12-01,3.633
2016-01-01,3.676
2016-02-01,3.71
2016-03-01,3.73
2016-04-01,3.717
2016-05-01,3.674
2016-06-01,3.646
2016-07-01,3.638
2016-08-01,3.651
2016-09-01,3.648
2016-10-01,3.662
2016-11-01,3.671
2016-12-01,3.734
2017-01-01,3.768
2017-02-01,3.755
2017-03-01,3.687
2017-04-01,3.635
2017-05-01,3.617
2017-06-01,3.548
2017-07-01,3.553
2017-08-01,3.781
2017-09-01,3.881
2017-10-01,3.895
2017-11-01,4.004
2017-12-01,4.085
2018-01-01,4.189
2018-02-01,4.208
2018-03-01,4.199
2018-04-01,4.215
2018-05-01,4.314
2018-06-01,4.552
2018-07-01,4.492
2018-08-01,4.447
2018-09-01,4.625
2018-10-01,4.717
2018-11-01,4.59
2018-12-01,4.365
2019-01-01,4.268
2019-02-01,4.19
2019-03-01,4.305
2019-04-01,4.437
2019-05-01,4.552
2019-06-01,4.468
2019-07-01,4.351
2019-08-01,4.316
2019-09-01,4.326
2019-10-01,4.38
2019-11-01,4.413
2019-12-01,4.531
2020-01-01,4.579
2020-02-01,4.55
2020-03-01,4.462
2020-04-01,4.066
2020-05-01,3.818
2020-06-01,3.964
2020-07-01,4.144
2020-08-01,4.237
2020-10-01,4.358
2020-11-01,4.406
2020-12-01,4.483
2021-01-01,4.622
2021-02-01,4.951
2021-03-01,5.484
2021-04-01,5.448
2021-05-01,5.604
2021-06-01,5.687
2021-07-01,5.807
2021-08-01,5.933
2021-09-01,6.078
2021-10-01,6.341
2021-11-01,6.744
2021-12-01,6.67
2022-01-01,6.635
2022-02-01,6.6
2022-02-15,6.637
2022-02-12,6.617
2022-02-19,6.583
2022-02-26,6.560
2022-03-05,6.577
2022-03-12,6.683
2022-03-19,7.267
2022-03-26,7.210
2022-04-02,7.202
2022-04-09,7.192
2022-04-16,7.219
2022-04-23,7.270
2022-04-30,7.283
2022-05-07,7.295
2022-05-14,7.298
2022-05-21,7.275
2022-05-28,7.252
2022-06-04,7.218
2022-06-11,7.247
2022-06-18,7.232
2022-06-25,7.390
2022-07-02,7.13
2022-07-09,6.49
2022-07-16,6.07
