dias,valor
1,1.90
7,1.92
9,1.92
11,1.92
14,1.92
21,1.92
24,1.92
25,1.92
28,1.92
30,1.92
35,1.92
44,1.92
52,1.92
53,1.92
56,1.92
60,1.93
67,1.93
70,1.93
72,1.93
73,1.93
74,1.94
78,1.94
86,1.94
87,1.94
91,1.94
100,1.96
101,1.96
115,1.97
116,1.98
119,1.98
120,1.98
133,2.01
137,2.02
144,2.03
147,2.03
148,2.04
151,2.04
158,2.06
162,2.06
163,2.07
164,2.07
165,2.07
176,2.09
177,2.09
178,2.10
182,2.10
192,2.13
199,2.15
206,2.16
207,2.17
210,2.17
224,2.24
226,2.26
238,2.31
239,2.31
240,2.32
254,2.38
256,2.39
261,2.41
269,2.44
270,2.45
282,2.50
284,2.51
297,2.56
298,2.57
301,2.57
316,2.64
330,2.70
331,2.70
336,2.72
345,2.77
351,2.79
359,2.83
360,2.83
364,2.85
378,2.93
392,3.00
407,3.08
408,3.08
422,3.13
435,3.19
450,3.25
452,3.26
464,3.31
469,3.32
480,3.37
497,3.43
511,3.49
527,3.55
540,3.59
543,3.60
555,3.65
557,3.66
570,3.71
588,3.77
590,3.78
602,3.82
605,3.83
619,3.88
626,3.90
630,3.91
637,3.93
647,3.96
651,3.97
660,4.00
681,4.06
690,4.09
709,4.14
716,4.16
721,4.17
728,4.19
742,4.23
750,4.26
772,4.34
780,4.35
786,4.37
800,4.41
812,4.44
819,4.46
833,4.50
840,4.52
861,4.57
870,4.60
892,4.66
900,4.68
910,4.70
924,4.74
931,4.75
953,4.81
960,4.82
970,4.85
990,4.89
1001,4.91
1015,4.93
1022,4.95
1046,4.99
1050,5.00
1080,5.05
1093,5.07
1110,5.11
1137,5.16
1141,5.16
1170,5.22
1183,5.24
1197,5.27
1200,5.28
1227,5.32
1274,5.39
1319,5.45
1366,5.50
1375,5.52
1414,5.58
1442,5.63
1459,5.65
1505,5.72
1548,5.78
1579,5.80
1592,5.81
1639,5.85
1684,5.91
1731,5.97
1778,6.02
1800,6.04
1824,6.06
1871,6.11
1957,6.19
2004,6.23
2051,6.28
2142,6.36
2160,6.38
2191,6.40
2233,6.43
2324,6.50
2369,6.53
2415,6.56
2507,6.62
2520,6.63
2555,6.65
2598,6.68
2688,6.74
2737,6.77
2780,6.80
2873,6.85
2880,6.86
2920,6.88
2964,6.90
3053,6.95
3101,6.97
3131,6.98
3145,6.99
3238,7.03
3241,7.03
3285,7.05
3329,7.07
3374,7.08
3418,7.10
3465,7.12
3510,7.14
3600,7.17
3605,7.17
3650,7.19
3696,7.20
3783,7.23
3875,7.26
3962,7.28
3969,7.28
4060,7.31
4151,7.33
4242,7.35
4321,7.37
4334,7.37
4382,7.38
4425,7.39
4515,7.41
4606,7.43
4680,7.45
4699,7.45
4790,7.47
4879,7.48
4971,7.50
5040,7.51
5064,7.51
5111,7.52
5155,7.53
5244,7.54
5336,7.56
5400,7.57
5429,7.57
5520,7.58
5580,7.59
5610,7.60
5702,7.61
5796,7.62
5889,7.63
5975,7.64
6069,7.65
6160,7.66
6251,7.67
6342,7.68
6433,7.69
6525,7.70
6616,7.71
6706,7.72
6797,7.73
6890,7.74
6981,7.75
7071,7.75
7163,7.76
7200,7.77
7256,7.77
7347,7.78
7436,7.78
7528,7.79
7623,7.80
7716,7.81
7801,7.81
7893,7.82
7987,7.82
8078,7.83
8166,7.84
8260,7.84
8351,7.85
8442,7.85
8533,7.86
8624,7.86
8717,7.87
8808,7.87
8897,7.88
8989,7.88
9002,7.88
9173,7.89
9354,7.90
9538,7.91
9719,7.92
9907,7.93
10087,7.94
10269,7.94
10451,7.95
10634,7.96
10801,7.96
10815,7.96
12551,8.02
