dias,d252,d360
1,9.15,0.00
7,9.16,9.35
13,9.16,9.05
14,9.16,9.35
17,9.16,10.05
21,9.16,9.36
24,9.16,9.85
27,9.16,9.21
28,9.16,9.36
30,9.28,9.74
34,9.38,9.47
42,9.61,9.81
43,9.64,9.94
45,9.69,10.17
51,9.78,10.15
52,9.80,10.25
57,9.81,9.58
62,9.92,9.58
66,10.04,9.99
70,10.09,9.87
72,10.14,10.05
73,10.16,10.14
78,10.22,10.11
86,10.33,10.29
87,10.35,10.36
90,10.37,10.20
99,10.54,10.50
104,10.59,10.31
114,10.72,10.46
115,10.73,10.52
118,10.75,10.39
120,10.79,10.52
132,10.93,10.63
139,11.00,10.73
147,11.08,10.86
148,11.09,10.91
150,11.12,11.01
157,11.20,11.10
162,11.24,11.10
164,11.26,11.07
176,11.36,11.15
177,11.37,11.19
178,11.39,11.23
181,11.40,11.14
190,11.46,11.28
192,11.48,11.35
198,11.52,11.37
205,11.56,11.43
206,11.56,11.46
209,11.57,11.38
210,11.58,11.41
223,11.67,11.50
225,11.68,11.57
238,11.76,11.64
239,11.76,11.67
240,11.77,11.70
254,11.82,11.69
255,11.83,11.72
261,11.85,11.73
269,11.88,11.79
272,11.88,11.72
282,11.92,11.76
286,11.93,11.72
297,11.97,11.85
300,11.97,11.79
301,11.98,11.81
316,12.00,11.76
330,12.02,11.80
331,12.02,11.82
335,12.02,11.78
344,12.03,11.83
346,12.03,11.86
351,12.03,11.84
358,12.04,11.85
359,12.04,11.87
360,12.04,11.89
363,12.04,11.83
377,12.03,11.84
391,12.02,11.85
407,12.02,11.89
408,12.01,11.90
419,12.01,11.78
420,12.01,11.79
421,12.01,11.81
435,12.00,11.82
443,12.00,11.83
450,12.00,11.83
451,12.00,11.85
454,12.00,11.80
463,11.98,11.78
468,11.98,11.76
478,11.97,11.76
483,11.96,11.70
496,11.95,11.69
510,11.93,11.69
526,11.92,11.67
527,11.92,11.68
540,11.90,11.67
541,11.90,11.68
545,11.90,11.65
559,11.86,11.62
570,11.82,11.63
588,11.77,11.57
589,11.77,11.58
601,11.74,11.54
605,11.72,11.56
619,11.69,11.51
625,11.67,11.49
630,11.66,11.47
636,11.65,11.45
650,11.62,11.40
652,11.61,11.42
660,11.60,11.41
681,11.56,11.33
692,11.54,11.30
708,11.50,11.29
714,11.49,11.28
721,11.48,11.25
728,11.47,11.22
741,11.45,11.20
750,11.44,11.21
771,11.41,11.15
772,11.41,11.15
780,11.40,11.15
811,11.36,11.11
818,11.35,11.09
832,11.34,11.08
840,11.33,11.09
862,11.31,11.07
870,11.30,11.07
902,11.28,11.03
909,11.28,11.03
930,11.26,11.02
954,11.25,11.04
960,11.24,11.03
990,11.22,11.04
1001,11.22,11.02
1010,11.21,11.03
1021,11.21,11.01
1049,11.20,11.00
1050,11.19,11.00
1080,11.18,11.01
1094,11.18,10.98
1112,11.17,10.97
1140,11.17,10.97
1170,11.16,10.96
1183,11.16,10.96
1204,11.15,10.93
1214,11.14,10.92
1227,11.13,10.91
1274,11.10,10.88
1319,11.10,10.91
1366,11.10,10.92
1413,11.09,10.91
1441,11.08,10.91
