data,datafim,valor
04/05/2012,04/06/2012,0.5146
05/05/2012,05/06/2012,0.514
06/05/2012,06/06/2012,0.5357
07/05/2012,07/06/2012,0.5558
08/05/2012,08/06/2012,0.5381
09/05/2012,09/06/2012,0.5492
10/05/2012,10/06/2012,0.5
11/05/2012,11/06/2012,0.5083
12/05/2012,12/06/2012,0.5
13/05/2012,13/06/2012,0.5221
14/05/2012,14/06/2012,0.524
15/05/2012,15/06/2012,0.5222
16/05/2012,16/06/2012,0.5266
17/05/2012,17/06/2012,0.512
18/05/2012,18/06/2012,0.5
19/05/2012,19/06/2012,0.5
20/05/2012,20/06/2012,0.5173
21/05/2012,21/06/2012,0.5464
22/05/2012,22/06/2012,0.5053
23/05/2012,23/06/2012,0.5318
24/05/2012,24/06/2012,0.5
25/05/2012,25/06/2012,0.5
26/05/2012,26/06/2012,0.5
27/05/2012,27/06/2012,0.5059
28/05/2012,28/06/2012,0.523
01/06/2012,01/07/2012,0.4828
02/06/2012,02/07/2012,0.4828
03/06/2012,03/07/2012,0.4828
04/06/2012,04/07/2012,0.4928
05/06/2012,05/07/2012,0.4828
06/06/2012,06/07/2012,0.4828
07/06/2012,07/07/2012,0.4828
08/06/2012,08/07/2012,0.4828
09/06/2012,09/07/2012,0.4828
10/06/2012,10/07/2012,0.4904
11/06/2012,11/07/2012,0.5275
12/06/2012,12/07/2012,0.4956
13/06/2012,13/07/2012,0.5023
14/06/2012,14/07/2012,0.4895
15/06/2012,15/07/2012,0.4828
16/06/2012,16/07/2012,0.4828
17/06/2012,17/07/2012,0.4828
18/06/2012,18/07/2012,0.5061
19/06/2012,19/07/2012,0.4951
20/06/2012,20/07/2012,0.4953
21/06/2012,21/07/2012,0.4828
22/06/2012,22/07/2012,0.4828
23/06/2012,23/07/2012,0.4828
24/06/2012,24/07/2012,0.4828
25/06/2012,25/07/2012,0.5054
26/06/2012,26/07/2012,0.4989
27/06/2012,27/07/2012,0.4828
28/06/2012,28/07/2012,0.4828
01/07/2012,01/08/2012,0.4973
02/07/2012,02/08/2012,0.5316
03/07/2012,03/08/2012,0.4877
04/07/2012,04/08/2012,0.539
05/07/2012,05/08/2012,0.4828
06/07/2012,06/08/2012,0.4828
07/07/2012,07/08/2012,0.4828
08/07/2012,08/08/2012,0.4862
09/07/2012,09/08/2012,0.5
10/07/2012,10/08/2012,0.5041
11/07/2012,11/08/2012,0.4972
12/07/2012,12/08/2012,0.4551
13/07/2012,13/08/2012,0.4551
14/07/2012,14/08/2012,0.4551
15/07/2012,15/08/2012,0.4551
16/07/2012,16/08/2012,0.4728
17/07/2012,17/08/2012,0.4567
18/07/2012,18/08/2012,0.456
19/07/2012,19/08/2012,0.4551
20/07/2012,20/08/2012,0.4551
21/07/2012,21/08/2012,0.4551
22/07/2012,22/08/2012,0.4551
23/07/2012,23/08/2012,0.4767
24/07/2012,24/08/2012,0.4733
25/07/2012,25/08/2012,0.4784
26/07/2012,26/08/2012,0.4551
27/07/2012,27/08/2012,0.4551
28/07/2012,28/08/2012,0.4551
01/08/2012,01/09/2012,0.4675
02/08/2012,02/09/2012,0.4551
03/08/2012,03/09/2012,0.4551
04/08/2012,04/09/2012,0.4551
05/08/2012,05/09/2012,0.4551
06/08/2012,06/09/2012,0.4788
07/08/2012,07/09/2012,0.4551
08/08/2012,08/09/2012,0.4551
09/08/2012,09/09/2012,0.4551
10/08/2012,10/09/2012,0.4551
11/08/2012,11/09/2012,0.4551
12/08/2012,12/09/2012,0.4551
13/08/2012,13/09/2012,0.4551
14/08/2012,14/09/2012,0.4551
15/08/2012,15/09/2012,0.4551
16/08/2012,16/09/2012,0.4551
17/08/2012,17/09/2012,0.4551
18/08/2012,18/09/2012,0.4551
19/08/2012,19/09/2012,0.4551
20/08/2012,20/09/2012,0.4551
21/08/2012,21/09/2012,0.4551
22/08/2012,22/09/2012,0.4551
23/08/2012,23/09/2012,0.4551
24/08/2012,24/09/2012,0.4551
25/08/2012,25/09/2012,0.4551
26/08/2012,26/09/2012,0.4551
27/08/2012,27/09/2012,0.4551
28/08/2012,28/09/2012,0.4551
01/09/2012,01/10/2012,0.4273
02/09/2012,02/10/2012,0.4273
03/09/2012,03/10/2012,0.4273
04/09/2012,04/10/2012,0.4273
05/09/2012,05/10/2012,0.4273
06/09/2012,06/10/2012,0.4273
07/09/2012,07/10/2012,0.4273
