data,valor
01/01/1992,21679868
01/02/1992,21602315
01/03/1992,21522997
01/04/1992,21459822
01/05/1992,21481355
01/06/1992,21477617
01/07/1992,21449468
01/08/1992,21413230
01/09/1992,21417346
01/10/1992,21369494
01/11/1992,21317729
01/12/1992,21053741
01/01/1993,21087398
01/02/1993,21090329
01/03/1993,21123832
01/04/1993,21151174
01/05/1993,21305975
01/06/1993,21360415
01/07/1993,21377796
01/08/1993,21385711
01/09/1993,21406217
01/10/1993,21415806
01/11/1993,21376271
01/12/1993,21145158
01/01/1994,21178702
01/02/1994,21167891
01/03/1994,21216886
01/04/1994,21289082
01/05/1994,21381795
01/06/1994,21459943
01/07/1994,21469090
01/08/1994,21481938
01/09/1994,21554028
01/10/1994,21611237
01/11/1994,21613614
01/12/1994,21447084
01/01/1995,21436294
01/02/1995,21505968
01/03/1995,21535605
01/04/1995,21623674
01/05/1995,21715877
01/06/1995,21725373
01/07/1995,21661156
01/08/1995,21544300
01/09/1995,21477058
01/10/1995,21433277
01/11/1995,21360073
01/12/1995,21317745
01/01/1996,21255634
01/02/1996,21228145
01/03/1996,21192233
01/04/1996,21253282
01/05/1996,21360513
01/06/1996,21413530
01/07/1996,21422640
01/08/1996,21410466
01/09/1996,21431818
01/10/1996,21391993
01/11/1996,21326660
01/12/1996,21046447
01/01/1997,21003333
01/02/1997,21009695
01/03/1997,21068577
01/04/1997,21159736
01/05/1997,21288690
01/06/1997,21368620
01/07/1997,21361119
01/08/1997,21364869
01/09/1997,21404040
01/10/1997,21412009
01/11/1997,21346362
01/12/1997,21010716
01/01/1998,20925396
01/02/1998,20903269
01/03/1998,20892556
01/04/1998,20968201
01/05/1998,21053572
01/06/1998,21071669
01/07/1998,21050215
01/08/1998,21072428
01/09/1998,21049226
01/10/1998,20985133
01/11/1998,20866721
01/12/1998,20428963
01/01/1999,20387752
01/02/1999,20309722
01/03/1999,20233410
01/04/1999,20290953
01/05/1999,20388135
01/06/1999,20446244
01/07/1999,20454301
01/08/1999,20467607
01/09/1999,20474814
01/10/1999,20492253
01/11/1999,20476083
01/12/1999,20232962
01/01/2000,20264160
01/02/2000,20352335
01/03/2000,20392282
01/04/2000,20517353
01/05/2000,20680190
01/06/2000,20823074
01/07/2000,20928916
01/08/2000,21007761
01/09/2000,21100439
01/10/2000,21115881
01/11/2000,21116347
01/12/2000,20890558
01/01/2001,20939354
01/02/2001,21019597
01/03/2001,21054081
01/04/2001,21194078
01/05/2001,21355976
01/06/2001,21464547
01/07/2001,21535933
01/08/2001,21583260
01/09/2001,21663288
01/10/2001,21740475
01/11/2001,21735560
01/12/2001,21481637
01/01/2002,21525865
01/02/2002,21607878
01/03/2002,21698138
01/04/2002,21873228
01/05/2002,22029041
01/06/2002,22162387
01/07/2002,22223614
01/08/2002,22301636
01/09/2002,22468948
01/10/2002,22505316
01/11/2002,22493565
01/12/2002,22244051
01/01/2003,22279536
01/02/2003,22363565
01/03/2003,22384826
01/04/2003,22538850
01/05/2003,22679163
01/06/2003,22804958
01/07/2003,22842191
01/08/2003,22921963
01/09/2003,23083728
01/10/2003,23154598
01/11/2003,23189402
01/12/2003,22889484
01/01/2004,23017581
01/02/2004,23182657
01/03/2004,23309576
01/04/2004,23520092
01/05/2004,23841689
01/06/2004,24077641
01/07/2004,24310895
01/08/2004,24565918
01/09/2004,24802854
01/10/2004,24952431
01/11/2004,25047858
01/12/2004,24686019
01/01/2005,24837075
01/02/2005,24936384
01/03/2005,25066664
01/04/2005,25370474
01/05/2005,25617837
01/06/2005,25841546
01/07/2005,25986413
01/08/2005,26146139
01/09/2005,26375796
01/10/2005,26510221
01/11/2005,26538746
01/12/2005,26247552
01/01/2006,26365991
01/02/2006,26575433
01/03/2006,26679739
01/04/2006,26952402
01/05/2006,27186794
01/06/2006,27374195
01/07/2006,27557963
01/08/2006,27716165
01/09/2006,27925857
01/10/2006,28072935
01/11/2006,28120536
01/12/2006,27797154
01/01/2007,27937829
01/02/2007,28113564
01/03/2007,28285321
01/04/2007,28625647
01/05/2007,28870441
01/06/2007,29079783
01/07/2007,29235645
01/08/2007,29400167
01/09/2007,29692251
01/10/2007,29925083
01/11/2007,30068900
01/12/2007,29740204
01/01/2008,29917076
01/02/2008,30151364
01/03/2008,30378489
01/04/2008,30704360
01/05/2008,30932544
01/06/2008,31277512
01/07/2008,31509909
01/08/2008,31778727
01/09/2008,32089732
01/10/2008,32170229
01/11/2008,32142855
01/12/2008,31447494
01/01/2009,31380417
01/02/2009,31428224
01/03/2009,31497087
01/04/2009,31638193
01/05/2009,31807101
01/06/2009,31958479
01/07/2009,32132178
01/08/2009,32413594
01/09/2009,32713700
01/10/2009,32989822
01/11/2009,33271664
01/12/2009,32845339
01/01/2010,33085479
01/02/2010,33343954
01/03/2010,33666464
01/04/2010,34015825
01/05/2010,34365555
01/06/2010,34622531
01/07/2010,34842656
01/08/2010,35200440
01/09/2010,35496072
01/10/2010,35738008
01/11/2010,35895039
01/12/2010,35475166
01/01/2011,35677338
01/02/2011,36024408
01/03/2011,36150514
01/04/2011,36467957
01/05/2011,36756706
01/06/2011,37012124
01/07/2011,37189406
01/08/2011,37420025
01/09/2011,37671330
01/10/2011,37831458
01/11/2011,37904125
01/12/2011,37501737
01/01/2012,37682367
01/02/2012,37882746
01/03/2012,38048638
01/04/2012,38312248
01/05/2012,38508022
01/06/2012,38671249
01/07/2012,38855245
01/08/2012,39008733
01/09/2012,39211072
01/10/2012,39301215
01/11/2012,39377372
01/12/2012,38874331
01/01/2013,38949945
01/02/2013,39118793
01/03/2013,39301811
01/04/2013,39558036
01/05/2013,39669260
01/06/2013,39827329
01/07/2013,39900546
01/08/2013,40062706
01/09/2013,40320374
01/10/2013,40451239
01/11/2013,40520600
01/12/2013,40012893
01/01/2014,40076131
01/02/2014,40377525
01/03/2014,40412630
01/04/2014,40545345
01/05/2014,40632017
01/06/2014,40682590
01/07/2014,40713773
01/08/2014,40844677
01/09/2014,41013503
01/10/2014,40996471
01/11/2014,41015819
01/12/2014,40433583
01/01/2015,40371758
01/02/2015,40384931
01/03/2015,40420996
01/04/2015,40336215
01/05/2015,40226851
01/06/2015,40127989
01/07/2015,39978632
01/08/2015,39901312
01/09/2015,39813557
01/10/2015,39646889
01/11/2015,39512987
01/12/2015,38898594
01/01/2016,38806321
01/02/2016,38709987
01/03/2016,38595465
01/04/2016,38539643
01/05/2016,38473257
01/06/2016,38385537
01/07/2016,38301297
01/08/2016,38279211
01/09/2016,38246942
01/10/2016,38168177
01/11/2016,38050143
01/12/2016,37572036
01/01/2017,37540961
01/02/2017,37590590
01/03/2017,37532996
01/04/2017,37607378
01/05/2017,37652223
01/06/2017,37669074
01/07/2017,37719855
01/08/2017,37769297
01/09/2017,37818580
01/10/2017,37905505
01/11/2017,37900704
01/12/2017,37560073
01/01/2018,37651140
01/02/2018,37728171
01/03/2018,37803289
01/04/2018,37934749
01/05/2018,37977811
01/06/2018,37986208
01/07/2018,38044353
01/08/2018,38168097
01/09/2018,38319103
01/10/2018,38385708
01/11/2018,38448876
01/12/2018,38106518
01/01/2019,38151184
01/02/2019,38343687
01/03/2019,38305075
01/04/2019,38441459
01/05/2019,38482133
01/06/2019,38541663
01/07/2019,38593288
01/08/2019,38721119
01/09/2019,38883153
01/10/2019,38957311
01/11/2019,39057908
01/12/2019,38750597
01/01/2020,38862990
01/02/2020,39080656
01/03/2020,38785973
01/04/2020,37804141
01/05/2020,37405934
01/06/2020,37352478
01/07/2020,37461322
01/08/2020,37676192
01/09/2020,37975786
01/10/2020,38342081
01/11/2020,38716410
01/12/2020,38559095
01/01/2021,38801305
01/02/2021,39186610
01/03/2021,39332581
01/04/2021,39414769
01/05/2021,39672469
01/06/2021,39976680
01/07/2021,40269858
01/08/2021,40639920
01/09/2021,40951986
01/10/2021,41205069
