name,code,mult
INPC,99999999,1
INPC_12M,99999999,1
INPC_ANO,99999999,1
INPC_ANUAL,99999999,1
INCC-M,999999995,1
INCC-M_12M,999999995,1
INCC-M_ANO,999999995,1
INCC-M_ANUAL,999999995,1
INCC-DI,999999996,1
INCC-DI_12M,999999996,1
INCC-DI_ANO,999999996,1
INCC-DI_ANUAL,999999996,1
PIB_IBGE_BC,22099,1
PIB_IBGE_BC_Dessaz,22109,1
PIB_USD,4385,1000000
PIB_USD_12M,4385,1000000
PIB_USD_12M_2,4192,1000000
PIB_USD_ANO,4385,1000000
PIB_USD_ANO_2,4386,1000000
PNAD_working_age_pop,24370,1000
PNAD_larbor_force,24378,1000
PNAD_employed_pop,24379,1000
Div_Liq_PIB_Perc,4513,1
Div_Bruta_PIB_Perc,13762,1
Viagens_Desp,22742,1000000
