title;Arrecadação das Receitas Federais
subtit;A preços de março de 2022
dfont;Receita Federal
vtype;rvalue
decimal;1
mult;1000000000
divshow;1000000000
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
jan/95;54.750
fev/95;50.264
mar/95;57.460
abr/95;52.010
mai/95;61.629
jun/95;56.569
jul/95;51.828
ago/95;52.392
set/95;52.086
out/95;53.061
nov/95;51.845
dez/95;65.003
jan/96;50.739
fev/96;47.148
mar/96;65.579
abr/96;50.475
mai/96;51.525
jun/96;50.581
jul/96;53.382
ago/96;51.540
set/96;54.377
out/96;54.249
nov/96;53.884
dez/96;79.212
jan/97;55.795
fev/97;52.846
mar/97;58.762
abr/97;60.001
mai/97;55.730
jun/97;54.951
jul/97;60.497
ago/97;61.335
set/97;57.816
out/97;60.607
nov/97;57.676
dez/97;81.772
jan/98;66.884
fev/98;59.764
mar/98;77.000
abr/98;69.613
mai/98;57.019
jun/98;55.852
jul/98;62.246
ago/98;87.898
set/98;61.041
out/98;59.333
nov/98;55.256
dez/98;82.343
jan/99;61.939
fev/99;69.667
mar/99;72.972
abr/99;66.648
mai/99;59.325
jun/99;63.989
jul/99;74.073
ago/99;72.021
set/99;74.595
out/99;68.166
nov/99;69.174
dez/99;89.260
jan/00;72.884
fev/00;67.833
mar/00;77.966
abr/00;71.434
mai/00;68.828
jun/00;71.013
jul/00;72.629
ago/00;83.744
set/00;70.131
out/00;77.522
nov/00;75.641
dez/00;93.694
jan/01;84.435
fev/01;67.401
mar/01;74.296
abr/01;80.511
mai/01;77.604
jun/01;78.458
jul/01;79.969
ago/01;79.386
set/01;73.739
out/01;83.426
nov/01;76.744
dez/01;94.490
jan/02;97.872
fev/02;79.189
mar/02;77.876
abr/02;86.991
mai/02;81.421
jun/02;77.764
jul/02;92.738
ago/02;81.769
set/02;95.322
out/02;97.362
nov/02;86.678
dez/02;99.958
jan/03;97.672
fev/03;80.056
mar/03;75.741
abr/03;91.597
mai/03;81.896
jun/03;75.018
jul/03;87.252
ago/03;76.760
set/03;79.362
out/03;93.812
nov/03;86.842
dez/03;107.610
jan/04;97.899
fev/04;84.256
mar/04;87.895
abr/04;95.523
mai/04;87.773
jun/04;93.329
jul/04;97.278
ago/04;90.630
set/04;93.758
out/04;99.779
nov/04;89.349
dez/04;122.275
jan/05;105.230
fev/05;87.040
mar/05;93.130
abr/05;103.786
mai/05;90.581
jun/05;102.688
jul/05;101.089
ago/05;97.719
set/05;94.138
out/05;104.524
nov/05;98.340
dez/05;130.898
jan/06;110.201
fev/06;94.507
mar/06;98.393
abr/06;111.946
mai/06;97.675
jun/06;111.314
jul/06;108.305
ago/06;103.066
set/06;111.975
out/06;116.657
nov/06;105.166
dez/06;140.277
jan/07;122.382
fev/07;102.545
mar/07;110.302
abr/07;123.906
mai/07;110.084
jun/07;118.825
jul/07;121.375
ago/07;116.968
set/07;117.681
out/07;132.034
nov/07;126.135
dez/07;155.591
jan/08;146.313
fev/08;113.125
mar/08;118.604
abr/08;137.734
mai/08;115.866
jun/08;126.899
jul/08;140.365
ago/08;121.941
set/08;125.447
out/08;147.092
nov/08;124.896
dez/08;148.879
jan/09;136.547
fev/09;99.967
mar/09;118.107
abr/09;126.680
mai/09;109.365
jun/09;117.909
jul/09;127.577
ago/09;113.505
set/09;111.911
out/09;148.163
nov/09;156.812
dez/09;158.932
jan/10;154.762
fev/10;113.545
mar/10;124.839
abr/10;147.754
mai/10;127.172
jun/10;127.896
jul/10;141.325
ago/10;130.613
set/10;131.495
out/10;152.545
nov/10;138.414
dez/10;184.269
jan/11;178.499
fev/11;124.715
mar/11;136.942
abr/11;163.026
mai/11;136.308
jun/11;157.399
jul/11;171.434
ago/11;141.202
set/11;141.386
out/11;166.342
nov/11;147.260
dez/11;179.297
jan/12;189.285
fev/12;132.084
mar/12;150.990
abr/12;168.721
mai/12;141.514
jun/12;147.089
jul/12;158.809
ago/12;138.608
set/12;139.862
out/12;160.909
nov/12;147.917
dez/12;181.013
jan/13;201.755
fev/13;131.409
mar/13;137.780
abr/13;168.842
mai/13;149.724
jun/13;145.632
jul/13;160.224
ago/13;142.317
set/13;142.252
out/13;169.640
nov/13;187.974
dez/13;195.939
jan/14;203.596
fev/14;135.943
mar/14;140.344
abr/14;170.408
mai/14;140.809
jun/14;145.818
jul/14;157.656
ago/14;150.198
set/14;143.561
out/14;167.379
nov/14;163.796
dez/14;178.507
jan/15;192.514
fev/15;136.604
mar/15;141.013
abr/15;162.527
mai/15;135.133
jun/15;142.265
jul/15;152.714
ago/15;136.207
set/15;137.645
out/15;148.410
nov/15;135.475
dez/15;170.792
jan/16;179.592
fev/16;120.853
mar/16;131.195
abr/16;150.981
mai/16;128.634
jun/16;132.103
jul/16;143.857
ago/16;122.416
set/16;126.264
out/16;197.737
nov/16;135.627
dez/16;168.762
jan/17;181.015
fev/17;121.282
mar/17;129.672
abr/17;154.413
mai/17;127.395
jun/17;136.062
jul/17;143.362
ago/17;135.617
set/17;137.205
out/17;156.750
nov/17;148.499
dez/17;177.078
jan/18;199.338
fev/18;134.225
mar/18;134.789
abr/18;166.504
mai/18;134.634
jun/18;138.796
jul/18;161.751
ago/18;137.085
set/18;137.565
out/18;163.205
nov/18;148.096
dez/18;175.251
jan/19;198.016
fev/19;141.415
mar/19;134.010
abr/19;168.639
mai/19;137.225
jun/19;145.288
jul/19;166.518
ago/19;144.859
set/19;137.647
out/19;163.179
nov/19;150.294
dez/19;175.105
jan/20;207.305
fev/20;137.587
mar/20;129.563
abr/20;119.823
mai/20;92.052
jun/20;102.301
jul/20;137.070
ago/20;146.779
set/20;140.364
out/20;178.786
nov/20;161.281
dez/20;180.672
jan/21;204.192
fev/21;143.504
mar/21;153.517
abr/21;174.002
mai/21;156.376
jun/21;150.148
jul/21;185.692
ago/21;157.427
