title;Índice de volume das atividades turísticas
subtit;Variação acumulada em 12 meses, em %
dfont;IBGE
vtype;rvalue
decimal;2
ylines;
blk_dx;80
;
;
;
;
;
data;begin
x;y
dez/12;-2
jan/13;-1.6
fev/13;-1.4
mar/13;-1
abr/13;0
mai/13;1
jun/13;1.5
jul/13;2.6
ago/13;3.5
set/13;3.7
out/13;3.8
nov/13;3.7
dez/13;3.8
jan/14;4.5
fev/14;5.7
mar/14;5.4
abr/14;5
mai/14;4.9
jun/14;4.4
jul/14;3.6
ago/14;3.3
set/14;3.3
out/14;2.9
nov/14;2.6
dez/14;2.3
jan/15;1.4
fev/15;-0.3
mar/15;-0.3
abr/15;-0.6
mai/15;-1.2
jun/15;-1
jul/15;-1.4
ago/15;-1.6
set/15;-2.2
out/15;-2.1
nov/15;-2.2
dez/15;-2.1
jan/16;-1.9
fev/16;-1.2
mar/16;-1.4
abr/16;-1.6
mai/16;-2.1
jun/16;-2.1
jul/16;-1.7
ago/16;-2.4
set/16;-2.3
out/16;-2.7
nov/16;-2.8
dez/16;-2.6
jan/17;-3.3
fev/17;-4.1
mar/17;-4.3
abr/17;-4.5
mai/17;-4.2
jun/17;-4.6
jul/17;-5
ago/17;-5
set/17;-5.3
out/17;-5.5
nov/17;-5.9
dez/17;-6.5
jan/18;-5.8
fev/18;-5.5
mar/18;-5.2
abr/18;-4.5
mai/18;-4
jun/18;-3.5
jul/18;-3
ago/18;-1.8
set/18;-0.7
out/18;0.4
nov/18;1.2
dez/18;2
jan/19;2.3
fev/19;3.1
mar/19;3.3
abr/19;3.1
mai/19;3.4
jun/19;3.4
jul/19;3.8
ago/19;2.9
set/19;2.5
out/19;2.5
nov/19;2.4
dez/19;2.7
jan/20;2.7
fev/20;2.8
mar/20;0.3
abr/20;-5.1
mai/20;-10.8
jun/20;-15.7
jul/20;-20.9
ago/20;-24.5
set/20;-27.7
out/20;-30.9
nov/20;-33.6
dez/20;-36.7
jan/21;-39.5
fev/21;-42.3
mar/21;-42.1
abr/21;-36.8
mai/21;-29.7
jun/21;-22.2
jul/21;-13.3
ago/21;-5.7
set/21;1
out/21;7.5
nov/21;13.9
dez/21;22.2
jan/22;30.8
fev/22;39
