title;Índice de preços ao produtor americano
subtit;Variação acumulada % em 12 meses
dfont; U.S Bureau of Labour Statistics
vtype;rvalue
decimal;1
ylines;
blk_dx;80
blk_dx_inb;74
;
;
;
data;begin
x;y
Jan/2015;0.0
Feb/2015;-0.5
Mar/2015;-0.9
Apr/2015;-1.1
May/2015;-0.8
Jun/2015;-0.5
Jul/2015;-0.7
Aug/2015;-1.0
Sep/2015;-1.1
Oct/2015;-1.4
Nov/2015;-1.3
Dec/2015;-1.1
Jan/2016;0.0
Feb/2016;0.1
Mar/2016;-0.1
Apr/2016;0.2
May/2016;0.0
Jun/2016;0.2
Jul/2016;0.0
Aug/2016;0.0
Sep/2016;0.6
Oct/2016;1.1
Nov/2016;1.3
Dec/2016;1.7
Jan/2017;1.7
Feb/2017;2.0
Mar/2017;2.2
Apr/2017;2.5
May/2017;2.3
Jun/2017;1.9
Jul/2017;2.0
Aug/2017;2.4
Sep/2017;2.6
Oct/2017;2.8
Nov/2017;3.0
Dec/2017;2.5
Jan/2018;2.6
Feb/2018;2.8
Mar/2018;2.9
Apr/2018;2.7
May/2018;3.1
Jun/2018;3.3
Jul/2018;3.4
Aug/2018;3.0
Sep/2018;2.7
Oct/2018;3.1
Nov/2018;2.6
Dec/2018;2.6
Jan/2019;1.9
Feb/2019;1.9
Mar/2019;2.0
Apr/2019;2.4
May/2019;2.1
Jun/2019;1.6
Jul/2019;1.6
Aug/2019;1.9
Sep/2019;1.5
Oct/2019;1.0
Nov/2019;1.0
Dec/2019;1.4
Jan/2020;2.0
Feb/2020;1.1
Mar/2020;0.3
Apr/2020;-1.5
May/2020;-1.1
Jun/2020;-0.7
Jul/2020;-0.3
Aug/2020;-0.3
Sep/2020;0.3
Oct/2020;0.6
Nov/2020;0.8
Dec/2020;0.8
Jan/2021;1.6
Feb/2021;3.0
Mar/2021;4.1
Apr/2021;6.5
May/2021;7.0
Jun/2021;7.6
Jul/2021;8.0
Aug/2021;8.7
Sep/2021;8.8
Oct/2021;8.9
Nov/2021;9.9
Dec/2021;10.0
Jan/2022;10.1
Feb/2022;10.3
Mar/2022;11.2
