title;Índice de preços ao produtor americano
subtit;Variação % sobre o mês anterior
dfont; U.S Bureau of Labour Statistics
decimal;1
ylines;
vtype;rvalue
blk_dx;80
blk_dx_inb;74
;
;
;
data;begin
x;y
jan/12;0.4
fev/12;0.3
mar/12;0.2
abr/12;0.3
mai/12;-0.1
jun/12;-0.3
jul/12;-0.1
ago/12;0.3
set/12;0.7
out/12;0.1
nov/12;0.1
dez/12;0
jan/13;0.3
fev/13;0.2
mar/13;0
abr/13;-0.2
mai/13;-0.1
jun/13;0.4
jul/13;0.2
ago/13;0.1
set/13;0
out/13;0.2
nov/13;0.2
dez/13;0.1
jan/14;0.3
fev/14;0.2
mar/14;0.4
abr/14;0.1
mai/14;0.2
jun/14;-0.1
jul/14;0.4
ago/14;0
set/14;-0.2
out/14;0.2
nov/14;-0.2
dez/14;-0.3
jan/15;-0.6
fev/15;-0.5
mar/15;0.2
abr/15;-0.2
mai/15;0.4
jun/15;0.3
jul/15;0.2
ago/15;-0.2
set/15;-0.4
out/15;-0.3
nov/15;0.1
dez/15;-0.1
jan/16;0.4
fev/16;-0.3
mar/16;0
abr/16;0.2
mai/16;0.2
jun/16;0.5
jul/16;-0.1
ago/16;-0.2
set/16;0.3
out/16;0.3
nov/16;0.2
dez/16;0.3
jan/17;0.4
fev/17;0
mar/17;0.2
abr/17;0.4
mai/17;-0.1
jun/17;0.1
jul/17;0.1
ago/17;0.4
set/17;0.4
out/17;0.4
nov/17;0.4
dez/17;0.1
jan/18;0.3
fev/18;0.3
mar/18;0.3
abr/18;0.1
mai/18;0.3
jun/18;0.3
jul/18;0.1
ago/18;0.1
set/18;0.2
out/18;0.7
nov/18;-0.2
dez/18;0
jan/19;-0.3
fev/19;0.3
mar/19;0.3
abr/19;0.5
mai/19;0.1
jun/19;-0.2
jul/19;0.2
ago/19;0.2
set/19;-0.3
out/19;0.3
nov/19;-0.2
dez/19;0.3
jan/20;0.3
fev/20;-0.6
mar/20;-0.4
abr/20;-1.3
mai/20;0.5
jun/20;0.3
jul/20;0.6
ago/20;0.2
set/20;0.3
out/20;0.6
nov/20;0
dez/20;0.3
jan/21;1.2
fev/21;0.7
mar/21;0.7
abr/21;1
mai/21;1
jun/21;0.8
jul/21;0.9
ago/21;0.9
set/21;0.5
out/21;0.7
nov/21;1
dez/21;0.6
jan/22;1.2
fev/22;0.9
mar/22;1.4
