title;Defasagem do preço do Diesel 
subtit;em relação ao PPI, em %
dfont;ABICOM
vtype;rvalue
decimal;1
blk_dx;80
ylines;0
show_leg;only_name 
;
;
;
;
;
;
data;begin
x;y
01/01/2020;-0.97 
02/01/2020;-0.97 
03/01/2020;-1.18 
04/01/2020;-1.18 
05/01/2020;-1.18 
06/01/2020;-3.04 
07/01/2020;-2.10 
08/01/2020;-2.75 
09/01/2020; 1.53 
10/01/2020; 1.86 
11/01/2020; 1.86 
12/01/2020; 1.86 
13/01/2020;-0.28 
14/01/2020; 0.19 
15/01/2020;-0.21 
16/01/2020; 1.27 
17/01/2020; 1.01 
18/01/2020; 1.01 
19/01/2020; 1.01 
20/01/2020; 0.68 
21/01/2020; 0.70 
22/01/2020; 1.32 
23/01/2020;-1.14 
24/01/2020;-0.27 
25/01/2020;-0.27 
26/01/2020;-0.27 
27/01/2020; 2.49 
28/01/2020; 4.54 
29/01/2020; 3.32 
30/01/2020; 0.88 
31/01/2020; 3.51 
01/02/2020; 3.51 
02/02/2020; 3.51 
03/02/2020; 3.59 
04/02/2020; 8.84 
05/02/2020; 3.09 
06/02/2020;-1.25 
07/02/2020;-1.98 
08/02/2020;-1.98 
09/02/2020;-1.98 
10/02/2020;-2.14 
11/02/2020;-0.45 
12/02/2020;-1.24 
13/02/2020;-4.52 
14/02/2020;-4.79 
15/02/2020;-4.79 
16/02/2020;-4.79 
17/02/2020;-5.33 
18/02/2020;-5.32 
19/02/2020;-4.61 
20/02/2020;-7.13 
21/02/2020;-7.21 
22/02/2020;-7.21 
23/02/2020;-7.21 
24/02/2020;-6.91 
25/02/2020;-3.10 
26/02/2020;-0.77 
27/02/2020; 2.93 
28/02/2020;-2.50 
29/02/2020;-2.50 
01/03/2020;-2.50 
02/03/2020;-2.41 
03/03/2020;-5.44 
04/03/2020;-6.34 
05/03/2020;-6.92 
06/03/2020;-6.03 
07/03/2020;-6.03 
08/03/2020;-6.03 
09/03/2020; 0.34 
10/03/2020; 16.34 
11/03/2020; 10.29 
12/03/2020; 3.46 
13/03/2020; 4.44 
14/03/2020; 4.44 
15/03/2020; 4.44 
16/03/2020; 9.56 
17/03/2020; 13.24 
18/03/2020; 4.02 
19/03/2020; 10.57 
20/03/2020; 1.87 
21/03/2020; 1.87 
22/03/2020; 1.87 
23/03/2020; 8.29 
24/03/2020; 6.40 
25/03/2020; 0.85 
26/03/2020;-1.04 
27/03/2020; 1.23 
28/03/2020; 1.23 
29/03/2020; 1.23 
30/03/2020;-2.52 
31/03/2020; 1.49 
01/04/2020; 3.13 
02/04/2020; 9.62 
03/04/2020; 3.00 
04/04/2020; 3.00 
05/04/2020; 3.00 
06/04/2020;-4.24 
07/04/2020;-0.12 
08/04/2020; 2.21 
09/04/2020; 4.31 
10/04/2020; 11.73 
11/04/2020; 11.73 
12/04/2020; 11.73 
13/04/2020; 11.73 
14/04/2020; 6.46 
15/04/2020; 10.79 
16/04/2020; 11.85 
17/04/2020; 7.81 
18/04/2020; 7.81 
19/04/2020; 7.81 
20/04/2020;-3.91 
21/04/2020; 2.56 
22/04/2020; 22.96 
23/04/2020; 19.74 
24/04/2020; 19.64 
25/04/2020; 19.64 
26/04/2020; 7.27 
27/04/2020; 18.23 
28/04/2020; 22.05 
29/04/2020; 20.67 
30/04/2020; 13.09 
01/05/2020; 0.45 
02/05/2020; 0.45 
03/05/2020; 0.45 
04/05/2020; 5.24 
05/05/2020; 1.09 
06/05/2020;-9.16 
07/05/2020;-1.85 
08/05/2020;-7.28 
09/05/2020;-7.28 
10/05/2020;-7.28 
11/05/2020;-13.25 
12/05/2020;-11.61 
13/05/2020;-8.13 
14/05/2020;-9.15 
15/05/2020;-16.30 
16/05/2020;-16.30 
17/05/2020;-16.30 
18/05/2020;-11.07 
19/05/2020;-16.38 
20/05/2020;-13.40 
21/05/2020;-14.54 
22/05/2020;-13.09 
23/05/2020;-13.09 
24/05/2020;-13.09 
25/05/2020;-12.33 
