title; Defasagem do preço da Gasolina em relação ao PPI
subtit; em %
dfont;ABICOM
vtype;rvalue
decimal;1
blk_dx;80
show_leg;only_name
;
;
;
;
;
data;begin
x;y
01/01/2020;-1.3
02/01/2020; 0.6
03/01/2020; 0.6
04/01/2020; 0.0
05/01/2020; 0.0
06/01/2020; 0.0
07/01/2020;-3.4
08/01/2020;-3.7
09/01/2020;-2.9
10/01/2020; 2.3
11/01/2020; 2.6
12/01/2020; 2.6
13/01/2020; 2.6
14/01/2020;-1.1
15/01/2020;-2.1
16/01/2020;-1.4
17/01/2020;-1.2
18/01/2020;-3.1
19/01/2020;-3.1
20/01/2020;-3.1
21/01/2020;-2.5
22/01/2020;-2.5
23/01/2020;-2.8
24/01/2020;-0.6
25/01/2020; 1.2
26/01/2020; 1.2
27/01/2020; 1.2
28/01/2020; 3.8
29/01/2020; 5.1
30/01/2020; 3.7
31/01/2020;-1.4
01/02/2020;-0.1
02/02/2020;-0.1
03/02/2020;-0.1
04/02/2020;-0.3
05/02/2020; 3.9
06/02/2020; 2.5
07/02/2020;-0.3
08/02/2020;-0.5
09/02/2020;-0.5
10/02/2020;-0.5
11/02/2020;-3.7
12/02/2020;-3.8
13/02/2020;-3.5
14/02/2020;-8.8
15/02/2020;-8.8
16/02/2020;-8.8
17/02/2020;-8.8
18/02/2020;-8.5
19/02/2020;-8.5
20/02/2020;-8.4
21/02/2020;-12.2
22/02/2020;-13.4
23/02/2020;-13.4
24/02/2020;-13.4
25/02/2020;-12.0
26/02/2020;-10.0
27/02/2020;-4.7
28/02/2020; 1.1
29/02/2020;-3.7
01/03/2020;-3.7
02/03/2020;-3.7
03/03/2020;-2.1
04/03/2020;-6.0
05/03/2020;-5.8
06/03/2020;-10.5
07/03/2020;-8.8
08/03/2020;-8.8
09/03/2020;-8.8
10/03/2020; 0.4
11/03/2020; 22.7
12/03/2020; 21.0
13/03/2020; 11.9
14/03/2020; 28.1
15/03/2020; 28.1
16/03/2020; 28.1
17/03/2020; 28.8
18/03/2020; 61.0
19/03/2020; 44.5
20/03/2020; 66.9
21/03/2020; 47.7
22/03/2020; 47.7
23/03/2020; 47.7
24/03/2020; 88.1
25/03/2020; 117.1
26/03/2020; 109.1
27/03/2020; 72.4
28/03/2020; 70.3
29/03/2020; 70.3
30/03/2020; 70.3
31/03/2020; 54.4
01/04/2020; 51.9
02/04/2020; 60.3
03/04/2020; 81.4
04/04/2020; 41.6
05/04/2020; 41.6
06/04/2020; 41.6
07/04/2020; 36.7
08/04/2020; 42.9
09/04/2020; 60.5
10/04/2020; 46.5
11/04/2020; 45.3
12/04/2020; 45.3
13/04/2020; 45.3
14/04/2020; 45.3
15/04/2020; 32.6
16/04/2020; 26.3
17/04/2020; 26.1
18/04/2020; 33.1
19/04/2020; 33.1
20/04/2020; 33.1
21/04/2020; 6.6
22/04/2020; 11.5
23/04/2020; 43.5
24/04/2020; 6.9
25/04/2020; 8.4
26/04/2020; 8.4
27/04/2020; 8.4
28/04/2020; 3.8
29/04/2020; 5.5
30/04/2020; 1.0
01/05/2020;-3.3
02/05/2020;-5.8
03/05/2020;-5.8
04/05/2020;-5.8
05/05/2020;-2.4
06/05/2020;-13.8
07/05/2020;-13.5
08/05/2020;-12.9
09/05/2020;-21.3
10/05/2020;-21.3
11/05/2020;-21.3
12/05/2020;-21.9
13/05/2020;-20.1
14/05/2020;-12.1
15/05/2020;-6.3
16/05/2020;-15.5
17/05/2020;-15.5
18/05/2020;-15.5
19/05/2020;-20.1
20/05/2020;-23.1
21/05/2020;-14.4
22/05/2020;-13.7
23/05/2020;-12.3
24/05/2020;-12.3
25/05/2020;-12.3
26/05/2020;-11.1
27/05/2020;-5.3
28/05/2020;-4.0
29/05/2020; 2.7
30/05/2020; 1.8
31/05/2020; 1.8
01/06/2020; 1.8
02/06/2020;-4.3
03/06/2020;-5.0
04/06/2020;-8.1
05/06/2020;-6.3
06/06/2020;-9.6
07/06/2020;-9.6
08/06/2020;-9.6
09/06/2020;-3.7
10/06/2020;-2.6
11/06/2020;-2.7
12/06/2020;-3.5
13/06/2020;-3.5
14/06/2020;-3.5
15/06/2020;-3.5
16/06/2020; 3.0
17/06/2020;-3.3
18/06/2020;-6.1
19/06/2020;-4.5
20/06/2020;-9.6
21/06/2020;-9.6
22/06/2020;-9.6
23/06/2020;-10.3
24/06/2020;-9.3
25/06/2020;-9.5
26/06/2020;-3.4
27/06/2020;-3.7
28/06/2020;-3.7
29/06/2020;-3.7
30/06/2020;-2.6
01/07/2020;-4.5
02/07/2020;-3.6
03/07/2020;-6.3
04/07/2020;-8.9
05/07/2020;-8.9
06/07/2020;-8.9
07/07/2020;-9.3
08/07/2020;-3.0
09/07/2020;-5.8
10/07/2020;-7.0
11/07/2020;-3.2
12/07/2020;-3.2
13/07/2020;-3.2
14/07/2020;-6.2
15/07/2020;-6.0
16/07/2020;-5.9
17/07/2020;-2.4
18/07/2020;-0.5
19/07/2020; 0.1
20/07/2020; 0.1
21/07/2020; 0.4
22/07/2020;-0.0
23/07/2020;-1.4
24/07/2020;-0.6
25/07/2020; 0.4
26/07/2020; 0.4
27/07/2020; 0.6
28/07/2020;-1.7
29/07/2020;-0.8
30/07/2020; 2.1
31/07/2020; 0.1
01/08/2020; 1.5
02/08/2020; 1.5
03/08/2020; 1.5
04/08/2020; 3.5
05/08/2020;-2.1
06/08/2020;-2.4
07/08/2020;-2.2
08/08/2020;-4.3
09/08/2020;-4.3
10/08/2020;-4.3
11/08/2020;-5.5
12/08/2020;-7.6
13/08/2020;-7.7
14/08/2020;-5.4
15/08/2020;-3.8
16/08/2020;-3.8
17/08/2020;-4.0
18/08/2020;-4.5
19/08/2020;-7.6
20/08/2020;-9.1
21/08/2020;-3.9
22/08/2020;-6.0
23/08/2020;-6.0
24/08/2020;-6.0
25/08/2020;-4.5
26/08/2020;-7.3
27/08/2020;-7.3
28/08/2020;-4.4
29/08/2020;-3.7
30/08/2020;-3.7
31/08/2020;-3.7
01/09/2020;-5.3
02/09/2020;-2.6
03/09/2020;-4.9
04/09/2020;-3.4
05/09/2020;-2.3
06/09/2020;-1.9
07/09/2020;-1.9
08/09/2020; 0.2
09/09/2020;-4.9
10/09/2020; 0.1
11/09/2020;-4.9
12/09/2020;-2.2
13/09/2020;-2.2
14/09/2020;-2.2
15/09/2020;-1.2
16/09/2020;-2.5
17/09/2020;-4.8
18/09/2020;-7.8
19/09/2020;-10.6
20/09/2020;-10.6
21/09/2020;-10.6
22/09/2020;-11.7
23/09/2020;-6.2
24/09/2020;-4.8
25/09/2020;-7.5
26/09/2020;-9.2
27/09/2020;-9.2
28/09/2020;-9.3
29/09/2020;-11.2
30/09/2020;-8.1
01/10/2020;-8.1
02/10/2020;-8.2
03/10/2020;-5.9
04/10/2020;-5.9
05/10/2020;-5.7
06/10/2020;-3.8
07/10/2020;-8.7
08/10/2020;-10.4
09/10/2020;-9.4
10/10/2020;-8.3
11/10/2020;-8.3
12/10/2020;-8.3
13/10/2020;-4.5
14/10/2020;-3.5
15/10/2020;-2.5
16/10/2020;-6.9
17/10/2020;-6.4
18/10/2020;-6.4
19/10/2020;-6.4
20/10/2020;-6.2
21/10/2020;-4.4
22/10/2020;-5.8
23/10/2020;-2.4
24/10/2020;-3.1
25/10/2020;-3.1
26/10/2020;-3.1
27/10/2020;-7.4
28/10/2020;-5.3
29/10/2020;-8.0
30/10/2020;-3.8
31/10/2020;-6.5
01/11/2020;-6.5
02/11/2020;-6.5
03/11/2020;-7.1
04/11/2020;-5.2
05/11/2020;-6.3
06/11/2020;-9.4
07/11/2020;-8.2
08/11/2020;-8.2
09/11/2020;-8.2
10/11/2020;-5.6
11/11/2020;-6.8
12/11/2020;-5.2
13/11/2020;-7.2
14/11/2020;-2.6
15/11/2020;-2.6
16/11/2020;-2.6
17/11/2020;-1.2
18/11/2020;-2.3
19/11/2020;-2.6
20/11/2020;-1.7
21/11/2020;-2.3
22/11/2020;-2.3
23/11/2020;-2.3
24/11/2020;-3.6
25/11/2020;-6.7
26/11/2020;-11.1
27/11/2020;-8.0
28/11/2020;-8.1
29/11/2020;-8.1
30/11/2020;-7.9
01/12/2020;-8.3
02/12/2020;-6.2
03/12/2020;-4.2
04/12/2020;-4.5
05/12/2020;-4.9
06/12/2020;-4.9
07/12/2020;-4.9
08/12/2020;-5.6
09/12/2020;-3.5
10/12/2020;-3.0
11/12/2020;-4.8
12/12/2020;-7.6
13/12/2020;-7.6
14/12/2020;-7.6
15/12/2020;-7.1
16/12/2020;-4.8
17/12/2020;-6.8
18/12/2020;-8.3
19/12/2020;-9.5
20/12/2020;-9.5
21/12/2020;-9.5
22/12/2020;-11.3
23/12/2020;-11.2
24/12/2020;-8.9
25/12/2020;-12.2
26/12/2020;-11.5
27/12/2020;-11.5
28/12/2020;-11.5
29/12/2020;-6.9
30/12/2020;-7.8
31/12/2020;-8.3
01/01/2021;-9.9
02/01/2021;-9.7
03/01/2021;-9.7
04/01/2021;-9.3
05/01/2021;-9.3
06/01/2021;-6.5
07/01/2021;-13.8
08/01/2021;-14.8
09/01/2021;-14.9
10/01/2021;-14.8
11/01/2021;-14.5
12/01/2021;-18.2
13/01/2021;-19.6
14/01/2021;-20.7
15/01/2021;-16.6
16/01/2021;-16.2
17/01/2021;-16.2
18/01/2021;-16.6
19/01/2021;-7.7
20/01/2021;-6.9
21/01/2021;-8.4
22/01/2021;-8.7
23/01/2021;-9.1
24/01/2021;-9.1
25/01/2021;-9.1
26/01/2021;-10.8
27/01/2021;-7.7
28/01/2021;-6.9
29/01/2021;-6.3
30/01/2021;-7.1
31/01/2021;-7.1
01/02/2021;-6.9
02/02/2021;-6.1
03/02/2021;-6.9
04/02/2021;-7.4
05/02/2021;-8.8
06/02/2021;-9.3
07/02/2021;-9.3
08/02/2021;-9.3
09/02/2021;-2.1
10/02/2021;-3.5
11/02/2021;-4.5
12/02/2021;-2.5
13/02/2021;-1.7
14/02/2021;-1.7
15/02/2021;-1.5
16/02/2021;-4.5
17/02/2021;-8.1
18/02/2021;-9.2
19/02/2021;-3.1
20/02/2021;-2.5
21/02/2021;-2.5
22/02/2021;-2.5
23/02/2021;-2.8
24/02/2021;-6.4
25/02/2021;-6.1
26/02/2021;-7.4
27/02/2021;-8.0
28/02/2021;-8.0
01/03/2021;-7.9
02/03/2021;-2.8
03/03/2021;-3.6
04/03/2021;-6.2
05/03/2021;-7.6
06/03/2021;-7.1
07/03/2021;-7.1
08/03/2021;-7.3
09/03/2021;-1.8
10/03/2021;-1.8
11/03/2021;-3.4
12/03/2021;-3.7
13/03/2021;-4.0
14/03/2021;-4.0
15/03/2021;-4.2
16/03/2021;-3.8
17/03/2021;-2.3
18/03/2021;-1.0
19/03/2021; 0.1
20/03/2021; 2.0
21/03/2021; 2.0
22/03/2021; 2.3
23/03/2021; 2.6
24/03/2021; 1.4
25/03/2021; 1.1
26/03/2021;-3.5
27/03/2021;-2.3
28/03/2021;-2.3
29/03/2021;-2.3
30/03/2021;-5.8
31/03/2021;-8.8
01/04/2021;-8.5
02/04/2021;-6.1
03/04/2021;-8.1
04/04/2021;-8.1
05/04/2021;-8.1
06/04/2021;-8.1
07/04/2021;-4.9
08/04/2021;-5.0
09/04/2021;-3.3
10/04/2021;-3.8
11/04/2021;-3.8
12/04/2021;-3.8
13/04/2021;-5.2
14/04/2021;-5.9
15/04/2021;-6.8
