title;Defasagem do preço da Gasolina 
subtit;em relação ao PPI, em %
dfont;ABICOM
vtype;rvalue
decimal;1
blk_dx;80
ylines;0
show_leg;only_name  
;
;
;
;
;
;
data;begin
x;y
01/01/2020; 0.57 
02/01/2020; 0.57 
03/01/2020; 0.02 
04/01/2020; 0.02 
05/01/2020; 0.02 
06/01/2020;-3.42 
07/01/2020;-3.75 
08/01/2020;-2.91 
09/01/2020; 2.34 
10/01/2020; 2.61 
11/01/2020; 2.61 
12/01/2020; 2.61 
13/01/2020;-1.09 
14/01/2020;-2.09 
15/01/2020;-1.44 
16/01/2020;-1.24 
17/01/2020;-3.07 
18/01/2020;-3.07 
19/01/2020;-3.07 
20/01/2020;-2.51 
21/01/2020;-2.49 
22/01/2020;-2.80 
23/01/2020;-0.56 
24/01/2020; 1.18 
25/01/2020; 1.18 
26/01/2020; 1.18 
27/01/2020; 3.84 
28/01/2020; 5.12 
29/01/2020; 3.70 
30/01/2020;-1.41 
31/01/2020;-0.07 
01/02/2020;-0.07 
02/02/2020;-0.07 
03/02/2020;-0.30 
04/02/2020; 3.94 
05/02/2020; 2.52 
06/02/2020;-0.29 
07/02/2020;-0.50 
08/02/2020;-0.50 
09/02/2020;-0.50 
10/02/2020;-3.73 
11/02/2020;-3.77 
12/02/2020;-3.55 
13/02/2020;-8.85 
14/02/2020;-8.84 
15/02/2020;-8.84 
16/02/2020;-8.84 
17/02/2020;-8.46 
18/02/2020;-8.45 
19/02/2020;-8.42 
20/02/2020;-12.16 
21/02/2020;-13.37 
22/02/2020;-13.37 
23/02/2020;-13.37 
24/02/2020;-12.05 
25/02/2020;-9.98 
26/02/2020;-4.73 
27/02/2020; 1.15 
28/02/2020;-3.69 
29/02/2020;-3.69 
01/03/2020;-3.69 
02/03/2020;-2.09 
03/03/2020;-6.02 
04/03/2020;-5.75 
05/03/2020;-10.49 
06/03/2020;-8.77 
07/03/2020;-8.77 
08/03/2020;-8.77 
09/03/2020; 0.41 
10/03/2020; 22.66 
11/03/2020; 21.01 
12/03/2020; 11.93 
13/03/2020; 28.13 
14/03/2020; 28.13 
15/03/2020; 28.13 
16/03/2020; 28.80 
17/03/2020; 60.97 
18/03/2020; 44.47 
19/03/2020; 66.90 
20/03/2020; 47.69 
21/03/2020; 47.69 
22/03/2020; 47.69 
23/03/2020; 88.09 
24/03/2020; 117.05 
25/03/2020; 109.12 
26/03/2020; 72.42 
27/03/2020; 70.34 
28/03/2020; 70.34 
29/03/2020; 70.34 
30/03/2020; 54.43 
31/03/2020; 51.90 
01/04/2020; 60.32 
02/04/2020; 81.43 
03/04/2020; 41.56 
04/04/2020; 41.56 
05/04/2020; 41.56 
06/04/2020; 36.65 
07/04/2020; 42.92 
08/04/2020; 60.52 
09/04/2020; 46.46 
10/04/2020; 45.26 
11/04/2020; 45.26 
12/04/2020; 45.26 
13/04/2020; 45.26 
14/04/2020; 32.62 
15/04/2020; 26.30 
16/04/2020; 26.09 
17/04/2020; 33.13 
18/04/2020; 33.13 
19/04/2020; 33.13 
20/04/2020; 6.58 
21/04/2020; 11.53 
22/04/2020; 43.49 
23/04/2020; 6.86 
24/04/2020; 8.39 
25/04/2020; 8.39 
26/04/2020; 8.39 
27/04/2020; 3.84 
28/04/2020; 5.48 
29/04/2020; 1.04 
30/04/2020;-3.32 
01/05/2020;-5.85 
02/05/2020;-5.85 
03/05/2020;-5.85 
04/05/2020;-2.45 
05/05/2020;-13.79 
06/05/2020;-13.49 
07/05/2020;-12.90 
08/05/2020;-21.31 
09/05/2020;-21.31 
10/05/2020;-21.31 
11/05/2020;-21.91 
12/05/2020;-20.08 
13/05/2020;-12.11 
14/05/2020;-6.31 
15/05/2020;-15.47 
16/05/2020;-15.47 
17/05/2020;-15.47 
18/05/2020;-20.07 
19/05/2020;-23.08 
20/05/2020;-14.40 
21/05/2020;-13.74 
22/05/2020;-12.27 
23/05/2020;-12.27 
24/05/2020;-12.27 
25/05/2020;-11.14 
