title;Índice de Confiança do Varejo
subtit;ICOM - Índice mensal com ajuste sazonal
dfont;FGV
vtype;rvalue
decimal;1
ylines;40,80
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
03/2010;116.200
04/2010;114.100
05/2010;114.400
06/2010;111.400
07/2010;112.100
08/2010;109.900
09/2010;108.800
10/2010;110.800
11/2010;109.400
12/2010;106.400
01/2011;106.100
02/2011;111.400
03/2011;105.300
04/2011;108.500
05/2011;106.400
06/2011;108.200
07/2011;106.600
08/2011;106.800
09/2011;105.600
10/2011;102.300
11/2011;102.600
12/2011;103.000
01/2012;102.900
02/2012;104.800
03/2012;107.900
04/2012;105.200
05/2012;104.100
06/2012;105.800
07/2012;106.000
08/2012;104.000
09/2012;107.000
10/2012;104.700
11/2012;104.300
12/2012;103.200
01/2013;101.700
02/2013;102.800
03/2013;102.800
04/2013;104.600
05/2013;105.400
06/2013;104.400
07/2013;102.100
08/2013;102.600
09/2013;101.700
10/2013;102.900
11/2013;101.100
12/2013;100.800
01/2014;98.200
02/2014;98.500
03/2014;100.600
04/2014;97.400
05/2014;92.800
06/2014;93.400
07/2014;95.600
08/2014;93.600
09/2014;90.300
10/2014;89.700
11/2014;86.600
12/2014;86.200
01/2015;83.900
02/2015;77.300
03/2015;72.600
04/2015;72.600
05/2015;75.200
06/2015;72.700
07/2015;70.300
08/2015;67.700
09/2015;67.100
10/2015;64.400
11/2015;66.800
12/2015;64.700
01/2016;68.300
02/2016;68.300
03/2016;67.800
04/2016;68.400
05/2016;71.800
06/2016;74.400
07/2016;76.100
08/2016;80.600
09/2016;80.000
10/2016;79.900
11/2016;78.200
12/2016;78.100
01/2017;78.800
02/2017;81.800
03/2017;83.700
04/2017;85.700
05/2017;87.600
06/2017;86.700
07/2017;85.600
08/2017;85.600
09/2017;90.600
10/2017;92.800
11/2017;92.100
12/2017;93.600
01/2018;93.500
02/2018;94.000
03/2018;95.300
04/2018;94.900
05/2018;93.400
06/2018;91.600
07/2018;91.200
08/2018;91.400
09/2018;91.100
10/2018;93.500
11/2018;98.400
12/2018;102.600
01/2019;102.300
02/2019;99.800
03/2019;98.000
04/2019;96.300
05/2019;93.400
06/2019;94.700
07/2019;95.900
08/2019;97.600
09/2019;96.700
10/2019;97.400
11/2019;96.600
12/2019;96.800
01/2020;98.100
02/2020;99.800
03/2020;88.100
04/2020;61.200
05/2020;67.400
06/2020;84.400
07/2020;86.100
08/2020;96.600
09/2020;99.600
10/2020;95.800
11/2020;93.500
12/2020;91.700
01/2021;90.800
02/2021;91.000
03/2021;72.500
04/2021;84.100
05/2021;93.900
06/2021;95.900
07/2021;101.000
08/2021;100.900
09/2021;94.100
10/2021;94.200
11/2021;88.000
12/2021;85.300
01/2022;84.900
02/2022;87.000
03/2022;86.800
04/2022;85.900
05/2022;93.300
06/2022;97.900
