title;Índice de Confiança da Construção
title_inb;Índice de Conf.  da Construção
subtit;ICST - Índice mensal com ajuste sazonal
dfont;FGV
vtype;rvalue
decimal;1
ylines;50, 60, 70,80, 90
yref;50
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
07/2010;116.400
08/2010;115.200
09/2010;113.000
10/2010;112.300
11/2010;111.200
12/2010;111.400
01/2011;110.800
02/2011;111.400
03/2011;109.600
04/2011;111.100
05/2011;111.700
06/2011;110.100
07/2011;109.600
08/2011;107.300
09/2011;104.000
10/2011;104.000
11/2011;104.300
12/2011;104.200
01/2012;104.600
02/2012;106.600
03/2012;105.400
04/2012;104.100
05/2012;104.600
06/2012;103.800
07/2012;103.400
08/2012;102.300
09/2012;104.100
10/2012;102.800
11/2012;102.300
12/2012;101.600
01/2013;100.700
02/2013;100.500
03/2013;101.200
04/2013;100.600
05/2013;100.400
06/2013;100.300
07/2013;99.000
08/2013;97.200
09/2013;99.400
10/2013;100.400
11/2013;98.900
12/2013;98.300
01/2014;97.800
02/2014;96.700
03/2014;96.300
04/2014;92.600
05/2014;94.600
06/2014;93.100
07/2014;91.600
08/2014;92.000
09/2014;90.500
10/2014;88.000
11/2014;87.500
12/2014;88.500
01/2015;84.500
02/2015;80.500
03/2015;76.700
04/2015;77.100
05/2015;74.700
06/2015;76.700
07/2015;73.000
08/2015;72.800
09/2015;70.500
10/2015;68.900
11/2015;70.300
12/2015;69.600
01/2016;66.900
02/2016;67.600
03/2016;67.100
04/2016;66.900
05/2016;68.800
06/2016;68.900
07/2016;70.600
08/2016;72.900
09/2016;74.300
10/2016;74.400
11/2016;72.900
12/2016;71.700
01/2017;73.900
02/2017;73.900
03/2017;74.700
04/2017;76.200
05/2017;74.100
06/2017;74.600
07/2017;74.700
08/2017;76.500
09/2017;77.800
10/2017;78.200
11/2017;79.100
12/2017;80.800
01/2018;81.800
02/2018;80.600
03/2018;81.700
04/2018;82.000
05/2018;82.300
06/2018;79.700
07/2018;81.300
08/2018;79.600
09/2018;80.900
10/2018;82.500
11/2018;85.300
12/2018;85.200
01/2019;84.500
02/2019;84.300
03/2019;82.100
04/2019;82.500
05/2019;80.700
06/2019;83.100
07/2019;85.600
08/2019;87.600
09/2019;87.600
10/2019;88.200
11/2019;89.400
12/2019;92.100
01/2020;94.200
02/2020;92.800
03/2020;90.800
04/2020;65.000
05/2020;68.000
06/2020;77.100
07/2020;83.700
08/2020;87.800
09/2020;91.500
10/2020;95.200
11/2020;93.800
12/2020;93.900
01/2021;92.500
02/2021;92.000
03/2021;88.800
04/2021;85.000
05/2021;87.200
06/2021;92.400
07/2021;95.700
08/2021;96.300
09/2021;96.400
10/2021;96.100
11/2021;95.300
12/2021;96.700
01/2022;92.800
02/2022;93.700
03/2022;92.900
04/2022;97.700
