title;Sondagem da Construção 
title_inb;Sondagem da Construção 
subtit;Nível de Utilização da Capacidade Instalada 
dfont;FGV
vtype;rvalue
decimal;1
ylines;50, 60, 70
yref;50
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
04/2013;80.30
05/2013;79.30
06/2013;80.80
07/2013;80.70
08/2013;82.00
09/2013;82.90
10/2013;81.60
11/2013;81.50
12/2013;79.80
01/2014;79.40
02/2014;81.10
03/2014;80.60
04/2014;80.90
05/2014;81.30
06/2014;78.60
07/2014;79.50
08/2014;80.40
09/2014;79.30
10/2014;78.70
11/2014;78.00
12/2014;78.40
01/2015;76.00
02/2015;75.10
03/2015;73.10
04/2015;71.70
05/2015;70.60
06/2015;70.40
07/2015;69.40
08/2015;68.00
09/2015;66.90
10/2015;65.90
11/2015;68.80
12/2015;67.90
01/2016;67.50
02/2016;67.00
03/2016;65.70
04/2016;63.20
05/2016;63.70
06/2016;63.60
07/2016;64.40
08/2016;64.50
09/2016;64.80
10/2016;64.90
11/2016;64.20
12/2016;63.10
01/2017;63.80
02/2017;63.40
03/2017;63.00
04/2017;62.80
05/2017;62.10
06/2017;61.50
07/2017;61.80
08/2017;62.10
09/2017;65.60
10/2017;65.40
11/2017;63.80
12/2017;64.00
01/2018;66.20
02/2018;65.50
03/2018;65.00
04/2018;65.00
05/2018;64.70
06/2018;65.60
07/2018;65.50
08/2018;65.00
09/2018;66.40
10/2018;66.00
11/2018;64.70
12/2018;66.60
01/2019;66.70
02/2019;67.00
03/2019;65.30
04/2019;66.20
05/2019;66.30
06/2019;68.30
07/2019;68.90
08/2019;69.60
09/2019;69.40
10/2019;70.10
11/2019;70.50
12/2019;71.90
01/2020;70.90
02/2020;70.60
03/2020;69.60
04/2020;57.60
05/2020;61.70
06/2020;68.00
07/2020;69.90
08/2020;73.50
09/2020;72.10
10/2020;74.50
11/2020;72.70
12/2020;72.90
01/2021;74.00
02/2021;73.30
03/2021;71.80
04/2021;77.10
05/2021;74.40
06/2021;77.40
07/2021;73.70
08/2021;73.10
09/2021;75.00
10/2021;75.60
11/2021;77.30
12/2021;76.40
01/2022;74.90
02/2022;75.20
03/2022;76.00
04/2022;75.80
