title;Índice de Confiança do Consumidor 
title_inb;Índice de Conf. do Consumidor 
subtit;Índice mensal de Expectativas com ajuste sazonal
dfont;FGV
vtype;rvalue
decimal;1
;
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
09/2005;89.900
10/2005;92.700
11/2005;89.400
12/2005;91.000
01/2006;96.900
02/2006;96.800
03/2006;96.000
04/2006;95.000
05/2006;93.600
06/2006;93.000
07/2006;92.900
08/2006;96.100
09/2006;95.700
10/2006;98.900
11/2006;102.200
12/2006;106.000
01/2007;105.300
02/2007;106.200
03/2007;104.100
04/2007;101.700
05/2007;105.700
06/2007;107.600
07/2007;104.700
08/2007;105.300
09/2007;107.900
10/2007;110.900
11/2007;112.000
12/2007;118.500
01/2008;111.400
02/2008;114.600
03/2008;117.800
04/2008;105.500
05/2008;107.100
06/2008;99.200
07/2008;96.900
08/2008;99.600
09/2008;101.100
10/2008;89.300
11/2008;85.100
12/2008;83.400
01/2009;86.000
02/2009;84.100
03/2009;88.400
04/2009;90.100
05/2009;92.600
06/2009;97.000
07/2009;101.500
08/2009;98.500
09/2009;100.200
10/2009;98.500
11/2009;100.900
12/2009;99.500
01/2010;99.700
02/2010;95.000
03/2010;100.200
04/2010;102.400
05/2010;104.100
06/2010;106.000
07/2010;104.500
08/2010;106.300
09/2010;105.900
10/2010;105.000
11/2010;107.500
12/2010;104.600
01/2011;106.400
02/2011;107.500
03/2011;102.400
04/2011;99.600
05/2011;99.200
06/2011;101.000
07/2011;106.200
08/2011;101.000
09/2011;96.800
10/2011;101.600
11/2011;103.300
12/2011;105.100
01/2012;100.900
02/2012;103.900
03/2012;109.300
04/2012;113.600
05/2012;112.900
06/2012;110.600
07/2012;108.700
08/2012;107.500
09/2012;108.800
10/2012;108.800
11/2012;106.600
12/2012;106.600
01/2013;107.300
02/2013;106.200
03/2013;104.200
04/2013;105.300
05/2013;103.800
06/2013;103.800
07/2013;102.300
08/2013;105.000
09/2013;105.000
10/2013;102.600
11/2013;104.500
12/2013;103.000
01/2014;100.600
02/2014;99.800
03/2014;98.600
04/2014;98.200
05/2014;93.800
06/2014;93.800
07/2014;94.800
08/2014;92.500
09/2014;94.500
10/2014;93.700
11/2014;86.600
12/2014;87.100
01/2015;80.100
02/2015;75.200
03/2015;73.000
04/2015;74.400
05/2015;74.500
06/2015;73.700
07/2015;70.100
08/2015;69.200
09/2015;63.300
10/2015;64.100
11/2015;66.100
12/2015;65.000
01/2016;65.600
02/2016;68.700
03/2016;67.500
04/2016;68.200
05/2016;75.000
06/2016;79.600
07/2016;85.100
08/2016;86.300
09/2016;88.700
10/2016;89.400
11/2016;86.400
12/2016;81.600
01/2017;86.700
02/2017;88.800
03/2017;92.800
04/2017;91.100
05/2017;93.800
06/2017;92.000
07/2017;92.200
08/2017;89.900
09/2017;93.600
10/2017;94.800
11/2017;96.700
12/2017;97.500
01/2018;97.100
02/2018;96.700
03/2018;100.200
04/2018;97.800
05/2018;95.900
06/2018;92.300
07/2018;93.200
08/2018;94.500
09/2018;91.800
10/2018;95.600
11/2018;106.200
12/2018;105.400
01/2019;108.500
02/2019;106.200
03/2019;101.100
04/2019;99.100
05/2019;94.800
06/2019;98.500
07/2019;98.400
08/2019;99.300
09/2019;99.100
10/2019;98.500
11/2019;97.700
12/2019;100.300
01/2020;98.900
02/2020;93.200
03/2020;83.900
04/2020;55.000
05/2020;61.700
06/2020;72.800
07/2020;85.100
08/2020;87.100
09/2020;91.500
10/2020;90.200
11/2020;89.300
12/2020;85.600
01/2021;82.100
02/2021;84.800
03/2021;72.500
04/2021;79.200
05/2021;82.400
06/2021;88.300
07/2021;90.800
08/2021;90.900
09/2021;81.100
10/2021;82.400
11/2021;81.400
12/2021;83.400
01/2022;80.700
02/2022;85.700
03/2022;82.500
04/2022;86.100
