title;Índice de Confiança Empresarial
subtit;ICE - Índice mensal com ajuste sazonal
dfont;FGV
vtype;rvalue
decimal;1
ylines;40,80
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
01/2001;98.800
02/2001;99.600
03/2001;98.900
04/2001;98.200
05/2001;96.300
06/2001;94.400
07/2001;92.200
08/2001;89.800
09/2001;87.300
10/2001;83.600
11/2001;87.800
12/2001;90.900
01/2002;92.000
02/2002;93.900
03/2002;94.600
04/2002;96.000
05/2002;94.600
06/2002;94.000
07/2002;92.500
08/2002;94.000
09/2002;94.500
10/2002;94.400
11/2002;95.900
12/2002;96.500
01/2003;96.300
02/2003;95.300
03/2003;93.600
04/2003;92.000
05/2003;89.500
06/2003;87.300
07/2003;84.100
08/2003;89.400
09/2003;93.800
10/2003;97.700
11/2003;99.100
12/2003;99.900
01/2004;100.400
02/2004;102.000
03/2004;103.300
04/2004;104.500
05/2004;107.000
06/2004;109.500
07/2004;111.600
08/2004;111.700
09/2004;111.300
10/2004;111.000
11/2004;108.700
12/2004;106.200
01/2005;103.300
02/2005;102.400
03/2005;101.100
04/2005;99.900
05/2005;98.000
06/2005;96.700
07/2005;95.200
08/2005;95.300
09/2005;94.700
10/2005;94.300
11/2005;93.600
12/2005;93.800
01/2006;96.300
02/2006;97.700
03/2006;99.400
04/2006;101.900
05/2006;97.300
06/2006;98.300
07/2006;100.500
08/2006;99.100
09/2006;100.900
10/2006;99.100
11/2006;100.900
12/2006;101.700
01/2007;101.500
02/2007;105.600
03/2007;108.100
04/2007;109.600
05/2007;109.800
06/2007;109.800
07/2007;112.100
08/2007;112.200
09/2007;112.500
10/2007;113.600
11/2007;111.900
12/2007;111.500
01/2008;110.900
02/2008;111.100
03/2008;112.200
04/2008;111.000
05/2008;111.700
06/2008;113.900
07/2008;113.300
08/2008;114.900
09/2008;109.200
10/2008;99.400
11/2008;84.200
12/2008;76.800
01/2009;78.400
02/2009;79.600
03/2009;81.000
04/2009;86.600
05/2009;90.500
06/2009;93.900
07/2009;97.500
08/2009;101.600
09/2009;104.800
10/2009;106.500
11/2009;108.200
12/2009;109.900
01/2010;111.800
02/2010;113.100
03/2010;114.800
04/2010;113.900
05/2010;114.200
06/2010;112.800
07/2010;112.100
08/2010;112.800
09/2010;112.700
10/2010;113.000
11/2010;112.100
12/2010;111.300
01/2011;109.600
02/2011;110.900
03/2011;109.600
04/2011;110.900
05/2011;109.300
06/2011;109.000
07/2011;108.400
08/2011;106.400
09/2011;104.900
10/2011;104.300
11/2011;103.700
12/2011;103.100
01/2012;103.700
02/2012;103.900
03/2012;104.500
04/2012;103.800
05/2012;103.200
06/2012;102.900
07/2012;102.900
08/2012;103.400
09/2012;104.900
10/2012;104.500
11/2012;104.500
12/2012;103.600
01/2013;103.200
02/2013;103.300
03/2013;103.200
04/2013;102.300
05/2013;103.500
06/2013;103.000
07/2013;100.100
08/2013;101.500
09/2013;101.700
10/2013;100.200
11/2013;99.500
12/2013;99.200
01/2014;97.900
02/2014;97.900
03/2014;97.900
04/2014;96.000
05/2014;92.100
06/2014;91.200
07/2014;91.400
08/2014;89.800
09/2014;88.400
10/2014;87.900
11/2014;86.800
12/2014;86.100
01/2015;84.500
02/2015;82.100
03/2015;75.600
04/2015;75.600
05/2015;75.200
06/2015;73.200
07/2015;71.700
08/2015;70.400
09/2015;68.700
10/2015;69.500
11/2015;69.800
12/2015;69.700
01/2016;71.000
02/2016;70.300
03/2016;70.400
04/2016;70.900
05/2016;73.000
06/2016;75.700
07/2016;78.500
08/2016;80.400
09/2016;81.800
10/2016;81.000
11/2016;79.900
12/2016;78.300
01/2017;81.000
02/2017;82.300
03/2017;84.300
04/2017;86.100
05/2017;86.400
06/2017;85.300
07/2017;85.900
08/2017;86.800
09/2017;89.100
10/2017;91.100
11/2017;91.100
12/2017;92.000
01/2018;92.300
02/2018;93.500
03/2018;94.600
04/2018;93.600
05/2018;93.400
06/2018;91.400
07/2018;92.100
08/2018;92.500
09/2018;91.700
10/2018;91.800
11/2018;94.500
12/2018;94.800
01/2019;96.400
02/2019;96.200
03/2019;94.300
04/2019;94.300
05/2019;92.200
06/2019;93.100
07/2019;93.900
08/2019;94.600
09/2019;95.100
10/2019;94.900
11/2019;95.300
12/2019;95.900
01/2020;97.200
02/2020;97.300
03/2020;88.800
04/2020;56.000
05/2020;62.600
06/2020;75.900
07/2020;83.600
08/2020;92.100
09/2020;96.700
10/2020;97.700
11/2020;96.500
12/2020;96.300
01/2021;94.900
02/2021;93.300
03/2021;85.900
04/2021;89.600
05/2021;94.600
06/2021;98.300
07/2021;101.600
08/2021;102.500
09/2021;100.000
10/2021;100.400
11/2021;96.400
12/2021;94.100
01/2022;91.600
02/2022;91.100
