title;Índice de Confiança da Indústria
subtit;ICI - Índice mensal com ajuste sazonal
dfont;FGV
vtype;rvalue
decimal;1
yref;80
ylines;80,90,100
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
01/2001;106.000
02/2001;106.300
03/2001;102.500
04/2001;101.600
05/2001;99.200
06/2001;94.700
07/2001;89.500
08/2001;86.200
09/2001;84.100
10/2001;83.000
11/2001;91.600
12/2001;99.500
01/2002;99.700
02/2002;101.000
03/2002;98.500
04/2002;99.800
05/2002;97.800
06/2002;94.600
07/2002;90.800
08/2002;91.200
09/2002;92.900
10/2002;95.100
11/2002;100.300
12/2002;104.700
01/2003;102.900
02/2003;101.300
03/2003;96.600
04/2003;94.900
05/2003;91.800
06/2003;87.200
07/2003;82.300
08/2003;87.000
09/2003;93.200
10/2003;99.800
11/2003;104.100
12/2003;107.600
01/2004;106.500
02/2004;106.800
03/2004;104.900
04/2004;105.900
05/2004;108.600
06/2004;109.500
07/2004;110.900
08/2004;110.000
09/2004;111.100
10/2004;112.600
11/2004;112.500
12/2004;112.000
01/2005;107.100
02/2005;105.900
03/2005;102.600
04/2005;101.900
05/2005;100.600
06/2005;97.800
07/2005;95.500
08/2005;94.200
09/2005;94.900
10/2005;95.200
11/2005;95.700
12/2005;98.000
01/2006;99.700
02/2006;100.300
03/2006;100.800
04/2006;103.200
05/2006;100.600
06/2006;100.100
07/2006;101.500
08/2006;99.300
09/2006;101.700
10/2006;100.500
11/2006;102.800
12/2006;105.300
01/2007;104.200
02/2007;107.400
03/2007;108.800
04/2007;111.400
05/2007;111.800
06/2007;111.200
07/2007;113.000
08/2007;112.700
09/2007;113.100
10/2007;114.800
11/2007;113.900
12/2007;114.400
01/2008;113.500
02/2008;113.700
03/2008;112.300
04/2008;112.100
05/2008;113.000
06/2008;114.600
07/2008;113.800
08/2008;114.100
09/2008;111.900
10/2008;102.200
11/2008;82.300
12/2008;74.000
01/2009;75.300
02/2009;76.300
03/2009;78.600
04/2009;84.400
05/2009;88.400
06/2009;93.800
07/2009;97.600
08/2009;100.600
09/2009;106.100
10/2009;109.500
11/2009;111.200
12/2009;112.800
01/2010;113.200
02/2010;115.600
03/2010;115.500
04/2010;115.700
05/2010;116.100
06/2010;114.600
07/2010;113.200
08/2010;112.900
09/2010;114.000
10/2010;113.600
11/2010;112.000
12/2010;112.300
01/2011;110.900
02/2011;111.400
03/2011;112.500
04/2011;111.600
05/2011;110.000
06/2011;108.100
07/2011;104.900
08/2011;102.200
09/2011;100.400
10/2011;101.700
11/2011;100.500
12/2011;101.100
01/2012;103.500
02/2012;101.700
03/2012;101.400
04/2012;101.200
05/2012;101.500
06/2012;100.800
07/2012;100.200
08/2012;102.900
09/2012;104.600
10/2012;106.100
11/2012;104.400
12/2012;106.000
01/2013;106.700
02/2013;105.800
03/2013;105.000
04/2013;105.600
05/2013;105.500
06/2013;104.500
07/2013;100.800
08/2013;101.500
09/2013;101.600
10/2013;100.200
11/2013;99.800
12/2013;100.300
01/2014;99.800
02/2014;98.200
03/2014;97.700
04/2014;96.800
05/2014;91.200
06/2014;88.300
07/2014;87.800
08/2014;85.600
09/2014;86.400
10/2014;87.600
11/2014;88.000
12/2014;87.400
01/2015;87.500
02/2015;86.500
03/2015;79.900
04/2015;77.900
05/2015;75.700
06/2015;72.500
07/2015;74.400
08/2015;73.100
09/2015;73.800
10/2015;77.000
11/2015;75.700
12/2015;77.000
01/2016;77.700
02/2016;75.600
03/2016;75.800
04/2016;77.900
05/2016;78.200
06/2016;81.500
07/2016;85.600
08/2016;85.800
09/2016;88.600
10/2016;87.100
11/2016;86.800
12/2016;85.400
01/2017;88.600
02/2017;88.000
03/2017;90.400
04/2017;90.800
05/2017;91.500
06/2017;89.100
07/2017;90.600
08/2017;92.000
09/2017;94.100
10/2017;96.500
11/2017;99.000
12/2017;100.100
01/2018;100.300
02/2018;100.500
03/2018;101.400
04/2018;100.500
05/2018;100.200
06/2018;98.200
07/2018;99.600
08/2018;99.300
09/2018;96.400
10/2018;95.200
11/2018;96.300
12/2018;95.500
01/2019;97.700
02/2019;98.200
03/2019;97.100
04/2019;97.700
05/2019;96.600
06/2019;95.500
07/2019;95.100
08/2019;95.900
09/2019;95.900
10/2019;95.400
11/2019;96.900
12/2019;99.400
01/2020;100.900
02/2020;101.400
03/2020;97.500
04/2020;58.200
05/2020;61.400
06/2020;77.600
07/2020;89.800
08/2020;98.700
09/2020;106.700
10/2020;111.200
11/2020;113.100
12/2020;114.900
01/2021;111.300
02/2021;107.900
03/2021;104.200
04/2021;103.500
05/2021;104.200
06/2021;107.600
07/2021;108.400
08/2021;107.000
09/2021;106.400
10/2021;105.200
11/2021;102.100
12/2021;100.100
01/2022;98.400
02/2022;96.700
03/2022;95.000
04/2022;97.400
05/2022;99.700
06/2022;101.200
07/2022;99.500
