title;Índice de Confiança de Serviços
subtit;ICS - Índice mensal com ajuste sazonal
dfont;FGV
vtype;rvalue
decimal;1
ylines;40,80
blk_dx;76
blk_dx_inb;74
;
;
;
data;begin
x;y
06/2008;111.100
07/2008;110.500
08/2008;111.800
09/2008;106.100
10/2008;96.400
11/2008;87.000
12/2008;84.300
01/2009;83.500
02/2009;84.500
03/2009;84.100
04/2009;90.500
05/2009;93.600
06/2009;95.400
07/2009;97.600
08/2009;100.500
09/2009;104.300
10/2009;103.700
11/2009;104.800
12/2009;107.800
01/2010;108.600
02/2010;109.200
03/2010;111.900
04/2010;109.400
05/2010;109.600
06/2010;108.900
07/2010;108.200
08/2010;110.600
09/2010;111.300
10/2010;110.900
11/2010;110.400
12/2010;110.700
01/2011;110.100
02/2011;110.300
03/2011;109.000
04/2011;111.100
05/2011;110.400
06/2011;110.300
07/2011;111.300
08/2011;108.700
09/2011;107.700
10/2011;106.900
11/2011;106.300
12/2011;105.800
01/2012;105.900
02/2012;106.600
03/2012;107.300
04/2012;106.600
05/2012;105.400
06/2012;104.000
07/2012;103.500
08/2012;101.600
09/2012;102.400
10/2012;102.000
11/2012;104.100
12/2012;102.000
01/2013;101.800
02/2013;101.700
03/2013;102.000
04/2013;99.500
05/2013;101.600
06/2013;101.000
07/2013;97.800
08/2013;100.000
09/2013;101.500
10/2013;98.800
11/2013;98.500
12/2013;99.200
01/2014;97.500
02/2014;98.300
03/2014;98.300
04/2014;95.400
05/2014;91.600
06/2014;92.400
07/2014;92.600
08/2014;90.900
09/2014;89.700
10/2014;89.200
11/2014;86.900
12/2014;86.800
01/2015;84.100
02/2015;81.500
03/2015;74.700
04/2015;76.300
05/2015;75.200
06/2015;74.000
07/2015;71.500
08/2015;69.400
09/2015;65.800
10/2015;68.200
11/2015;68.500
12/2015;69.500
01/2016;69.600
02/2016;68.700
03/2016;68.400
04/2016;68.100
05/2016;70.400
06/2016;72.900
07/2016;76.400
08/2016;78.200
09/2016;79.900
10/2016;79.600
11/2016;78.800
12/2016;77.100
01/2017;79.500
02/2017;79.900
03/2017;82.600
04/2017;83.700
05/2017;84.600
06/2017;82.900
07/2017;84.300
08/2017;84.900
09/2017;86.700
10/2017;89.200
11/2017;88.500
12/2017;89.700
01/2018;89.900
02/2018;91.100
03/2018;91.500
04/2018;90.200
05/2018;89.500
06/2018;87.500
07/2018;88.900
08/2018;89.800
09/2018;89.400
10/2018;89.900
11/2018;94.200
12/2018;94.900
01/2019;96.700
02/2019;95.100
03/2019;92.600
04/2019;91.900
05/2019;89.800
06/2019;91.800
07/2019;94.000
08/2019;92.800
09/2019;94.300
10/2019;93.900
11/2019;95.500
12/2019;96.200
01/2020;96.100
02/2020;94.400
03/2020;82.800
04/2020;51.100
05/2020;60.500
06/2020;71.700
07/2020;79.000
08/2020;85.000
09/2020;87.900
10/2020;87.500
11/2020;85.400
12/2020;86.200
01/2021;85.500
02/2021;83.200
03/2021;77.600
04/2021;81.700
05/2021;88.100
06/2021;93.800
07/2021;98.000
08/2021;99.300
09/2021;97.300
10/2021;99.100
11/2021;96.800
12/2021;95.500
01/2022;91.200
02/2022;89.200
03/2022;92.200
04/2022;96.200
05/2022;98.300
06/2022;98.700

