title;Índice Geral de Preços (IGP-10)
subtit;Variação sobre o mês anterior, em %
dfont;FGV
;
decimal;2
blk_dx;80
blk_dx_inb;74
;
date_type;mm_yyyy
;
data;begin
x;y
09/1993;3.000222E+000
10/1993;4.081802E+000
11/1993;5.516124E+000
12/1993;7.594635E+000
01/1994;1.031508E+001
02/1994;1.469260E+001
03/1994;2.091713E+001
04/1994;2.957920E+001
05/1994;4.239357E+001
06/1994;6.109433E+001
07/1994;8.883729E+001
08/1994;100.000
09/1994;102.709
10/1994;104.379
11/1994;107.453
12/1994;108.689
01/1995;109.356
02/1995;111.160
03/1995;112.517
04/1995;114.480
05/1995;116.243
06/1995;117.922
07/1995;120.540
08/1995;123.081
09/1995;123.225
10/1995;123.186
11/1995;124.167
12/1995;125.406
01/1996;126.831
02/1996;128.794
03/1996;129.324
04/1996;129.642
05/1996;131.393
06/1996;132.816
07/1996;134.418
08/1996;135.354
09/1996;135.471
10/1996;135.708
11/1996;135.916
12/1996;136.426
01/1997;138.788
02/1997;139.808
03/1997;141.108
04/1997;142.189
05/1997;142.615
06/1997;143.463
07/1997;143.626
08/1997;144.030
09/1997;144.416
10/1997;144.926
11/1997;145.642
12/1997;146.694
01/1998;147.962
02/1998;148.682
03/1998;148.869
04/1998;149.113
05/1998;149.299
06/1998;149.835
07/1998;149.835
08/1998;149.538
09/1998;149.104
10/1998;149.352
11/1998;149.226
12/1998;149.122
01/1999;150.447
02/1999;154.418
03/1999;159.845
04/1999;161.748
05/1999;161.394
06/1999;161.297
07/1999;163.539
08/1999;166.128
09/1999;168.599
10/1999;171.189
11/1999;174.969
12/1999;179.089
01/2000;181.266
02/2000;182.259
03/2000;182.500
04/2000;183.138
05/2000;183.474
06/2000;184.872
07/2000;187.132
08/2000;191.855
09/2000;194.766
10/2000;195.769
11/2000;196.452
12/2000;197.455
01/2001;198.699
02/2001;199.501
03/2001;200.217
04/2001;202.093
05/2001;204.306
06/2001;205.709
07/2001;208.415
08/2001;211.899
09/2001;213.233
10/2001;215.080
11/2001;217.812
12/2001;218.717
01/2002;219.288
02/2002;219.585
03/2002;219.983
04/2002;220.773
05/2002;222.310
06/2002;225.314
07/2002;229.495
08/2002;234.692
09/2002;240.314
10/2002;248.300
11/2002;260.037
12/2002;272.698
01/2003;278.954
02/2003;285.691
03/2003;290.206
04/2003;293.814
05/2003;293.871
06/2003;292.131
07/2003;289.996
08/2003;290.599
09/2003;293.369
10/2003;295.328
11/2003;296.645
12/2003;298.391
01/2004;300.649
02/2004;302.990
03/2004;306.183
04/2004;309.864
05/2004;313.705
06/2004;318.407
07/2004;322.584
08/2004;325.303
09/2004;329.376
10/2004;330.147
11/2004;332.881
12/2004;335.437
01/2005;336.858
02/2005;337.916
03/2005;340.172
04/2005;344.158
05/2005;344.147
06/2005;342.743
07/2005;341.472
08/2005;339.695
09/2005;337.354
10/2005;338.980
11/2005;340.161
12/2005;340.368
01/2006;343.219
02/2006;343.790
03/2006;343.690
04/2006;341.467
05/2006;342.694
06/2006;344.655
07/2006;345.992
08/2006;346.910
09/2006;348.168
10/2006;348.903
11/2006;352.472
12/2006;354.142
01/2007;355.518
02/2007;356.507
03/2007;357.869
04/2007;358.501
05/2007;358.816
06/2007;359.357
07/2007;360.138
08/2007;362.449
09/2007;367.784
10/2007;371.706
11/2007;374.330
12/2007;380.273
01/2008;384.165
02/2008;387.221
03/2008;389.591
04/2008;391.325
05/2008;397.258
06/2008;405.029
07/2008;413.135
08/2008;414.722
09/2008;412.973
10/2008;416.194
11/2008;419.230
12/2008;419.338
01/2009;415.772
02/2009;418.021
03/2009;416.729
04/2009;413.780
05/2009;414.470
06/2009;414.330
07/2009;412.883
08/2009;410.402
09/2009;411.843
10/2009;412.274
11/2009;412.558
12/2009;412.275
01/2010;413.098
02/2010;417.550
03/2010;422.158
04/2010;424.824
05/2010;429.553
06/2010;435.151
07/2010;435.363
08/2010;437.365
09/2010;442.255
10/2010;447.351
11/2010;452.551
12/2010;458.304
01/2011;460.569
02/2011;465.308
03/2011;469.204
04/2011;471.813
05/2011;474.416
06/2011;473.355
07/2011;472.779
08/2011;473.729
09/2011;476.717
10/2011;479.771
11/2011;481.860
12/2011;482.752
01/2012;483.119
02/2012;483.307
03/2012;484.623
04/2012;488.013
05/2012;492.941
06/2012;496.536
07/2012;501.285
08/2012;509.247
09/2012;514.609
10/2012;516.779
11/2012;515.347
12/2012;518.573
01/2013;520.751
02/2013;522.260
03/2013;523.431
