title;IGP-M   Preços do Mercado
subtit;Variação sobre o mês anterior, em %
dfont;FGV
vtype;perc
;
decimal;2
blk_dx;74
blk_dx_inb;74
;
date_type;mm_yyyy
;
data;begin
x;y
06/1989;0.0000308619
07/1989;0.0000419429
08/1989;0.0000574266
09/1989;0.0000803499
10/1989;0.0001130011
11/1989;0.0001587459
12/1989;0.0002335659
01/1990;0.0003771157
02/1990;0.0006836555
03/1990;0.001257552
04/1990;0.001614069
05/1990;0.001709725
06/1990;0.00187962
07/1990;0.002105394
08/1990;0.002392147
09/1990;0.0026984
10/1990;0.003048369
11/1990;0.003562291
12/1990;0.004203477
01/1991;0.004947516
02/1991;0.005987394
03/1991;0.006537412
04/1991;0.007047761
05/1991;0.007575021
06/1991;0.008217406
07/1991;0.009303743
08/1991;0.0107227
09/1991;0.0123231
10/1991;0.0151122
11/1991;0.0189843
12/1991;0.0234711
01/1992;0.0290001
02/1992;0.0370788
03/1992;0.0450114
04/1992;0.0539861
05/1992;0.0650128
06/1992;0.0803615
07/1992;0.0979085
08/1992;0.122022
09/1992;0.152858
10/1992;0.193765
11/1992;0.239162
12/1992;0.299133
01/1993;0.376399
02/1993;0.483339
03/1993;0.610231
04/1993;0.786181
05/1993;1.01968
06/1993;1.34083
07/1993;1.75986
08/1993;2.31924
09/1993;3.13751
10/1993;4.2368
11/1993;5.76854
12/1993;7.97925
01/1994;11.0968
02/1994;15.6219
03/1994;22.7628
04/1994;32.0749
05/1994;45.7316
06/1994;66.4082
07/1994;92.9684
08/1994;100
09/1994;101.751
10/1994;103.602
11/1994;106.553
12/1994;107.45
01/1995;108.442
02/1995;109.945
03/1995;111.178
04/1995;113.518
05/1995;114.171
06/1995;116.984
07/1995;119.114
08/1995;121.729
09/1995;120.869
10/1995;121.503
11/1995;122.955
12/1995;123.833
01/1996;125.977
02/1996;127.202
03/1996;127.715
04/1996;128.13
05/1996;130.121
06/1996;131.445
07/1996;133.213
08/1996;133.587
09/1996;133.722
10/1996;133.978
11/1996;134.242
12/1996;135.225
01/1997;137.613
02/1997;138.204
03/1997;139.795
04/1997;140.742
05/1997;141.04
06/1997;142.09
07/1997;142.221
08/1997;142.353
09/1997;143.042
10/1997;143.567
11/1997;144.481
12/1997;145.695
01/1998;147.091
02/1998;147.356
03/1998;147.635
04/1998;147.821
05/1998;148.021
06/1998;148.588
07/1998;148.339
08/1998;148.109
09/1998;147.984
10/1998;148.1
11/1998;147.628
12/1998;148.291
01/1999;149.533
02/1999;154.933
03/1999;159.325
04/1999;160.459
05/1999;159.996
06/1999;160.573
07/1999;163.06
08/1999;165.603
09/1999;167.997
10/1999;170.861
11/1999;174.939
12/1999;178.099
01/2000;180.301
02/2000;180.935
03/2000;181.214
04/2000;181.635
05/2000;182.189
06/2000;183.745
07/2000;186.634
08/2000;191.087
09/2000;193.297
10/2000;194.04
11/2000;194.599
12/2000;195.827
01/2001;197.045
02/2001;197.491
03/2001;198.606
04/2001;200.591
05/2001;202.324
06/2001;204.31
07/2001;207.341
08/2001;210.211
09/2001;210.853
10/2001;213.339
11/2001;215.685
12/2001;216.163
01/2002;216.944
02/2002;217.074
03/2002;217.276
04/2002;218.486
05/2002;220.292
06/2002;223.688
07/2002;228.057
08/2002;233.348
09/2002;238.943
10/2002;248.199
11/2002;261.08
12/2002;270.867
01/2003;277.173
02/2003;283.506
03/2003;287.855
04/2003;290.512
05/2003;289.747
06/2003;286.843
07/2003;285.649
08/2003;286.735
09/2003;290.127
10/2003;291.229
11/2003;292.657
12/2003;294.455
01/2004;297.039
02/2004;299.097
03/2004;302.484
04/2004;306.151
05/2004;310.152
06/2004;314.419
07/2004;318.532
08/2004;322.412
09/2004;324.651
10/2004;325.925
11/2004;328.588
12/2004;331.005
01/2005;332.298
02/2005;333.288
03/2005;336.123
04/2005;339.03
05/2005;338.299
06/2005;336.801
07/2005;335.663
08/2005;333.474
09/2005;331.69
10/2005;333.694
11/2005;335.033
12/2005;335.006
01/2006;338.083
02/2006;338.128
03/2006;337.339
04/2006;335.921
05/2006;337.185
06/2006;339.712
07/2006;340.312
08/2006;341.574
09/2006;342.561
10/2006;344.155
11/2006;346.746
12/2006;347.842
01/2007;349.593
02/2007;350.524
03/2007;351.717
04/2007;351.869
05/2007;352.02
06/2007;352.936
07/2007;353.92
08/2007;357.404
09/2007;361.997
10/2007;365.794
11/2007;368.334
12/2007;374.815
01/2008;378.9
02/2008;380.906
03/2008;383.731
04/2008;386.38
