title;IMAS
subtit;Índice de mercado dos títulos públicos atrelados a Selic
dfont;ANBIMA
vtype;perc
decimal;2
mult;1
divshow;1
group;1
yref;0
blk_dx;80
period;month
date_type;dd_mm_yyyy
;
;
;
;
;
data;begin
x;y
30/04/2004;863.863587
03/05/2004;864.119799
04/05/2004;864.155113
05/05/2004;864.463726
06/05/2004;864.844372
07/05/2004;865.288558
10/05/2004;865.682281
11/05/2004;866.117597
12/05/2004;866.636679
13/05/2004;867.128074
14/05/2004;867.687459
17/05/2004;868.214868
18/05/2004;868.852491
19/05/2004;869.532308
20/05/2004;870.191728
21/05/2004;870.794883
24/05/2004;871.348588
25/05/2004;871.989994
26/05/2004;872.597873
27/05/2004;873.194682
28/05/2004;873.800567
31/05/2004;874.366797
01/06/2004;874.97252
02/06/2004;875.541576
03/06/2004;876.119352
04/06/2004;876.683561
07/06/2004;877.231587
08/06/2004;877.745068
09/06/2004;878.267807
11/06/2004;878.762276
14/06/2004;879.29374
15/06/2004;879.829594
16/06/2004;880.420675
17/06/2004;880.964439
18/06/2004;881.484355
21/06/2004;882.045541
22/06/2004;882.58877
23/06/2004;883.120628
24/06/2004;883.671693
25/06/2004;884.234921
28/06/2004;884.808022
29/06/2004;885.469325
30/06/2004;886.042205
01/07/2004;886.737712
02/07/2004;887.363077
05/07/2004;887.958563
06/07/2004;888.468039
07/07/2004;888.993184
08/07/2004;889.5384
09/07/2004;890.048431
12/07/2004;890.568245
13/07/2004;891.087214
14/07/2004;891.60157
15/07/2004;892.081925
16/07/2004;892.604301
19/07/2004;893.112989
20/07/2004;893.570072
21/07/2004;894.041553
22/07/2004;894.498168
23/07/2004;894.973614
26/07/2004;895.446259
27/07/2004;895.914694
28/07/2004;896.36303
29/07/2004;896.867797
30/07/2004;897.373925
02/08/2004;897.891203
03/08/2004;898.397099
04/08/2004;898.893708
05/08/2004;899.400474
06/08/2004;899.884246
09/08/2004;900.3664
10/08/2004;900.885133
11/08/2004;901.417699
12/08/2004;901.959129
13/08/2004;902.526663
16/08/2004;903.089927
17/08/2004;903.619143
18/08/2004;904.166607
19/08/2004;904.709318
20/08/2004;905.250305
23/08/2004;905.786987
24/08/2004;906.298415
25/08/2004;906.818549
26/08/2004;907.33985
27/08/2004;907.889253
30/08/2004;908.431406
31/08/2004;908.97756
01/09/2004;909.512082
02/09/2004;910.054174
03/09/2004;910.595282
06/09/2004;911.145786
08/09/2004;911.680518
09/09/2004;912.204377
10/09/2004;912.724017
13/09/2004;913.258644
14/09/2004;913.794842
15/09/2004;914.30668
16/09/2004;914.819154
17/09/2004;915.319542
20/09/2004;915.856864
21/09/2004;916.232083
22/09/2004;916.521347
23/09/2004;917.010236
24/09/2004;917.530477
27/09/2004;918.079522
28/09/2004;918.627025
29/09/2004;919.248387
30/09/2004;919.862987
01/10/2004;920.50151
04/10/2004;921.128108
05/10/2004;921.77066
06/10/2004;922.401607
07/10/2004;923.045755
08/10/2004;923.632153
11/10/2004;924.224052
13/10/2004;924.780056
14/10/2004;925.32982
15/10/2004;925.882515
18/10/2004;926.434024
19/10/2004;926.979108
20/10/2004;927.543688
21/10/2004;928.103589
22/10/2004;928.683539
25/10/2004;929.254344
26/10/2004;929.836679
27/10/2004;930.401952
28/10/2004;930.974891
29/10/2004;931.537599
01/11/2004;932.111123
03/11/2004;932.691217
04/11/2004;933.275688
05/11/2004;933.87027
08/11/2004;934.462876
09/11/2004;935.046944
10/11/2004;935.64708
11/11/2004;936.236226
12/11/2004;936.837075
16/11/2004;937.434926
17/11/2004;938.026334
18/11/2004;938.61446
19/11/2004;939.202577
22/11/2004;939.794517
23/11/2004;940.387992
24/11/2004;940.97823
25/11/2004;941.573922
26/11/2004;942.168259
29/11/2004;942.770797
30/11/2004;943.365468
01/12/2004;943.971012
02/12/2004;944.603447
03/12/2004;945.215795
06/12/2004;945.834734
07/12/2004;946.450917
08/12/2004;947.057395
09/12/2004;947.69257
10/12/2004;948.305129
13/12/2004;948.918817
14/12/2004;949.537904
15/12/2004;950.200849
16/12/2004;950.936925
17/12/2004;951.640048
20/12/2004;952.365143
21/12/2004;953.071844
22/12/2004;953.75246
23/12/2004;954.383203
24/12/2004;955.008302
27/12/2004;955.628088
28/12/2004;956.332906
29/12/2004;957.001688
30/12/2004;957.67466
31/12/2004;958.301994
03/01/2005;959.082877
04/01/2005;959.800139
05/01/2005;960.47141
06/01/2005;961.129765
07/01/2005;961.803088
10/01/2005;962.443983
11/01/2005;963.098128
12/01/2005;963.749145
13/01/2005;964.398618
14/01/2005;965.047861
17/01/2005;965.692432
18/01/2005;966.326532
19/01/2005;966.968372
20/01/2005;967.603489
21/01/2005;968.262529
24/01/2005;968.898397
25/01/2005;969.542312
26/01/2005;970.194014
27/01/2005;970.84013
28/01/2005;971.499721
31/01/2005;972.162007
01/02/2005;972.820398
02/02/2005;973.476402
03/02/2005;974.136715
04/02/2005;974.793045
09/02/2005;975.443676
10/02/2005;976.106133
11/02/2005;976.77562
14/02/2005;977.415785
15/02/2005;978.067277
16/02/2005;978.766891
17/02/2005;979.435006
18/02/2005;980.178802
21/02/2005;980.881948
22/02/2005;981.605119
23/02/2005;982.300746
24/02/2005;983.002746
25/02/2005;983.709837
28/02/2005;984.412071
01/03/2005;985.100859
02/03/2005;985.800398
03/03/2005;986.501916
04/03/2005;987.205356
07/03/2005;987.900622
08/03/2005;988.592387
09/03/2005;989.29055
10/03/2005;989.971499
11/03/2005;990.664692
14/03/2005;991.350544
