title;Minério de Ferro
subtit;62% Fe CFR Futuros
dfont;Investing
vtype;rvalue
decimal;1
blk_y;600
blk_dx;80
blk_dx_inb;74
blk_h;400
blk_dx;70
type;line
;
;
;
date_type;dd_mm_yyyy
;
data;begin
x;y
25/10/2010;145
26/10/2010;145.1
27/10/2010;144.5
28/10/2010;144
29/10/2010;147.5
01/11/2010;146
02/11/2010;152
03/11/2010;153.5
04/11/2010;156.5
05/11/2010;158.3
08/11/2010;161.5
09/11/2010;162
10/11/2010;157.5
11/11/2010;159
12/11/2010;155.8
15/11/2010;156
16/11/2010;160.3
17/11/2010;158.5
18/11/2010;158
19/11/2010;159.5
22/11/2010;160
23/11/2010;161
24/11/2010;161.5
26/11/2010;161
29/11/2010;160.5
30/11/2010;160.5
01/12/2010;166.8
02/12/2010;167
03/12/2010;168
06/12/2010;169
07/12/2010;169.9
08/12/2010;169.1
09/12/2010;168
10/12/2010;169
13/12/2010;169
14/12/2010;169.5
15/12/2010;169.5
16/12/2010;169
17/12/2010;169
20/12/2010;169
21/12/2010;169
22/12/2010;168.8
23/12/2010;168.8
27/12/2010;168.8
28/12/2010;168.8
29/12/2010;169
30/12/2010;169
31/12/2010;168.3
03/01/2011;170
04/01/2011;172.1
05/01/2011;174.5
06/01/2011;173.5
07/01/2011;173.5
10/01/2011;173.5
11/01/2011;175
12/01/2011;176
13/01/2011;176
14/01/2011;179.5
19/01/2011;179
20/01/2011;178
21/01/2011;178
24/01/2011;179
25/01/2011;179
26/01/2011;179
27/01/2011;179.5
28/01/2011;179.5
31/01/2011;179.6
01/02/2011;183
02/02/2011;184
03/02/2011;183.5
04/02/2011;183.5
07/02/2011;184.8
08/02/2011;185.5
09/02/2011;185.5
10/02/2011;188
11/02/2011;188
14/02/2011;188.5
15/02/2011;188.9
16/02/2011;187.8
17/02/2011;187.5
18/02/2011;187.5
22/02/2011;187.7
23/02/2011;187.6
24/02/2011;187.5
25/02/2011;187.5
28/02/2011;187.2
01/03/2011;173.4
02/03/2011;172
03/03/2011;173
04/03/2011;174.5
07/03/2011;171.6
08/03/2011;171.5
09/03/2011;168.8
10/03/2011;167.8
11/03/2011;164
14/03/2011;163.1
15/03/2011;163.6
16/03/2011;167.7
17/03/2011;169
18/03/2011;168.9
21/03/2011;169.3
22/03/2011;170
23/03/2011;170
24/03/2011;169.4
25/03/2011;169.4
28/03/2011;169.3
29/03/2011;169.3
30/03/2011;169.5
31/03/2011;174
01/04/2011;171.9
04/04/2011;173.8
05/04/2011;173.2
06/04/2011;175
07/04/2011;179.3
08/04/2011;181
11/04/2011;181.1
12/04/2011;178.9
13/04/2011;178.8
14/04/2011;179
15/04/2011;179.1
18/04/2011;179.2
19/04/2011;179.4
20/04/2011;179.4
21/04/2011;179.4
25/04/2011;179.5
26/04/2011;179.5
27/04/2011;179.1
28/04/2011;179.1
02/05/2011;171
03/05/2011;175.8
04/05/2011;175
05/05/2011;172.5
06/05/2011;169.3
09/05/2011;168
10/05/2011;172.5
11/05/2011;170.1
12/05/2011;168.8
13/05/2011;169.6
16/05/2011;168.5
17/05/2011;167.8
18/05/2011;167.5
19/05/2011;164.6
20/05/2011;164.1
23/05/2011;163.5
24/05/2011;165.4
25/05/2011;166.5
26/05/2011;165
27/05/2011;165.7
31/05/2011;168.6
01/06/2011;168.2
02/06/2011;166.9
03/06/2011;168.3
06/06/2011;171.3
07/06/2011;172.8
08/06/2011;172.4
09/06/2011;172.8
10/06/2011;172.3
13/06/2011;170.2
14/06/2011;170.3
15/06/2011;171
16/06/2011;169
17/06/2011;166.6
20/06/2011;164.3
21/06/2011;164.2
22/06/2011;165
23/06/2011;166
24/06/2011;165
27/06/2011;164.1
28/06/2011;164.3
29/06/2011;164.9
30/06/2011;164
01/07/2011;163.9
05/07/2011;170.2
06/07/2011;170.2
07/07/2011;169.7
08/07/2011;168.8
11/07/2011;169.6
12/07/2011;171.5
13/07/2011;172.4
14/07/2011;172.2
15/07/2011;171.6
18/07/2011;172
19/07/2011;172.3
20/07/2011;172.4
21/07/2011;172.5
22/07/2011;172.6
25/07/2011;172.7
26/07/2011;172.8
27/07/2011;173
28/07/2011;173.1
01/08/2011;173.1
02/08/2011;173.3
03/08/2011;177.9
04/08/2011;177.8
05/08/2011;175.3
08/08/2011;175.2
09/08/2011;174.8
10/08/2011;176.1
11/08/2011;175.6
12/08/2011;175.8
15/08/2011;176.2
16/08/2011;176.7
17/08/2011;176.9
18/08/2011;177
19/08/2011;177
22/08/2011;177
23/08/2011;177.1
24/08/2011;177.2
25/08/2011;177.2
26/08/2011;177.3
29/08/2011;177.3
30/08/2011;177.3
31/08/2011;177.4
01/09/2011;178.5
02/09/2011;179.1
06/09/2011;178.6
07/09/2011;179.4
08/09/2011;179.5
09/09/2011;178.1
12/09/2011;178.2
13/09/2011;179
14/09/2011;178.8
15/09/2011;178.9
16/09/2011;178.8
19/09/2011;178.5
20/09/2011;178.7
21/09/2011;178.5
22/09/2011;178.5
23/09/2011;178.3
26/09/2011;178.1
27/09/2011;177.9
28/09/2011;177.8
29/09/2011;177.5
03/10/2011;158.6
04/10/2011;163.3
05/10/2011;164.5
06/10/2011;165.5
07/10/2011;167.1
10/10/2011;165.9
11/10/2011;164.3
12/10/2011;163.2
13/10/2011;162.4
14/10/2011;162.6
17/10/2011;161.2
18/10/2011;159.7
19/10/2011;159.2
20/10/2011;158.6
21/10/2011;158
24/10/2011;157.5
25/10/2011;156.1
26/10/2011;154.8
27/10/2011;153.2
28/10/2011;152
31/10/2011;150.4
01/11/2011;125.6
02/11/2011;127.9
03/11/2011;127.7
04/11/2011;129.4
07/11/2011;129.2
08/11/2011;130.5
09/11/2011;133.2
10/11/2011;131.3
11/11/2011;131.3
14/11/2011;131.5
15/11/2011;133.4
16/11/2011;134.1
17/11/2011;134.8
18/11/2011;135.2
21/11/2011;135.3
22/11/2011;135.7
23/11/2011;135.8
25/11/2011;136.3
28/11/2011;136
29/11/2011;135.8
30/11/2011;135.5
01/12/2011;135.5
02/12/2011;135.6
05/12/2011;135.8
06/12/2011;136
07/12/2011;136.2
08/12/2011;136.4
09/12/2011;136.5
12/12/2011;136.6
13/12/2011;136.7
14/12/2011;136.7
15/12/2011;136.6
16/12/2011;136.5
19/12/2011;136.3
20/12/2011;136.1
21/12/2011;136.1
22/12/2011;136.1
23/12/2011;136.1
27/12/2011;136.1
28/12/2011;136.2
29/12/2011;136.3
03/01/2012;135.7
04/01/2012;135.9
05/01/2012;136.1
06/01/2012;136.3
09/01/2012;136.5
10/01/2012;136.8
11/01/2012;136.9
12/01/2012;137.4
13/01/2012;137.8
17/01/2012;138.2
18/01/2012;138.4
19/01/2012;138.6
20/01/2012;138.8
23/01/2012;139
24/01/2012;139.2
25/01/2012;139.4
26/01/2012;139.6
27/01/2012;139.8
30/01/2012;140
31/01/2012;140.4
01/02/2012;144.7
02/02/2012;144.6
03/02/2012;143.4
06/02/2012;144.6
07/02/2012;143.6
08/02/2012;142.8
09/02/2012;142.8
10/02/2012;142.8
13/02/2012;142.2
14/02/2012;141
15/02/2012;140.7
16/02/2012;140.1
17/02/2012;139.9
21/02/2012;139.9
22/02/2012;139.8
23/02/2012;140
24/02/2012;139.9
27/02/2012;140
28/02/2012;140.1
29/02/2012;140.4
01/03/2012;139.3
02/03/2012;139.5
05/03/2012;137.9
06/03/2012;138.2
07/03/2012;138.8
08/03/2012;139.8
09/03/2012;140
12/03/2012;142.5
13/03/2012;143.5
14/03/2012;143.1
15/03/2012;143.6
16/03/2012;143.6
19/03/2012;143.7
20/03/2012;143.7
21/03/2012;143.7
22/03/2012;143.8
23/03/2012;143.9
26/03/2012;144.1
27/03/2012;144.3
28/03/2012;144.5
29/03/2012;144.6
02/04/2012;145.9
03/04/2012;147.1
04/04/2012;147.3
05/04/2012;147.1
09/04/2012;147.1
10/04/2012;149.4
11/04/2012;149.1
12/04/2012;148.9
13/04/2012;148.6
16/04/2012;148.1
17/04/2012;148.4
18/04/2012;148.2
19/04/2012;148
20/04/2012;148.3
23/04/2012;148.2
24/04/2012;148.2
25/04/2012;148.1
26/04/2012;147.9
27/04/2012;147.8
30/04/2012;147.6
01/05/2012;143.2
02/05/2012;142.5
03/05/2012;142.5
04/05/2012;142.7
07/05/2012;142.7
08/05/2012;141.4
09/05/2012;141.4
10/05/2012;140.8
11/05/2012;140.2
14/05/2012;139.1
15/05/2012;138.9
16/05/2012;138.6
17/05/2012;138.4
18/05/2012;137.9
21/05/2012;138
22/05/2012;137.8
23/05/2012;137.4
24/05/2012;137.2
25/05/2012;137
29/05/2012;136.4
30/05/2012;136.4
31/05/2012;136.3
01/06/2012;132
04/06/2012;132
05/06/2012;132
06/06/2012;129.8
07/06/2012;131.8
08/06/2012;131.2
11/06/2012;131.9
12/06/2012;132.2
13/06/2012;133.3
14/06/2012;133.6
15/06/2012;133.7
18/06/2012;134.3
19/06/2012;134.4
20/06/2012;134.5
21/06/2012;134.5
22/06/2012;134.5
25/06/2012;134.6
26/06/2012;134.6
27/06/2012;134.6
28/06/2012;134.6
29/06/2012;134.6
02/07/2012;131.8
03/07/2012;134
05/07/2012;134.7
06/07/2012;134.1
09/07/2012;134.3
10/07/2012;133.4
11/07/2012;133.5
12/07/2012;133.6
13/07/2012;133.3
16/07/2012;133.1
17/07/2012;132.8
18/07/2012;132.4
19/07/2012;132
20/07/2012;131.5
23/07/2012;131
24/07/2012;130.7
25/07/2012;130.6
26/07/2012;129.6
27/07/2012;129.1
30/07/2012;128.5
31/07/2012;127.9
01/08/2012;116.3
02/08/2012;114.4
03/08/2012;114.5
06/08/2012;116
07/08/2012;117.1
08/08/2012;115.8
09/08/2012;115.7
10/08/2012;114.8
13/08/2012;114.6
14/08/2012;114
15/08/2012;114.1
16/08/2012;113.9
17/08/2012;113.2
20/08/2012;112.9
21/08/2012;112.5
22/08/2012;111.9
23/08/2012;111.1
24/08/2012;110.9
27/08/2012;111
28/08/2012;110.4
29/08/2012;109.5
30/08/2012;108.6
31/08/2012;107.8
