title; Monitor do PIB
subtit;Índice de volume mensal com ajuste sazonal
dfont;FGV
;
decimal;0
blk_dx;80
blk_dx_inb;74
;
date_type;mm_yyyy
;
data;begin
x;y
01/2000;108.600
02/2000;109.100
03/2000;109.500
04/2000;108.400
05/2000;110.600
06/2000;112.000
07/2000;112.100
08/2000;112.400
09/2000;111.700
10/2000;113.100
11/2000;113.200
12/2000;114.100
01/2001;112.800
02/2001;113.300
03/2001;112.900
04/2001;112.700
05/2001;113.500
06/2001;113.000
07/2001;113.200
08/2001;112.700
09/2001;112.300
10/2001;112.400
11/2001;112.700
12/2001;113.100
01/2002;114.100
02/2002;115.800
03/2002;113.200
04/2002;114.500
05/2002;115.100
06/2002;115.500
07/2002;116.300
08/2002;116.800
09/2002;117.800
10/2002;118.100
11/2002;118.200
12/2002;117.800
01/2003;115.500
02/2003;117.400
03/2003;118.200
04/2003;117.600
05/2003;115.600
06/2003;116.500
07/2003;116.600
08/2003;117.100
09/2003;118.800
10/2003;118.100
11/2003;118.600
12/2003;118.200
01/2004;119.700
02/2004;121.000
03/2004;122.600
04/2004;123.300
05/2004;123.000
06/2004;124.700
07/2004;125.200
08/2004;125.600
09/2004;126.200
10/2004;126.100
11/2004;126.800
12/2004;126.500
01/2005;126.400
02/2005;126.400
03/2005;127.400
04/2005;129.400
05/2005;128.200
06/2005;128.200
07/2005;128.000
08/2005;129.000
09/2005;127.900
10/2005;128.700
11/2005;129.000
12/2005;130.200
01/2006;131.200
02/2006;131.100
03/2006;131.400
04/2006;132.100
05/2006;132.000
06/2006;132.700
07/2006;134.200
08/2006;134.300
09/2006;134.700
10/2006;135.000
11/2006;136.200
12/2006;137.200
01/2007;137.700
02/2007;138.200
03/2007;138.500
04/2007;139.300
05/2007;140.400
06/2007;142.600
07/2007;141.600
08/2007;142.300
09/2007;143.500
10/2007;144.600
11/2007;144.600
12/2007;145.900
01/2008;147.100
02/2008;147.400
03/2008;147.300
04/2008;147.700
05/2008;149.600
06/2008;150.800
07/2008;151.400
08/2008;151.500
09/2008;151.400
10/2008;148.400
11/2008;145.400
12/2008;141.700
01/2009;142.200
02/2009;143.600
03/2009;144.600
04/2009;146.000
05/2009;146.700
06/2009;147.600
07/2009;148.000
08/2009;151.100
09/2009;151.300
10/2009;152.400
11/2009;153.500
12/2009;154.900
01/2010;155.100
02/2010;156.300
03/2010;158.300
04/2010;159.800
05/2010;158.800
06/2010;158.000
07/2010;159.600
08/2010;160.800
09/2010;161.400
10/2010;162.300
11/2010;163.500
12/2010;162.500
01/2011;164.200
02/2011;164.200
03/2011;164.500
04/2011;164.800
05/2011;166.800
06/2011;166.900
07/2011;166.100
08/2011;166.000
09/2011;166.600
10/2011;167.000
11/2011;167.700
12/2011;167.100
01/2012;165.500
02/2012;166.200
03/2012;166.400
04/2012;166.400
05/2012;168.600
06/2012;169.300
07/2012;170.800
08/2012;171.700
09/2012;170.900
10/2012;171.100
11/2012;170.800
12/2012;174.400
01/2013;171.600
02/2013;171.100
03/2013;172.500
04/2013;174.200
05/2013;173.900
06/2013;174.000
07/2013;174.800
08/2013;175.000
09/2013;175.900
10/2013;175.400
11/2013;176.100
12/2013;175.500
01/2014;176.300
02/2014;176.800
03/2014;177.400
04/2014;176.000
05/2014;174.900
06/2014;172.200
07/2014;173.000
08/2014;174.200
09/2014;174.600
10/2014;174.900
11/2014;174.200
12/2014;174.700
01/2015;174.200
02/2015;172.800
03/2015;173.800
04/2015;171.400
05/2015;170.000
06/2015;168.100
07/2015;166.800
08/2015;168.000
09/2015;166.500
10/2015;167.200
11/2015;164.500
12/2015;165.100
01/2016;165.100
02/2016;164.600
03/2016;164.000
04/2016;163.700
05/2016;162.600
06/2016;163.700
07/2016;163.500
08/2016;162.900
09/2016;162.900
10/2016;162.900
11/2016;162.700
12/2016;161.200
01/2017;162.300
02/2017;164.300
03/2017;165.500
04/2017;165.400
05/2017;165.400
06/2017;166.400
07/2017;166.800
08/2017;165.800
09/2017;165.900
10/2017;166.500
11/2017;166.300
12/2017;168.100
01/2018;167.600
02/2018;167.300
03/2018;168.600
04/2018;169.900
05/2018;163.900
06/2018;169.400
07/2018;169.700
08/2018;170.000
09/2018;169.800
10/2018;169.500
11/2018;169.400
12/2018;169.000
01/2019;170.000
02/2019;169.300
03/2019;169.700
04/2019;170.000
05/2019;170.500
06/2019;170.700
07/2019;171.100
08/2019;170.300
09/2019;171.400
10/2019;171.500
11/2019;170.300
12/2019;170.200
01/2020;170.500
02/2020;171.200
03/2020;165.300
04/2020;149.300
05/2020;150.900
06/2020;158.300
07/2020;161.800
08/2020;164.300
09/2020;167.900
10/2020;167.700
11/2020;168.600
12/2020;170.400
01/2021;170.500
02/2021;173.500
03/2021;171.100
04/2021;171.400
05/2021;171.100
06/2021;171.600
07/2021;171.300
08/2021;171.500
09/2021;171.100
10/2021;169.900
11/2021;172.000
12/2021;173.600
01/2022;172.000
02/2022;173.000
