title;Sondagem de Serviços
subtit;Nível de Utilização da Capacidade Instalada Com Ajuste Sazonal
dfont;FGV
vtype;rvalue
decimal;2
mult;1
divshow;1
group;1
yref;0
ylines;
blk_dx;80
period;month
;
;
;
;
;
;
;
;
x;y
04/2013;88.40
05/2013;88.30
06/2013;87.10
07/2013;86.80
08/2013;86.90
09/2013;87.00
10/2013;86.90
11/2013;86.70
12/2013;86.70
01/2014;86.70
02/2014;86.70
03/2014;86.60
04/2014;86.40
05/2014;86.30
06/2014;86.20
07/2014;86.30
08/2014;86.00
09/2014;85.60
10/2014;85.50
11/2014;85.40
12/2014;85.20
01/2015;85.00
02/2015;84.80
03/2015;84.60
04/2015;84.50
05/2015;84.40
06/2015;84.00
07/2015;83.80
08/2015;83.60
09/2015;83.60
10/2015;83.40
11/2015;83.20
12/2015;83.00
01/2016;82.80
02/2016;82.50
03/2016;82.40
04/2016;82.30
05/2016;82.00
06/2016;83.10
07/2016;82.90
08/2016;82.80
09/2016;82.60
10/2016;82.30
11/2016;82.40
12/2016;82.40
01/2017;82.30
02/2017;82.20
03/2017;82.20
04/2017;82.20
05/2017;82.30
06/2017;82.20
07/2017;82.20
08/2017;82.30
09/2017;81.40
10/2017;82.50
11/2017;82.30
12/2017;82.30
01/2018;82.20
02/2018;82.20
03/2018;82.30
04/2018;82.40
05/2018;82.10
06/2018;81.90
07/2018;82.00
08/2018;81.00
09/2018;82.00
10/2018;82.00
11/2018;82.10
12/2018;82.00
01/2019;82.00
02/2019;82.00
03/2019;82.10
04/2019;81.90
05/2019;82.00
06/2019;82.10
07/2019;82.10
08/2019;82.00
09/2019;80.60
10/2019;82.00
11/2019;81.90
12/2019;81.90
01/2020;82.30
02/2020;82.90
03/2020;82.00
04/2020;79.50
05/2020;78.00
06/2020;77.20
07/2020;80.50
08/2020;81.80
09/2020;81.80
10/2020;81.30
11/2020;83.10
12/2020;82.50
01/2021;83.40
02/2021;82.40
03/2021;83.20
04/2021;81.90
05/2021;85.40
06/2021;84.70
07/2021;82.20
08/2021;82.60
09/2021;82.50
10/2021;82.60
11/2021;83.30
12/2021;83.00
01/2022;83.40
02/2022;83.30
03/2022;82.90
04/2022;83.90
05/2022;83.30
06/2022;83.50
