title;Crescimento acumulado em 2020 e 2021
subtit;Ranking melhores
dfont;FMI
title_fs_jp2;48
vtype;rvalue
decimal;2
group;name
blk_dx;80
type;rank
;
;
;
data;begin
x;y
Albania;1.8251000000000017
Algeria;-1.666600000000007
Andorra;-7.16
Angola;-6.062200000000006
Antigua and Barbuda;-19.199999999999996
Argentina;-3.1425000000000036
Armenia;-1.38100000000001
Aruba;-12.354399999999988
Australia;1.0159999999999947
Austria;-2.5418000000000163
Azerbaijan;-1.4290000000000025
bahamas;-12.790000000000001
Bahrain;-2.8224000000000027
Bangladesh;8.260999999999985
Barbados;-15.293999999999997
Belarus;1.1810999999999794
Belgium;-1.052799999999987
Belize;-6.690000000000007
Benin;9.50899999999999
Bhutan;-2.6847999999999983
Bolivia;-4.239999999999988
Bosnia and Herzegovina;-1.6203999999999996
Botswana;-0.08199999999999319
Brazil;0.8868000000000098
brunei;3.1220000000000026
Bulgaria;0.11099999999999444
Burkina Faso;8.727299999999993
Burundi;0.5840000000000067
cape verde;-11.392000000000003
Cambodia;-1.2589000000000072
Cameroon;2.0459999999999923
Canada;0.09789999999998411
Central African Republic;-0.009999999999998899
Chad;0.09279999999998179
Chile;4.561999999999999
china;10.484000000000005
Colombia;0.28319999999999457
Comoros;1.092000000000004
democratic congo;6.683299999999992
congo;-8.38359999999999
Costa Rica;-0.359900000000013
Croatia;-2.204000000000006
Cyprus;-0.5448000000000008
Czech Republic;-2.2204
cote d'ivoire;8.120000000000015
Denmark;1.620200000000005
Djibouti;6.05
Dominica;-7.973999999999992
Dominican Republic;2.163500000000007
Ecuador;-5.21839999999999
Egypt;7.018799999999992
El Salvador;0.3890000000000171
Equatorial Guinea;-1.0009000000000157
Eritrea;2.2826000000000013
Estonia;5.244999999999989
Eswatini;-0.9360000000000146
Fiji;-19.07200000000001
Finland;0.012999999999996348
France;-2.204000000000006
Gabon;-0.3270000000000106
gambia;4.6902
Georgia;1.0225999999999846
Germany;-1.6426000000000163
Ghana;5.118800000000001
Greece;-2.232999999999996
Grenada;-10.753700000000011
Guatemala;3.917499999999996
Guinea;12.669200000000004
Guinea-Bissau;1.8537999999999943
Guyana;72.774
Haiti;-3.9769000000000054
Honduras;-4.541000000000006
hong kong;-0.09039999999999049
Hungary;2.2199999999999998
Iceland;-3.0405000000000015
India;1.5065000000000106
Indonesia;1.0328000000000115
Iran;5.984999999999996
Iraq;-12.665199999999999
Ireland;19.66699999999999
Israel;4.743799999999987
Italy;-3.6161999999999916
Jamaica;-5.8599999999999985
Japan;-2.3104000000000013
Jordan;0.36799999999999056
Kazakhstan;0.614199999999987
Kenya;5.283199999999999
Kiribati;1.2909999999999977
south korea;3.3612999999999893
Kosovo;0.38199999999999346
Kuwait;-8.080100000000002
Kyrgyz Republic;-6.680600000000004
laos;1.691599999999993
Latvia;0.7379999999999942
Lesotho;-2.751199999999998
Liberia;0.49200000000000355
Libya;-10.050399999999982
