title;Juros nominais em 2022
subtit;Ranking com as menores taxas de juros, em % ao ano
dfont;Trading Economics
vtype;rvalue
decimal;2
group;name
blk_dx;80
type;rank
;
;
;
;
;
;
data;begin
x;y
Afghanistan;15.0
Albania;1.75
Algeria;3.0
Angola;20.0
Argentina;75.0
Armenia;10.0
Australia;2.35
Austria;1.25
Azerbaijan;7.75
Bahamas;4.0
Bahrain;4.0
Bangladesh;4.75
Belarus;12.0
Belgium;1.25
Benin;4.5
Bhutan;7.16
Bolivia;4.07
Bosnia and Herzegovina;3.63
Botswana;2.65
Brazil;13.75
Brunei;5.5
Bulgaria;0.0
Burkina Faso;4.5
Burundi;6.94
Cambodia;0.73
Cameroon;4.0
Canada;3.25
Cape Verde;0.25
Central African Republic;4.0
Chad;4.0
Chile;10.75
China;3.65
Colombia;9.0
Comoros;0.92
Congo;7.5
Costa Rica;8.5
Croatia;2.5
Cuba;2.25
Cyprus;1.25
Czech Republic;7.0
Denmark;0.65
Djibouti;11.2
Dominican Republic;8.0
Ecuador;8.09
Egypt;11.25
El Salvador;4.58
Equatorial Guinea;4.0
Estonia;1.25
Ethiopia;7.0
Euro Area;1.25
Fiji;0.25
Finland;1.25
France;1.25
Gabon;4.0
Gambia;12.0
Georgia;11.0
Germany;1.25
Ghana;22.0
Greece;1.25
Guatemala;2.25
Guinea;11.5
Guinea Bissau;4.5
Guyana;5.0
Haiti;17.0
Honduras;3.0
Hong Kong;3.5
Hungary;11.75
Iceland;5.5
India;5.4
Indonesia;4.25
Iran;18.0
Iraq;4.0
Ireland;1.25
Israel;2.0
Italy;1.25
Ivory Coast;4.5
Jamaica;5.5
Japan;-0.1
Jordan;4.5
Kazakhstan;14.5
Kenya;7.5
Kuwait;3.0
Kyrgyzstan;14.0
Laos;3.1
Latvia;1.25
Lebanon;7.75
Lesotho;5.5
Liberia;15.0
Libya;3.0
Lithuania;1.25
Luxembourg;1.25
Macau;3.5
Macedonia;2.5
Madagascar;9.5
Malawi;14.0
Malaysia;2.5
Maldives;7.0
Mali;4.25
Malta;1.25
Mauritania;7.0
Mauritius;2.25
Mexico;8.5
Moldova;21.5
Mongolia;12.0
Morocco;1.5
Mozambique;15.25
Myanmar;7.0
Namibia;5.5
Nepal;8.5
Netherlands;1.25
New Caledonia;0.75
New Zealand;3.0
Nicaragua;8.43
Niger;4.5
Nigeria;14.0
Norway;2.25
Oman;3.0
Pakistan;15.0
Panama;1.36
Papua New Guinea;3.25
Paraguay;8.25
Peru;6.75
Philippines;4.25
Poland;6.75
Portugal;1.25
Qatar;3.75
Republic of the Congo;4.0
Romania;5.5
Russia;7.5
Rwanda;6.0
Sao Tome and Principe;10.0
Saudi Arabia;3.75
Senegal;4.5
Serbia;3.5
Seychelles;2.0
Sierra Leone;16.0
Singapore;2.34
Slovakia;1.25
Slovenia;1.25
South Africa;5.5
South Korea;2.5
South Sudan;12.0
Spain;1.25
Sri Lanka;14.5
Sudan;22.9
Suriname;10.0
Swaziland;5.0
Sweden;1.75
Switzerland;0.5
Taiwan;1.63
Tajikistan;13.5
Tanzania;5.0
Thailand;0.75
Togo;4.5
Trinidad and Tobago;3.5
Tunisia;7.0
Turkey;12.0
Uganda;9.0
Ukraine;25.0
United Arab Emirates;4.5
United Kingdom;2.25
United States;3.25
Uruguay;10.25
Uzbekistan;15.0
Venezuela;57.63
Vietnam;5.0
Yemen;27.0
Zambia;9.0
Zimbabwe;200.0
