title;Projeções para crescimento dos países em 2023
subtit;Relatório de Abril/22 ({quantity} países)
dfont;FMI
decimal;1
group;name
blk_dx;80
type;rankI
;
;
;
;
;
;
data;begin
x;y
Albania;2.8
Algeria;2.402
Andorra;2.7
Angola;3.304
Argentina;3.001
Armenia;4.022
Aruba;3.653
Australia;2.455
Austria;3
Azerbaijan;2.605
The Bahamas;4.096
Bahrain;2.983
Bangladesh;6.7
Belarus;0.371
Belgium;1.356
Belize;3.4
Benin;6.15
Bhutan;4.498
Bolivia;3.7
Bosnia and Herzegovina;2.25
Botswana;4.227
Brazil;1.396
Brunei Darussalam;2.601
Bulgaria;4.5
Burkina Faso;4.963
Cabo Verde;5.753
Cambodia;5.889
Cameroon;4.938
Canada;2.753
Chile;0.485
China;5.074
Colombia;3.644
democratic congo;6.922
Costa Rica;3.14
Croatia;4
Cyprus;3.506
Czech Republic;4.219
Denmark;1.7
Dominican Republic;4.964
Ecuador;2.675
Egypt;5.046
El Salvador;2.25
Equatorial Guinea;-2.865
Estonia;2.2
Eswatini;1.809
Ethiopia;5.716
Fiji;7.665
Finland;1.747
France;1.356
Gabon;3.382
The Gambia;6.203
Georgia;5.8
Germany;2.721
Greece;2.565
Grenada;3.598
Guatemala;3.614
Guyana;34.488
Haiti;1.4
Honduras;3.54
Hong Kong;4.901
Hungary;3.64
Iceland;2.324
India;6.894
Indonesia;6.001
Islamic Republic of Iran;2.021
Iraq;5.721
Ireland;4.999
Israel;3.511
Italy;1.663
Jamaica;3.327
Japan;2.315
Jordan;3.1
Kazakhstan;4.351
Kenya;5.279
Kiribati;2.805
south korea;2.941
Kosovo;3.9
Kuwait;2.621
Kyrgyz Republic;5.019
Lao P.D.R.;3.5
Latvia;2.351
Lesotho;1.594
Libya;4.385
Lithuania;2.59
Luxembourg;2.095
Macau;23.3
Malawi;4.296
Malaysia;5.501
Maldives;8.864
Malta;4.474
Marshall Islands;3.2
Mauritania;4.378
Mauritius;5.6
Mexico;2.502
Moldova;2
Mongolia;7
Montenegro;4.2
Morocco;4.561
Mozambique;4.958
Myanmar;3.006
Namibia;3.7
Nepal;6.131
Netherlands;2.037
New Zealand;2.645
Nicaragua;2.2
Niger;7.206
Nigeria;3.094
North Macedonia;2.7
Norway;2.574
Oman;2.677
Pakistan;4.2
Palau;18.83
Panama;5
Papua New Guinea;4.307
Paraguay;4.5
Peru;3.012
Philippines;6.286
Poland;2.853
Portugal;2.1
Puerto Rico;0.4
Qatar;2.486
Romania;3.388
Russia;-2.286
Samoa;4.018
San Marino;1.081
São Tomé and Príncipe;2.775
Saudi Arabia;3.641
Serbia;4
Seychelles;5.598
Sierra Leone;4.32
Singapore;2.851
Slovak Republic;5
Slovenia;2.987
Somalia;3.6
South Africa;1.4
Spain;3.315
Sri Lanka;2.737
St. Kitts and Nevis;4.668
St. Lucia;5.974
St. Vincent and the Grenadines;6.4
Suriname;2.148
Sweden;2.717
Switzerland;1.402
Taiwan Province of China;2.884
Tajikistan;3.5
Tanzania;5.24
Thailand;4.294
Togo;6.2
Tonga;3.015
Trinidad and Tobago;2.962
Tunisia;n/a
Turkey;3.04
Turkmenistan;2.547
Uganda;6.456
Ukraine;n/a
United Arab Emirates;3.796
United Kingdom;1.197
United States;2.25
Uruguay;2.992
Uzbekistan;4.951
Vietnam;7.246
West Bank and Gaza;3.5
Yemen;2.5
Zambia;3.622
