title;Produção de veículos
subtit;Total de unidades por mês
dfont;Anfavea
vtype;rvalue
divshow;1000
;
date_type;mmm_yy
;
;
data;begin
x;y
Jan/57;2317
Feb/57;2144
Mar/57;2660
Apr/57;2449
May/57;2788
Jun/57;2740
Jul/57;2846
Aug/57;2740
Sep/57;2635
Oct/57;2646
Nov/57;2264
Dec/57;2313
Jan/58;4633
Feb/58;4333
Mar/58;5308
Apr/58;4920
May/58;5563
Jun/58;5453
Jul/58;5566
Aug/58;5561
Sep/58;5202
Oct/58;5264
Nov/58;4584
Dec/58;4596
Jan/59;7188
Feb/59;6742
Mar/59;8307
Apr/59;7764
May/59;8754
Jun/59;8578
Jul/59;8815
Aug/59;8818
Sep/59;8221
Oct/59;8305
Nov/59;7249
Dec/59;7373
Jan/60;10258
Feb/60;9545
Mar/60;11759
Apr/60;10896
May/60;12214
Jun/60;11930
Jul/60;12204
Aug/60;12054
Sep/60;11217
Oct/60;11296
Nov/60;9761
Dec/60;9907
Jan/61;11358
Feb/61;10640
Mar/61;13148
Apr/61;11948
May/61;13472
Jun/61;13030
Jul/61;13330
Aug/61;13274
Sep/61;12347
Oct/61;12084
Nov/61;10557
Dec/61;10396
Jan/62;15045
Feb/62;13615
Mar/62;17103
Apr/62;15502
May/62;17647
Jun/62;17409
Jul/62;17519
Aug/62;17843
Sep/62;16047
Oct/62;16124
Nov/62;13674
Dec/62;13666
Jan/63;13148
Feb/63;12553
Mar/63;15600
Apr/63;14291
May/63;16104
Jun/63;15563
Jul/63;16075
Aug/63;16037
Sep/63;14464
Oct/63;15000
Nov/63;12830
Dec/63;12526
Jan/64;13941
Feb/64;13641
Mar/64;16779
Apr/64;15439
May/64;17209
Jun/64;16431
Jul/64;17187
Aug/64;16510
Sep/64;15409
Oct/64;15056
Nov/64;13080
Dec/64;13025
Jan/65;14007
Feb/65;13791
Mar/65;16702
Apr/65;15722
May/65;16995
Jun/65;16601
Jul/65;17059
Aug/65;16229
Sep/65;15588
