title;Vendas de veículos
subtit;Total de unidades por mês
dfont;Anfavea
vtype;rvalue
divshow;1000
;
;
;
;
data;begin
x;y
Jan/57;2009
Feb/57;2091
Mar/57;2802
Apr/57;2530
May/57;2889
Jun/57;2913
Jul/57;3053
Aug/57;2922
Sep/57;2373
Oct/57;2170
Nov/57;1793
Dec/57;3432
Jan/58;4712
Feb/58;4594
Mar/58;5612
Apr/58;4956
May/58;5535
Jun/58;5867
Jul/58;5632
Aug/58;5476
Sep/58;4689
Oct/58;4297
Nov/58;3501
Dec/58;6055
Jan/59;8331
Feb/59;8017
Mar/59;8741
Apr/59;7631
May/59;8664
Jun/59;9362
Jul/59;8702
Aug/59;8287
Sep/59;7381
Oct/59;6926
Nov/59;5560
Dec/59;9127
Jan/60;13847
Feb/60;12200
Mar/60;12374
Apr/60;9863
May/60;11182
Jun/60;12170
Jul/60;11001
Aug/60;10511
Sep/60;9690
Oct/60;9522
Nov/60;7625
Dec/60;11514
Jan/61;15023
Feb/61;12704
Mar/61;13573
Apr/61;10980
May/61;12282
Jun/61;13389
Jul/61;11959
Aug/61;11703
Sep/61;10966
Oct/61;10810
Nov/61;9253
Dec/61;12155
Jan/62;19890
Feb/62;17252
Mar/62;17885
Apr/62;14499
May/62;16183
Jun/62;17673
Jul/62;15674
Aug/62;15242
Sep/62;14286
Oct/62;13925
Nov/62;11581
Dec/62;16062
Jan/63;16706
Feb/63;15003
Mar/63;16224
Apr/63;13842
May/63;15269
Jun/63;16317
Jul/63;14178
Aug/63;13952
Sep/63;13350
Oct/63;12739
Nov/63;11375
Dec/63;14804
Jan/64;15095
Feb/64;13649
Mar/64;17280
Apr/64;14810
May/64;16448
Jun/64;17543
Jul/64;15464
Aug/64;14939
Sep/64;14306
Oct/64;13706
Nov/64;12253
Dec/64;15412
Jan/65;18280
Feb/65;15031
Mar/65;18480
Apr/65;14742
May/65;16306
Jun/65;17218
Jul/65;15389
Aug/65;15266
Sep/65;14640
Oct/65;14349
