# título do gráfico;
title;Índice de atividade dos gerentes de compras (PMI) 
#subtitulo do gráfico;
subtit;Industrial Markit
#fonte dos dados;
dfont;Markit Economics
#tipo de dado (perc   = exibe %,  value  = calcula a diferença em %,  rvalue = usa valor nominal );
vtype;rvalue
#número de casas decimais;
decimal;1
# Multiplica o dado (deixar em 1, se colocar 1000 ele pegará o dado e multiplicará por mil, ex 4 vira 4000);
mult;1
#Divide o dado (deixar em 1, se colocar 1000 significa que o gráfico lerá 4000 como 4k);
divshow;1
#grupo (name = exibe exatamente o texto no eixo x, 1 = mensal  12 = acumula 12, yearly acumula dados mensais e gera anual, yearlyv pega dado de Dezembro e compara com ano anterior, samemonth = pega mesmo mês nos anos anteriores);
group;1
#posição do eixo Y (na dúvida, deixar em 0);
yref;0
#valores das linhas adicionais, ex: se quiser uma linha em 100 e outra em 500 usar 100,500 e deixar depois do;);
ylines;
#posição horizontal do início das barras;
blk_x;0 
#posição vertical do início das barras;
blk_y;600  
#  largura da barra;
blk_dx;80
blk_dx_inb;74
#altura do gráfico;
blk_h;400  
#espaço entre as barras;
blk_dx;70   
#periodicidade month (somente  month por enquanto, ignorado quando 'group'=name) quant;0 (quantidade de colunas que será apresentada, default: 0=todas);
period;month
#tipo( bar  = gráfico de barras (tipo default), step = gráfico de escada (Selic),  line = gráfico de linha,  rank = ranking de países, rankI = ranking de países invertido);
type;bar
#xformat (year = Exibe somente ano no eixo X), default é exibir tudo;
xformat;
#(qtde. de espaços entre cada valor no eixo x, ex: 6 (exibe texto no eixo x a cada 6 ítens));
xstep;1 
# (tamanho do espaço entre cada valor que será usado no eixo x, ex:3 (usa 1 valor a cada 3));
vstep;1
#  convert (index_to_perc = quando group=name, converte valor de índice para diferença %, last_diff;1  Indica se último valor do gráfico deve ser exibido diferente (0 = não);
convert;
# tamanho das fontes do título;
title_fs;25
# tamanho das fontes da barra ();
tab_fs;25
;
;
;
;
;
;
;
data;begin
x;y
10/2019;52.2
11/2019;52.9
12/2019;50.2
01/2020;51
02/2020;52.3
03/2020;48.4
04/2020;36
05/2020;38.3
06/2020;51.6
07/2020;58.2
08/2020;64.7
09/2020;64.9
10/2020;66.7
11/2020;64
12/2020;61.5
01/2021;56.5
02/2021;58.4
03/2021;52.8
04/2021;52.3
05/2021;53.7
06/2021;56.4
07/2021;56.7
08/2021;53.6
09/2021;54.4
10/2021;51.7
11/2021;49.8
12/2021;49.8
01/2022;47.8
02/2022;49.6
03/2022;52.3
