date,dayup,nindex,valor
06/1989,28,3.086190E-005,0
07/1989,28,4.194290E-005,0
08/1989,28,5.742660E-005,0
09/1989,28,8.034990E-005,0
10/1989,28,1.130011E-004,0
11/1989,28,1.587459E-004,0
12/1989,28,2.335659E-004,0
01/1990,28,3.771157E-004,0
02/1990,28,6.836555E-004,0
03/1990,28,1.257552E-003,0
04/1990,28,1.614069E-003,0
05/1990,28,1.709725E-003,0
06/1990,28,1.879620E-003,0
07/1990,28,2.105394E-003,0
08/1990,28,2.392147E-003,0
09/1990,28,2.698400E-003,0
10/1990,28,3.048369E-003,0
11/1990,28,3.562291E-003,0
12/1990,28,4.203477E-003,0
01/1991,28,4.947516E-003,0
02/1991,28,5.987394E-003,0
03/1991,28,6.537412E-003,0
04/1991,28,7.047761E-003,0
05/1991,28,7.575021E-003,0
06/1991,28,8.217406E-003,0
07/1991,28,9.303743E-003,0
08/1991,28,1.072270E-002,0
09/1991,28,1.232310E-002,0
10/1991,28,1.511220E-002,0
11/1991,28,1.898430E-002,0
12/1991,28,2.347110E-002,0
01/1992,28,2.900010E-002,0
02/1992,28,3.707880E-002,0
03/1992,28,4.501140E-002,0
04/1992,28,5.398610E-002,0
05/1992,28,6.501280E-002,0
06/1992,28,8.036150E-002,0
07/1992,28,9.790850E-002,0
08/1992,28,1.220220E-001,0
09/1992,28,1.528580E-001,0
10/1992,28,1.937650E-001,0
11/1992,28,2.391620E-001,0
12/1992,28,2.991330E-001,0
01/1993,28,3.763990E-001,0
02/1993,28,4.833390E-001,0
03/1993,28,6.102310E-001,0
04/1993,28,7.861810E-001,0
05/1993,28,1.019680E+000,0
06/1993,28,1.340830E+000,0
07/1993,28,1.759860E+000,0
08/1993,28,2.319240E+000,0
09/1993,28,3.137510E+000,0
10/1993,28,4.236800E+000,0
11/1993,28,5.768540E+000,0
12/1993,28,7.979250E+000,0
01/1994,28,1.109680E+001,0
02/1994,28,1.562190E+001,0
03/1994,28,2.276280E+001,0
04/1994,28,3.207490E+001,0
05/1994,28,4.573160E+001,0
06/1994,28,6.640820E+001,0
07/1994,28,9.296840E+001,0
08/1994,28,100.000,0
09/1994,28,101.751,0
10/1994,28,103.602,0
11/1994,28,106.553,0
12/1994,28,107.450,0
01/1995,28,108.442,0
02/1995,28,109.945,0
03/1995,28,111.178,0
04/1995,28,113.518,0
05/1995,28,114.171,0
06/1995,28,116.984,0
07/1995,28,119.114,0
08/1995,28,121.729,0
09/1995,28,120.869,0
10/1995,28,121.503,0
11/1995,28,122.955,0
12/1995,28,123.833,0
01/1996,28,125.977,0
02/1996,28,127.202,0
03/1996,28,127.715,0
04/1996,28,128.130,0
05/1996,28,130.121,0
06/1996,28,131.445,0
07/1996,28,133.213,0
08/1996,28,133.587,0
09/1996,28,133.722,0
10/1996,28,133.978,0
11/1996,28,134.242,0
12/1996,28,135.225,0
01/1997,28,137.613,0
02/1997,28,138.204,0
03/1997,28,139.795,0
04/1997,28,140.742,0
05/1997,28,141.040,0
06/1997,28,142.090,0
07/1997,28,142.221,0
08/1997,28,142.353,0
09/1997,28,143.042,0
10/1997,28,143.567,0
11/1997,28,144.481,0
12/1997,28,145.695,0
01/1998,28,147.091,0
02/1998,28,147.356,0
03/1998,28,147.635,0
04/1998,28,147.821,0
05/1998,28,148.021,0
06/1998,28,148.588,0
07/1998,28,148.339,0
08/1998,28,148.109,0
09/1998,28,147.984,0
10/1998,28,148.100,0
11/1998,28,147.628,0
12/1998,28,148.291,0
01/1999,28,149.533,0
02/1999,28,154.933,0
03/1999,28,159.325,0
04/1999,28,160.459,0
05/1999,28,159.996,0
06/1999,28,160.573,0
07/1999,28,163.060,0
