date,nindex
08/1994,100.000
09/1994,100.381
10/1994,101.710
11/1994,104.110
12/1994,105.487
01/1995,109.176
02/1995,111.453
03/1995,115.129
04/1995,117.774
05/1995,128.098
06/1995,132.090
07/1995,133.524
08/1995,134.353
09/1995,135.318
10/1995,136.484
11/1995,137.478
12/1995,138.664
01/1996,140.766
02/1996,140.929
03/1996,142.313
04/1996,142.663
05/1996,145.742
06/1996,147.984
07/1996,149.095
08/1996,149.445
09/1996,149.772
10/1996,150.157
11/1996,151.035
12/1996,151.922
01/1997,152.408
02/1997,153.147
03/1997,154.260
04/1997,154.616
05/1997,155.953
06/1997,157.687
07/1997,158.485
08/1997,160.352
09/1997,160.780
10/1997,161.024
11/1997,161.897
12/1997,162.271
01/1998,162.805
02/1998,163.593
03/1998,164.361
04/1998,163.535
05/1998,165.133
06/1998,165.781
07/1998,166.345
08/1998,166.705
09/1998,166.729
10/1998,166.738
11/1998,166.657
12/1998,166.733
01/1999,167.648
02/1999,169.288
03/1999,170.221
04/1999,171.100
05/1999,172.578
06/1999,173.279
07/1999,174.074
08/1999,175.280
09/1999,176.785
10/1999,178.574
11/1999,180.207
12/1999,182.084
01/2000,184.039
02/2000,185.461
03/2000,186.492
04/2000,187.604
05/2000,190.136
06/2000,191.527
07/2000,192.104
08/2000,192.846
09/2000,193.342
10/2000,193.984
11/2000,194.789
12/2000,196.037
01/2001,197.174
02/2001,197.849
03/2001,198.388
04/2001,199.112
05/2001,203.321
06/2001,205.682
07/2001,206.742
08/2001,208.026
09/2001,209.174
10/2001,211.122
11/2001,212.676
12/2001,213.393
01/2002,214.162
02/2002,215.399
03/2002,216.577
04/2002,217.288
05/2002,222.793
06/2002,224.054
07/2002,224.712
08/2002,226.968
09/2002,228.576
10/2002,231.167
11/2002,236.830
12/2002,240.861
01/2003,244.489
02/2003,247.898
03/2003,251.318
04/2003,253.585
05/2003,260.778
06/2003,263.516
07/2003,266.132
08/2003,269.967
09/2003,270.555
10/2003,272.325
11/2003,275.152
12/2003,275.594
01/2004,276.490
02/2004,279.243
03/2004,282.470
04/2004,284.128
05/2004,289.317
06/2004,291.348
07/2004,294.625
08/2004,297.003
09/2004,298.722
10/2004,302.275
11/2004,304.429
12/2004,305.974
01/2005,308.284
02/2005,309.646
03/2005,311.733
04/2005,313.977
05/2005,320.524
06/2005,322.974
07/2005,323.332
08/2005,323.382
09/2005,324.164
10/2005,324.782
11/2005,325.703
12/2005,326.915
01/2006,328.042
02/2006,328.651
03/2006,329.320
04/2006,330.501
05/2006,334.867
06/2006,337.892
07/2006,339.484
08/2006,340.283
09/2006,340.670
10/2006,341.369
11/2006,342.159
12/2006,343.401
01/2007,344.943
02/2007,345.682
03/2007,346.617
04/2007,348.194
05/2007,352.204
06/2007,355.456
07/2007,356.545
08/2007,357.467
09/2007,359.276
10/2007,361.102
11/2007,362.403
12/2007,364.525
01/2008,365.906
02/2008,367.382
03/2008,369.812
04/2008,373.031
05/2008,380.582
06/2008,387.906
07/2008,393.556
08/2008,398.202
09/2008,401.975
10/2008,405.090
11/2008,407.109
12/2008,407.807
01/2009,409.166
02/2009,410.262
03/2009,409.216
04/2009,409.042
05/2009,414.742
06/2009,417.657
07/2009,418.757
08/2009,418.528
09/2009,419.147
10/2009,419.405
11/2009,420.635
12/2009,421.051
01/2010,423.740
02/2010,425.268
03/2010,428.476
04/2010,432.079
05/2010,439.914
06/2010,444.718
07/2010,446.688
08/2010,447.296
09/2010,448.222
10/2010,449.103
11/2010,450.763
12/2010,453.766
01/2011,455.619
02/2011,456.917
03/2011,458.887
04/2011,463.766
05/2011,477.405
06/2011,479.183
07/2011,481.330
08/2011,481.966
09/2011,482.658
10/2011,483.758
11/2011,487.221
12/2011,487.749
01/2012,492.106
02/2012,493.584
03/2012,496.079
04/2012,499.791
05/2012,509.184
06/2012,512.903
07/2012,516.318
08/2012,517.657
09/2012,518.816
10/2012,519.907
11/2012,521.638
12/2012,522.474
01/2013,525.850
02/2013,529.029
03/2013,531.691
04/2013,535.601
05/2013,547.655
06/2013,553.948
07/2013,556.600
08/2013,558.340
09/2013,560.767
10/2013,562.241
11/2013,564.201
12/2013,564.765
01/2014,569.720
02/2014,571.577
03/2014,573.156
04/2014,578.224
05/2014,590.099
06/2014,594.013
07/2014,598.441
08/2014,598.898
09/2014,599.823
10/2014,600.865
11/2014,603.524
12/2014,604.026
01/2015,609.568
02/2015,611.447
03/2015,615.248
04/2015,618.060
05/2015,623.951
06/2015,635.403
07/2015,638.880
08/2015,642.644
09/2015,644.046
10/2015,646.355
11/2015,648.542
12/2015,649.216
01/2016,651.759
