date,nindex
08/1994,100.000
09/1994,100.312
10/1994,101.195
11/1994,102.628
12/1994,105.136
01/1995,106.581
02/1995,110.354
03/1995,113.014
04/1995,116.114
05/1995,118.936
06/1995,130.089
07/1995,133.608
08/1995,134.856
09/1995,135.483
10/1995,136.456
11/1995,137.493
12/1995,138.961
01/1996,139.892
02/1996,141.778
03/1996,142.049
04/1996,143.308
05/1996,144.095
06/1996,146.988
07/1996,149.224
08/1996,150.334
09/1996,150.564
10/1996,150.915
11/1996,151.345
12/1996,152.079
01/1997,153.107
02/1997,153.588
03/1997,154.228
04/1997,155.358
05/1997,155.823
06/1997,157.373
07/1997,158.855
08/1997,159.724
09/1997,161.604
10/1997,161.953
11/1997,162.317
12/1997,163.165
01/1998,163.644
02/1998,164.428
03/1998,164.935
04/1998,164.169
05/1998,164.933
06/1998,166.356
07/1998,167.063
08/1998,167.554
09/1998,167.698
10/1998,167.780
11/1998,167.662
12/1998,167.652
01/1999,168.008
02/1999,169.054
03/1999,170.587
04/1999,171.584
05/1999,172.233
06/1999,173.750
07/1999,174.466
08/1999,175.370
09/1999,176.824
10/1999,178.217
11/1999,180.382
12/1999,181.839
01/2000,183.929
02/2000,185.572
03/2000,187.092
04/2000,188.389
05/2000,189.463
06/2000,191.521
07/2000,193.104
08/2000,193.786
09/2000,194.365
10/2000,194.914
11/2000,195.488
12/2000,196.450
01/2001,197.233
02/2001,198.325
03/2001,198.996
04/2001,199.545
05/2001,203.530
06/2001,204.931
07/2001,207.117
08/2001,208.272
09/2001,209.510
10/2001,211.431
11/2001,212.700
12/2001,214.194
01/2002,215.058
02/2002,215.734
03/2002,217.554
04/2002,218.259
05/2002,223.644
06/2002,224.117
07/2002,225.529
08/2002,227.376
09/2002,228.913
10/2002,230.787
11/2002,235.843
12/2002,240.868
01/2003,244.354
02/2003,248.262
03/2003,251.695
04/2003,253.744
05/2003,261.311
06/2003,263.244
07/2003,264.785
08/2003,270.623
09/2003,271.284
10/2003,272.552
11/2003,273.706
12/2003,276.424
01/2004,277.201
02/2004,278.521
03/2004,282.956
04/2004,284.665
05/2004,289.627
06/2004,291.239
07/2004,294.509
08/2004,297.162
09/2004,299.140
10/2004,301.975
11/2004,304.810
12/2004,306.655
01/2005,308.802
02/2005,310.105
03/2005,312.300
04/2005,313.497
05/2005,315.200
06/2005,322.150
07/2005,324.236
08/2005,324.394
09/2005,324.575
10/2005,325.485
11/2005,326.416
12/2005,327.645
01/2006,328.427
02/2006,329.360
03/2006,330.108
04/2006,330.787
05/2006,333.459
06/2006,338.302
07/2006,340.232
08/2006,341.438
09/2006,341.731
10/2006,342.352
11/2006,343.137
12/2006,344.171
01/2007,345.713
02/2007,346.629
03/2007,347.227
04/2007,348.729
05/2007,350.631
06/2007,356.503
07/2007,357.269
08/2007,358.534
09/2007,359.916
10/2007,361.672
11/2007,363.397
12/2007,364.972
01/2008,366.471
02/2008,368.062
03/2008,370.251
04/2008,373.302
05/2008,377.419
06/2008,387.512
07/2008,393.018
08/2008,398.015
09/2008,401.797
10/2008,405.212
11/2008,407.860
12/2008,408.765
01/2009,409.811
02/2009,411.249
03/2009,410.569
04/2009,410.531
05/2009,411.570
06/2009,417.860
07/2009,419.422
08/2009,419.468
09/2009,419.758
10/2009,420.298
11/2009,421.070
12/2009,421.908
01/2010,424.094
02/2010,425.590
03/2010,427.498
04/2010,432.491
05/2010,436.499
06/2010,444.243
07/2010,446.992
08/2010,447.996
09/2010,448.892
10/2010,449.587
11/2010,451.215
12/2010,453.876
01/2011,455.562
02/2011,457.333
03/2011,459.360
04/2011,462.793
05/2011,472.203
06/2011,478.935
07/2011,481.768
08/2011,482.518
09/2011,483.199
10/2011,484.185
11/2011,486.610
12/2011,488.298
01/2012,491.549
02/2012,493.608
03/2012,495.433
04/2012,499.548
05/2012,506.020
06/2012,512.628
07/2012,516.963
08/2012,518.616
09/2012,519.681
10/2012,520.940
11/2012,522.136
12/2012,523.624
01/2013,525.651
02/2013,529.879
03/2013,531.339
04/2013,535.777
05/2013,542.402
06/2013,553.007
07/2013,557.040
08/2013,558.777
09/2013,561.203
10/2013,563.034
11/2013,564.558
12/2013,565.786
01/2014,569.745
02/2014,572.254
03/2014,573.505
04/2014,577.322
05/2014,585.207
06/2014,592.510
07/2014,597.251
08/2014,598.387
09/2014,599.333
10/2014,600.549
11/2014,602.360
12/2014,603.895
01/2015,608.131
02/2015,611.188
03/2015,613.374
04/2015,617.360
05/2015,620.121
06/2015,631.747
07/2015,635.935
08/2015,641.019
09/2015,642.407
10/2015,644.123
11/2015,646.721
