data,valor
19800101,6.62
19800201,4.62
19800301,6.04
19800401,5.29
19800501,5.7
19800601,5.31
19800701,5.55
19800801,4.95
19800901,4.23
19801001,9.48
19801101,6.67
19801201,6.61
19810101,6.84
19810201,6.4
19810301,4.97
19810401,6.46
19810501,5.56
19810601,5.52
19810701,6.26
19810801,5.5
19810901,5.26
19811001,5.08
19811101,5.27
19811201,5.93
19820101,6.97
19820201,6.64
19820301,5.71
19820401,5.89
19820501,6.66
19820601,7.1
19820701,6.36
19820801,5.97
19820901,5.08
19821001,4.44
19821101,5.29
19821201,7.81
19830101,8.64
19830201,7.86
19830301,7.34
19830401,6.58
19830501,6.48
19830601,9.88
19830701,10.08
19830801,9.11
19830901,10.3
19831001,8.87
19831101,7.38
19831201,8.68
19840101,9.67
19840201,9.5
19840301,8.94
19840401,9.54
19840501,9.05
19840601,10.08
19840701,9.72
19840801,9.35
19840901,11.75
19841001,10.44
19841101,10.53
19841201,11.98
19850101,11.76
19850201,10.87
19850301,10.16
19850401,8.2
19850501,7.2
19850601,8.49
19850701,10.31
19850801,12.05
19850901,11.12
19851001,10.62
19851101,13.97
19851201,15.07
19860101,14.37
19860201,12.72
19860301,4.77
19860401,0.78
19860501,1.4
19860601,1.27
19860701,1.71
19860801,3.55
19860901,1.72
19861001,1.9
19861101,5.45
19861201,11.65
19870101,13.21
19870201,12.64
19870301,16.37
19870401,19.1
19870501,21.45
19870601,19.71
19870701,9.21
19870801,4.87
19870901,7.78
19871001,11.22
19871101,15.08
19871201,14.15
19880101,18.89
19880201,15.7
19880301,17.6
19880401,19.29
19880501,17.42
19880601,22.0
19880701,21.91
19880801,21.59
19880901,27.45
19881001,25.62
19881101,27.94
19881201,28.7
19890101,37.49
19890201,16.78
19890301,6.82
19890401,8.33
19890501,17.92
19890601,28.65
19890701,27.74
19890801,33.71
19890901,37.56
19891001,39.77
19891101,47.82
19891201,51.5
19900101,67.55
19900201,75.73
19900301,82.39
19900401,15.52
19900501,7.59
19900601,11.75
19900701,12.92
19900801,12.88
19900901,14.41
19901001,14.36
19901101,16.81
19901201,18.44
19910101,20.75
19910201,20.72
19910301,11.92
19910401,4.99
19910501,7.43
19910601,11.19
19910701,12.41
19910801,15.63
19910901,15.63
19911001,20.23
19911101,25.21
19911201,23.71
19920101,25.94
19920201,24.32
19920301,21.4
19920401,19.93
19920501,24.86
19920601,20.21
19920701,21.83
19920801,22.14
19920901,24.63
19921001,25.24
19921101,22.49
19921201,25.24
19930101,30.35
19930201,24.98
19930301,27.26
19930401,27.75
19930501,27.69
19930601,30.07
19930701,30.72
19930801,32.96
19930901,35.69
19931001,33.92
19931101,35.56
19931201,36.84
19940101,41.31
19940201,40.27
19940301,42.75
19940401,42.68
19940501,44.03
19940601,47.43
19940701,6.84
19940801,1.86
19940901,1.53
19941001,2.62
19941101,2.81
19941201,1.71
