data,valor
20140101,1.51
20140201,1.83
20140301,1.7
20140401,0.71
20140501,0.57
20140601,0.27
20140701,-0.3
20140801,0.14
20140901,1.12
20141001,1.52
20141101,2.47
20141201,2.66
20150101,-0.4
20150201,0.31
20150301,2.18
20150401,2.41
20150501,2.41
20150601,2.89
20150701,3.63
20150801,4.63
20150901,7.75
20151001,9.66
20151101,9.2
20151201,8.81
20160101,0.68
20160201,0.04
20160301,-1.15
20160401,-1.49
20160501,-0.6
20160601,-0.11
20160701,-0.68
20160801,-0.93
20160901,-0.46
20161001,-0.37
20161101,0.42
20161201,1.71
20170101,0.3
20170201,-0.14
20170301,-0.08
20170401,-0.19
20170501,-0.08
20170601,-0.29
20170701,-1.29
20170801,-1.0
20170901,0.47
20171001,2.27
20171101,3.71
20171201,4.15
20180101,0.47
20180201,0.86
20180301,1.94
20180401,3.55
20180501,6.2
20180601,8.61
20180701,9.83
20180801,10.78
20180901,14.0
20181001,13.22
20181101,11.38
20181201,9.64
20190101,-0.75
20190201,-0.3
20190301,1.28
20190401,2.52
20190501,3.95
20190601,2.78
20190701,1.55
20190801,2.48
20190901,2.98
20191001,3.61
20191101,4.52
20191201,5.19
20200101,0.35
20200201,1.16
20200301,2.01
20200401,2.13
20200501,3.31
20200601,3.93
20200701,7.28
20200801,10.83
20200901,13.42
20201001,17.29
20201101,18.91
20201201,19.38
20210101,3.55
20210201,8.88
20210301,13.92
20210401,16.42
20210501,17.56
20210601,19.08
20210701,21.29
20210801,23.58
20210901,23.9
20211001,26.69
20211101,28.55
20211201,28.45
20220101,1.18
