,total,reg1,reg2,reg3,reg4,reg5,reg9,setA,setE,setF,setG,setU,setZ
2020-01-01,112050,2835,-3416,32246,60173,20199,13,16478,58268,35849,-51744,53199,0
2020-02-01,217287,10789,2219,107458,70380,26448,-7,3685,39963,25965,9030,138645,-1
2020-03-01,-295022,-7516,-70019,-159714,-40213,-17556,-4,-8574,-42796,-17678,-89257,-136717,0
2020-04-01,-981697,-32767,-153313,-505499,-225042,-65076,0,-6822,-217731,-75302,-265616,-416226,0
2020-05-01,-398436,-12745,-64168,-211127,-91229,-19236,69,14789,-107813,-23970,-106404,-175037,-1
2020-06-01,-53601,5540,-10631,-46630,-6760,4744,136,37705,-8532,15564,-27562,-70776,0
2020-07-01,108390,15794,19981,33703,25923,12987,2,22461,49436,40721,20773,-25001,0
2020-08-01,214395,22841,55626,86352,36654,12914,8,8018,90156,50510,43673,22038,0
2020-09-01,299446,21961,86247,118109,58127,14992,10,5317,111281,47352,66400,69096,0
2020-10-01,365919,20823,64584,173118,86082,21148,164,-4502,84131,35023,110615,140652,0
2020-11-01,376174,14566,65254,198052,85110,13025,167,-21813,46211,16049,176897,158830,0
2020-12-01,-157471,-11438,-13191,-79903,-35949,-17198,208,-30175,-51132,-52775,46814,-70203,0
2021-01-01,254273,8250,27250,98687,82078,37122,886,36488,91004,44279,10089,72413,0
2021-02-01,397662,13630,37824,202308,101249,41759,892,24857,93660,45157,67711,166277,0
2021-03-01,153479,9440,-1240,89641,41014,13882,742,3371,37498,24378,6666,81566,0
2021-04-01,89576,9584,13746,33085,15237,17182,742,10489,14868,22400,2051,39768,0
2021-05-01,266370,18180,35885,150004,34438,26857,1006,38129,42533,21977,59492,104240,-1
2021-06-01,317868,24409,50597,161561,42572,37484,1245,39313,51045,24262,76831,126417,0
2021-07-01,306466,24072,53099,153263,41267,33961,804,25685,58072,30284,75585,116841,-1
2021-08-01,388267,22698,86559,190757,56277,31223,753,10579,73739,35503,81887,186560,-1
2021-09-01,329682,17678,96387,144168,48579,21614,1256,11093,76593,26870,65076,150050,0
2021-10-01,251104,9373,52060,119546,52359,16613,1153,-6294,25744,15941,69817,145898,-2
2021-11-01,311827,17250,57198,172324,51857,12723,475,-19547,5718,9222,140881,175553,0
2021-12-01,-290249,-14438,-19084,-149771,-83317,-23553,-86,-27931,-94015,-55373,5930,-118859,-1
2022-01-01,158281,3401,5941,51539,60355,34730,2315,25100,52417,36599,-65463,109630,-2
2022-02-01,341673,14341,30266,168997,84890,41558,1621,17688,43330,39200,13117,228340,-2
2022-03-01,94357,6636,-11413,58167,22896,15778,2293,-18883,5835,18896,-9345,97854,0
2022-04-01,200985,12453,31170,102176,25935,26084,3167,-683,26313,25202,30271,119882,0
2022-05-01,277125,16183,48446,148648,25170,34019,4659,27661,46346,34434,47485,121199,0
2022-06-01,280893,22013,52306,139191,32211,34386,786,35672,41726,30223,47716,125556,0
2022-07-01,221345,17605,49783,99220,28748,25175,814,16119,50652,31735,39125,83714,0
2022-08-01,278639,18171,66009,137759,35032,21515,153,7724,52760,35156,41886,141113,0
