,total,reg1,reg2,reg3,reg4,reg5,reg9,setA,setE,setF,setG,setU,setZ,sex1,sex3,sex9,cor1,cor2,cor3,cor4,cor5,cor6,cor9,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu9,edu10,edu11,edu80,edu99
2020-01-01,112211,2818,-3339,32353,60167,20199,13,16500,58288,35909,-51675,53189,0,88516,23695,0,29117,6823,26928,387,1493,56414,-8951,-242,-107,777,9228,9581,10536,60204,4392,17054,-5,-173,973,-7
2020-02-01,217496,10810,2271,107593,70387,26442,-7,3679,40019,26033,9101,138665,-1,109454,108042,0,72586,12140,60404,25,1657,81333,-10649,-2398,-7436,-2662,7165,12297,18480,131530,7786,42244,4415,1505,4579,-9
2020-03-01,-294777,-7508,-69952,-159540,-40214,-17559,-4,-8506,-42781,-17602,-89181,-136707,0,-153094,-141683,0,-133677,-19184,-107295,-1933,-2428,-15908,-14352,-3535,-16325,-11281,-17988,-33446,-27785,-181104,-8476,1295,1377,316,2180,-5
2020-04-01,-981805,-32802,-153291,-505526,-225073,-65113,0,-6837,-217755,-75292,-265606,-416315,0,-550828,-430977,0,-444020,-57505,-322581,-4657,-2497,-143249,-7296,-2962,-22123,-18817,-54727,-90312,-86684,-601349,-40331,-60778,-541,-211,-2969,-1
2020-05-01,-398217,-12756,-63976,-211106,-91225,-19223,69,14798,-107806,-23942,-106405,-174861,-1,-224141,-174076,0,-208357,-22292,-117705,-2543,-1075,-41447,-4798,-192,-6768,-7587,-27329,-44205,-41860,-219057,-17354,-30840,-568,-167,-2286,-4
2020-06-01,-53505,5510,-10154,-46971,-6761,4735,136,37725,-8924,15588,-27547,-70347,0,6864,-60369,0,-66891,-985,990,-918,-265,18949,-4385,1172,4860,534,-4559,-11462,-12987,-9080,-2412,-13881,-2547,-1145,-1990,-8
2020-07-01,108763,15771,20276,33790,25939,12985,2,22429,49466,40753,20836,-24721,0,108857,-94,0,-1492,8469,52171,-442,-386,55584,-5141,1700,5417,-259,5293,5464,3193,100538,5175,-11266,-2932,-934,-2623,-3
2020-08-01,214809,22841,55822,86507,36668,12963,8,8037,90219,50568,43742,22243,0,174156,40653,0,38714,13528,91561,361,221,76269,-5845,2731,5987,812,4459,8695,11589,165517,11351,1868,585,358,859,-2
2020-09-01,299497,21833,86341,118216,58122,14975,10,5323,111321,47401,66467,68985,0,213505,85992,0,64921,19614,128839,910,209,91744,-6740,4966,13091,2714,6180,11272,19853,212166,15897,12045,275,69,970,-1
2020-10-01,366166,20842,64666,173248,86094,21150,166,-4491,84152,35050,110683,140772,0,216940,149226,0,96337,23304,131677,1419,543,120998,-8112,889,115,-796,5240,13639,28491,282274,19437,14896,393,112,1479,-3
2020-11-01,376265,14550,65226,198169,85127,13026,167,-21813,46239,16061,176957,158821,0,166566,209699,0,109491,26162,128510,1802,146,117888,-7734,307,-4780,-4556,-874,7993,25736,313346,20264,17348,106,67,1312,-4
2020-12-01,-157635,-11503,-13013,-79941,-36063,-17262,147,-30020,-51129,-52756,46554,-70284,0,-122125,-35510,0,-110980,-3399,-51795,-1111,-803,17458,-7005,-1852,-14280,-11608,-22713,-27350,-20834,1086,42,-47328,-4937,-1741,-6117,-3
