x;y
1T/9;-14.1
2T/9;-11.9
3T/9;-11.0
4T/9;-9.2
1T/10;15.5
2T/10;10.8
3T/10;11.1
4T/10;11.7
1T/11;4.2
2T/11;5.4
3T/11;5.1
4T/11;4.8
1T/12;5.3
2T/12;1.9
3T/12;-0.1
4T/12;0.7
1T/13;-5.0
2T/13;0.7
3T/13;1.3
4T/13;1.8
1T/14;2.4
2T/14;0.6
3T/14;1.8
4T/14;-1.6
1T/15;4.1
2T/15;6.7
3T/15;5.0
4T/15;6.8
1T/16;12.1
2T/16;6.9
3T/16;4.1
4T/16;0.9
1T/17;1.5
2T/17;1.8
3T/17;3.7
4T/17;4.9
1T/18;5.0
2T/18;1.1
3T/18;1.6
4T/18;4.1
1T/19;-2.2
2T/19;-0.8
3T/19;-1.7
4T/19;-2.6
1T/20;-2.7
2T/20;-1.0
3T/20;-1.0
4T/20;-1.8
1T/21;1.0
2T/21;8.0
3T/21;6.6
4T/21;5.8
