x;y
11/10/2012;7.25
29/11/2012;7.25
17/01/2013;7.25
07/03/2013;7.25
18/04/2013;7.5
30/05/2013;8.0
11/07/2013;8.5
29/08/2013;9.0
10/10/2013;9.5
28/11/2013;10.0
16/01/2014;10.5
27/02/2014;10.75
03/04/2014;11.0
29/05/2014;11.0
17/07/2014;11.0
04/09/2014;11.0
30/10/2014;11.25
04/12/2014;11.75
22/01/2015;12.25
05/03/2015;12.75
30/04/2015;13.25
04/06/2015;13.75
30/07/2015;14.25
03/09/2015;14.25
22/10/2015;14.25
26/11/2015;14.25
21/01/2016;14.25
03/03/2016;14.25
28/04/2016;14.25
09/06/2016;14.25
21/07/2016;14.25
01/09/2016;14.25
20/10/2016;14.0
01/12/2016;13.75
12/01/2017;13.0
23/02/2017;12.25
13/04/2017;11.25
01/06/2017;10.25
27/07/2017;9.25
08/09/2017;8.25
26/10/2017;7.5
07/12/2017;7.0
08/02/2018;6.75
22/03/2018;6.5
17/05/2018;6.5
21/06/2018;6.5
02/08/2018;6.5
20/09/2018;6.5
01/11/2018;6.5
13/12/2018;6.5
07/02/2019;6.5
21/03/2019;6.5
09/05/2019;6.5
21/06/2019;6.5
01/08/2019;6.0
19/09/2019;5.5
31/10/2019;5.0
12/12/2019;4.5
06/02/2020;4.25
19/03/2020;3.75
07/05/2020;3.0
18/06/2020;2.25
06/08/2020;2.0
17/09/2020;2.0
29/10/2020;2.0
10/12/2020;2.0
21/01/2021;2.0
18/03/2021;2.75
06/05/2021;3.5
17/06/2021;4.25
05/08/2021;5.25
23/09/2021;6.25
28/10/2021;7.75
09/12/2021;9.25
03/02/2022;10.75
17/03/2022;11.75
05/05/2022;12.75
15/06/2022;13.25
03/08/2022;13.75
21/09/2022;13.75
