index,Date,Open,High,Low,Close,Volume
0,2015-03-19,2510.2700195312,2529.1999511719,2505.3999023438,2528.6000976562,28075732
1,2015-03-22,2527.9499511719,2532.4099121094,2509.2900390625,2532.4099121094,7358167
2,2015-03-23,2532.2600097656,2539.9099121094,2512.9699707031,2537.75,6704644
3,2015-03-24,2537.7700195312,2538.7099609375,2518.0400390625,2523.3999023438,5926070
4,2015-03-25,2523.9299316406,2523.9299316406,2471.8701171875,2481.6298828125,8710062
5,2015-03-26,2482.1201171875,2490.8500976562,2449.6599121094,2464.9699707031,7370281
6,2015-03-29,2464.5100097656,2516.1298828125,2464.5,2516.1298828125,7819575
7,2015-03-30,2515.8898925781,2524.7399902344,2493.9599609375,2509.8200683594,9744660
8,2015-03-31,2509.3898925781,2545.1799316406,2495.5900878906,2541.5500488281,8751340
9,2015-04-01,2541.2900390625,2552.0,2534.4099121094,2545.6899414062,5375376
10,2015-04-06,2545.3400878906,2582.8798828125,2545.3400878906,2581.9399414062,7128858
11,2015-04-07,2581.919921875,2596.0900878906,2575.3701171875,2590.419921875,8499933
12,2015-04-08,2590.7299804688,2615.6398925781,2589.7199707031,2614.580078125,7647790
13,2015-04-09,2614.6398925781,2631.2099609375,2611.8000488281,2620.5200195312,7071487
14,2015-04-12,2620.4099121094,2648.580078125,2618.4699707031,2646.7099609375,6976922
15,2015-04-13,2646.6298828125,2656.8400878906,2616.4299316406,2628.1398925781,13103212
16,2015-04-14,2630.1298828125,2657.5900878906,2623.4399414062,2650.9799804688,9426460
17,2015-04-15,2651.0400390625,2655.6201171875,2629.1298828125,2634.9899902344,8004228
18,2015-04-16,2634.419921875,2634.419921875,2575.8999023438,2589.5600585938,10030545
19,2015-04-19,2589.5700683594,2623.8000488281,2579.4099121094,2608.3000488281,6603637
20,2015-04-20,2607.419921875,2640.1499023438,2607.419921875,2632.2600097656,8824943
21,2015-04-21,2632.4299316406,2643.1201171875,2601.8500976562,2617.2900390625,6993989
22,2015-04-22,2615.5100097656,2625.5900878906,2595.2800292969,2613.1799316406,6387412
23,2015-04-23,2613.0700683594,2637.8500976562,2611.7399902344,2637.8500976562,8364328
24,2015-04-26,2638.6201171875,2662.8200683594,2636.0600585938,2661.6999511719,5937750
25,2015-04-27,2662.0900878906,2663.3898925781,2627.1000976562,2646.669921875,7785099
26,2015-04-28,2647.2299804688,2651.0200195312,2586.5100097656,2586.5100097656,8300154
27,2015-04-29,2586.1499023438,2594.6899414062,2560.580078125,2586.330078125,10219214
28,2015-05-03,2586.4599609375,2625.0700683594,2585.6799316406,2614.0900878906,5413894
29,2015-05-04,2613.1899414062,2628.1899414062,2581.3898925781,2583.9299316406,8511931
30,2015-05-05,2582.7700195312,2598.330078125,2564.5,2571.2600097656,7619047
31,2015-05-06,2570.5500488281,2618.4699707031,2536.330078125,2615.330078125,11414465
32,2015-05-07,2615.4599609375,2653.2299804688,2615.3500976562,2653.2299804688,8463249
33,2015-05-10,2653.5900878906,2665.7700195312,2646.7099609375,2653.8000488281,7728878
34,2015-05-11,2653.3200683594,2653.3200683594,2610.9499511719,2633.0300292969,7016774
35,2015-05-12,2633.4099121094,2661.3500976562,2632.8400878906,2659.5700683594,7273086
36,2015-05-14,2659.3898925781,2695.5700683594,2659.3898925781,2681.4399414062,8486372
37,2015-05-17,2681.9399414062,2681.9399414062,2625.3898925781,2637.5500488281,7693462
38,2015-05-18,2637.3000488281,2657.7399902344,2637.3000488281,2642.5600585938,8211660
39,2015-05-19,2642.5200195312,2656.3200683594,2632.6000976562,2652.3999023438,8466841
40,2015-05-20,2653.0100097656,2654.7900390625,2631.1101074219,2639.919921875,6437146
41,2015-05-21,2639.919921875,2654.6799316406,2636.0400390625,2640.7199707031,6668967
42,2015-05-25,2641.4099121094,2642.7600097656,2596.4799804688,2596.7900390625,9165601
43,2015-05-26,2595.919921875,2619.6599121094,2587.9599609375,2614.6298828125,8015689
44,2015-05-27,2614.9699707031,2614.9699707031,2562.3400878906,2576.4299316406,10396061
45,2015-05-28,2576.75,2585.25,2561.8898925781,2568.7600097656,84892368
46,2015-05-31,2568.9099121094,2580.8701171875,2552.3898925781,2554.2800292969,8962902
47,2015-06-01,2554.4299316406,2580.7800292969,2542.080078125,2578.5900878906,10586033
48,2015-06-02,2578.7299804688,2614.9099121094,2574.6398925781,2612.3500976562,8151898
49,2015-06-04,2612.0900878906,2615.5700683594,2543.0300292969,2544.669921875,9233709
50,2015-06-07,2544.3601074219,2554.4399414062,2500.1398925781,2500.9799804688,7912844
51,2015-06-08,2500.9799804688,2506.2099609375,2465.6298828125,2502.8000488281,7984219
52,2015-06-09,2502.919921875,2557.3701171875,2495.4399414062,2546.4099121094,7941340
53,2015-06-10,2546.5300292969,2553.7299804688,2516.0400390625,2527.3400878906,6341223
54,2015-06-11,2527.3200683594,2528.1398925781,2472.3798828125,2494.0300292969,6296519
55,2015-06-14,2494.1201171875,2494.1201171875,2432.2600097656,2434.3000488281,8891945
56,2015-06-15,2433.9799804688,2460.2900390625,2397.6298828125,2451.6999511719,7943457
57,2015-06-16,2451.8798828125,2468.9299316406,2427.0500488281,2428.7199707031,7551040
58,2015-06-17,2428.580078125,2444.6599121094,2410.580078125,2443.3999023438,7729218
59,2015-06-18,2443.3999023438,2467.8400878906,2427.6599121094,2431.0200195312,18365618
60,2015-06-21,2431.7099609375,2505.2600097656,2431.7099609375,2504.4899902344,8676193
61,2015-06-22,2505.0,2531.2099609375,2505.0,2519.0500488281,7718090
62,2015-06-23,2518.9099121094,2529.8200683594,2486.0300292969,2512.830078125,6761779
63,2015-06-24,2512.1101074219,2525.1799316406,2493.5400390625,2499.4699707031,7325336
64,2015-06-25,2499.2299804688,2511.6298828125,2478.1201171875,2509.5600585938,4836731
65,2015-06-28,2509.1201171875,2509.1201171875,2380.7299804688,2427.1999511719,9060443
66,2015-06-29,2427.1799316406,2440.8999023438,2393.9599609375,2411.7700195312,7894152
67,2015-06-30,2411.4399414062,2472.4099121094,2410.4599609375,2461.1599121094,7078675
68,2015-07-01,2461.0600585938,2475.0400390625,2437.4499511719,2437.6298828125,5970780
69,2015-07-02,2437.5500488281,2445.7099609375,2417.0,2433.2399902344,4530588
70,2015-07-05,2432.9899902344,2432.9899902344,2368.2900390625,2374.0600585938,7959942
71,2015-07-06,2372.5500488281,2389.9799804688,2324.669921875,2330.8400878906,7150197
72,2015-07-07,2328.4899902344,2367.8000488281,2322.3500976562,2360.0400390625,6302582
73,2015-07-08,2360.0300292969,2416.6101074219,2360.0300292969,2411.9799804688,6881963
74,2015-07-09,2412.3000488281,2466.8000488281,2411.7199707031,2464.75,6478105
75,2015-07-12,2466.0900878906,2516.5900878906,2466.0900878906,2513.3500976562,8414915
76,2015-07-13,2513.6298828125,2516.3898925781,2493.8500976562,2506.7199707031,4956330
77,2015-07-14,2506.6000976562,2508.9599609375,2490.8601074219,2498.4499511719,4861983
78,2015-07-15,2497.2800292969,2533.0400390625,2496.0200195312,2532.1398925781,6555154
79,2015-07-16,2533.9899902344,2548.4599609375,2521.2800292969,2533.4399414062,7298555
80,2015-07-19,2533.7600097656,2567.8500976562,2533.080078125,2552.3100585938,5751289
81,2015-07-20,2550.0700683594,2558.8500976562,2538.4599609375,2541.5100097656,4320326
82,2015-07-21,2540.3898925781,2540.3898925781,2520.2700195312,2521.6101074219,5401621
83,2015-07-22,2521.3500976562,2539.7299804688,2520.3701171875,2524.3100585938,4741581
84,2015-07-23,2523.7800292969,2530.6398925781,2501.5900878906,2507.9799804688,4545669
85,2015-07-26,2507.3798828125,2507.8898925781,2455.5300292969,2455.5300292969,6581616
86,2015-07-27,2456.1298828125,2484.2199707031,2455.5600585938,2480.2399902344,5145962
87,2015-07-28,2479.8999023438,2490.2299804688,2470.0900878906,2481.9799804688,4804380
88,2015-07-29,2481.330078125,2495.8701171875,2465.1799316406,2481.2800292969,5549818
89,2015-07-30,2481.2199707031,2500.9699707031,2480.2399902344,2499.4499511719,5203137
90,2015-08-02,2499.4099121094,2502.4499511719,2478.5900878906,2499.4399414062,8230681
91,2015-08-03,2498.8898925781,2498.9599609375,2480.8999023438,2489.7600097656,5843534
92,2015-08-04,2489.7600097656,2507.8798828125,2489.4599609375,2501.7600097656,6832291
93,2015-08-05,2502.0500488281,2504.0700683594,2481.7299804688,2481.7299804688,5690055
94,2015-08-06,2481.75,2502.5400390625,2479.8200683594,2487.9599609375,9245688
95,2015-08-09,2488.1799316406,2497.4399414062,2473.6298828125,2497.0100097656,6336379
96,2015-08-10,2496.9699707031,2500.0,2458.7199707031,2468.4699707031,5533956
97,2015-08-11,2467.9599609375,2467.9599609375,2408.8000488281,2414.3701171875,8261172
98,2015-08-12,2414.580078125,2458.1599121094,2414.580078125,2452.8400878906,5448363
99,2015-08-13,2452.9699707031,2469.6499023438,2448.6599121094,2453.6000976562,4785018
100,2015-08-16,2453.9799804688,2467.0500488281,2438.7900390625,2450.7299804688,6829772
101,2015-08-17,2450.7299804688,2467.5600585938,2450.7199707031,2462.1599121094,5952427
102,2015-08-18,2461.7600097656,2468.4799804688,2440.8500976562,2443.7099609375,8768201
103,2015-08-19,2443.5900878906,2443.6599121094,2390.6799316406,2395.1201171875,8923769
104,2015-08-20,2394.5600585938,2394.5600585938,2316.1799316406,2316.1799316406,8674681
105,2015-08-23,2315.8400878906,2315.8400878906,2173.8701171875,2207.6899414062,14404282
106,2015-08-24,2207.6899414062,2307.8601074219,2206.1101074219,2287.6999511719,10712458
107,2015-08-25,2286.9799804688,2297.8999023438,2254.3100585938,2266.669921875,9401863
108,2015-08-26,2267.1398925781,2352.7299804688,2267.1398925781,2349.4499511719,10747469
109,2015-08-27,2349.7700195312,2363.3200683594,2318.169921875,2335.8898925781,6791532
110,2015-08-30,2336.2600097656,2338.0500488281,2294.830078125,2325.1101074219,8065949
111,2015-08-31,2324.9599609375,2324.9599609375,2271.0,2278.1101074219,7317045
112,2015-09-01,2278.3898925781,2294.1799316406,2261.0100097656,2261.8200683594,7627625
113,2015-09-02,2262.169921875,2313.2299804688,2261.8701171875,2303.669921875,7429541
114,2015-09-03,2303.4399414062,2304.1000976562,2250.5400390625,2251.7099609375,8495715
115,2015-09-06,2251.7700195312,2270.1899414062,2244.3400878906,2256.2199707031,5747010
116,2015-09-07,2256.1201171875,2298.2800292969,2255.330078125,2282.8701171875,6978990
117,2015-09-08,2283.4399414062,2324.419921875,2283.4399414062,2298.2700195312,7044121
118,2015-09-09,2298.1799316406,2298.5300292969,2264.9399414062,2281.3100585938,8962470
119,2015-09-10,2281.4699707031,2284.4099121094,2261.7099609375,2266.0400390625,7269077
120,2015-09-13,2266.6799316406,2280.8000488281,2251.4099121094,2261.3701171875,4844294
121,2015-09-14,2260.5300292969,2277.580078125,2247.0500488281,2272.3500976562,6684844
122,2015-09-15,2271.919921875,2299.8798828125,2271.919921875,2292.8000488281,7465631
123,2015-09-16,2292.6799316406,2297.7800292969,2283.2399902344,2290.4299316406,7930610
124,2015-09-17,2290.6499023438,2290.9699707031,2238.0600585938,2240.830078125,28935456
125,2015-09-20,2240.3798828125,2253.3701171875,2226.3200683594,2244.9299316406,7331842
126,2015-09-21,2244.4399414062,2247.1101074219,2191.8500976562,2200.0900878906,8670081
127,2015-09-22,2200.0900878906,2218.4399414062,2187.2299804688,2205.0700683594,5560512
128,2015-09-23,2204.5400390625,2213.5300292969,2164.8000488281,2172.4899902344,7722972
129,2015-09-24,2172.5700683594,2212.7399902344,2172.1000976562,2206.669921875,7138423
130,2015-09-27,2206.1101074219,2215.6499023438,2166.8200683594,2168.4599609375,5370118
131,2015-09-28,2168.4299316406,2187.6799316406,2141.6298828125,2187.6799316406,7567334
132,2015-09-29,2187.6599121094,2229.4899902344,2187.5200195312,2229.4899902344,8899750
