index,Date,Open,High,Low,Close,Volume
1,2009-12-02,2534.2800292969,2548.5100097656,2518.6101074219,2525.1398925781,24205016
2,2009-12-03,2521.9799804688,2555.4899902344,2504.2600097656,2538.8400878906,21192820
3,2009-12-06,2532.0400390625,2542.8999023438,2510.3000488281,2533.8601074219,13761852
4,2009-12-07,2530.8100585938,2542.3601074219,2494.1499023438,2509.4799804688,19549856
5,2009-12-08,2499.8200683594,2506.3100585938,2466.2900390625,2470.5500488281,32304728
6,2009-12-09,2472.1201171875,2484.6298828125,2463.7199707031,2483.5900878906,26300820
7,2009-12-10,2487.3798828125,2514.6499023438,2481.3000488281,2487.3798828125,20839790
8,2009-12-13,2510.580078125,2512.75,2493.9699707031,2506.8601074219,15670361
9,2009-12-14,2513.9499511719,2514.669921875,2483.5600585938,2508.7600097656,22101830
10,2009-12-15,2508.75,2527.669921875,2500.3000488281,2527.669921875,23451992
11,2009-12-16,2511.3200683594,2516.5600585938,2490.6899414062,2490.6899414062,22071078
12,2009-12-17,2491.4699707031,2500.1298828125,2453.0600585938,2453.0600585938,46831940
13,2009-12-20,2459.7600097656,2486.75,2452.419921875,2482.6101074219,17199824
14,2009-12-21,2488.7099609375,2498.8798828125,2482.4399414062,2489.1000976562,14171291
15,2009-12-22,2496.7800292969,2500.7600097656,2480.7600097656,2489.5600585938,13249282
16,2009-12-23,2485.4399414062,2494.9599609375,2485.4399414062,2490.4699707031,3164273
17,2009-12-27,2500.1999511719,2516.080078125,2500.1999511719,2516.080078125,8018099
18,2009-12-28,2519.2399902344,2530.0,2513.580078125,2525.9299316406,9515265
19,2009-12-29,2518.4599609375,2526.0,2510.6599121094,2510.6599121094,9583838
20,2009-12-30,2522.4399414062,2522.6899414062,2509.8798828125,2511.6201171875,6136282
21,2010-01-03,2521.7299804688,2563.9699707031,2521.7299804688,2563.9699707031,19759988
22,2010-01-04,2566.8701171875,2594.8898925781,2553.0,2587.7700195312,25737020
23,2010-01-05,2590.1298828125,2601.169921875,2577.7399902344,2596.4299316406,18656798
24,2010-01-06,2591.7700195312,2600.419921875,2579.6298828125,2590.6799316406,28732444
25,2010-01-07,2597.7099609375,2606.1499023438,2580.6899414062,2591.6398925781,23923260
26,2010-01-10,2604.6499023438,2610.4099121094,2585.580078125,2585.8601074219,22381140
27,2010-01-11,2588.8400878906,2595.4599609375,2562.3601074219,2565.0500488281,21481882
28,2010-01-12,2560.3601074219,2586.8701171875,2557.9099121094,2575.1101074219,24735982
29,2010-01-13,2582.5,2584.3100585938,2565.0700683594,2571.3701171875,24383552
30,2010-01-14,2578.0600585938,2592.0100097656,2528.8999023438,2536.4499511719,27872046
31,2010-01-17,2542.9399414062,2554.7299804688,2538.8701171875,2552.7099609375,19677530
32,2010-01-18,2545.6599121094,2556.919921875,2521.669921875,2547.3601074219,20427766
33,2010-01-19,2541.3200683594,2551.919921875,2512.9799804688,2516.6799316406,32299450
34,2010-01-20,2522.7099609375,2546.2399902344,2483.9499511719,2484.2600097656,19701740
35,2010-01-21,2471.2600097656,2491.2399902344,2463.6599121094,2475.8100585938,30284534
36,2010-01-24,2454.8000488281,2505.9699707031,2454.0700683594,2475.1398925781,27536078
37,2010-01-25,2463.9799804688,2497.2700195312,2459.169921875,2496.4499511719,25684348
38,2010-01-26,2483.8701171875,2513.1499023438,2467.0400390625,2493.669921875,27235188
39,2010-01-27,2523.8000488281,2537.0100097656,2486.5100097656,2486.5100097656,24051892
40,2010-01-28,2497.080078125,2516.0900878906,2477.7600097656,2505.1999511719,25686476
41,2010-01-31,2496.8798828125,2540.7399902344,2493.669921875,2537.7099609375,23088204
42,2010-02-01,2536.5500488281,2548.2199707031,2519.9899902344,2547.1101074219,20690252
43,2010-02-02,2547.1899414062,2560.6101074219,2524.75,2529.6599121094,22238526
44,2010-02-03,2528.6999511719,2537.6101074219,2451.4499511719,2454.8999023438,33001046
45,2010-02-04,2427.8798828125,2429.1899414062,2376.5100097656,2392.5200195312,49152912
46,2010-02-07,2397.8798828125,2425.919921875,2375.7199707031,2402.1499023438,31897876
47,2010-02-08,2400.3701171875,2422.2299804688,2393.3000488281,2413.1799316406,31929460
48,2010-02-09,2437.6499023438,2464.5200195312,2428.5600585938,2440.7900390625,38408680
49,2010-02-10,2449.5200195312,2474.6101074219,2430.0600585938,2453.7900390625,32750442
50,2010-02-11,2475.1298828125,2484.3100585938,2446.2600097656,2461.4699707031,26916284
51,2010-02-14,2462.1999511719,2476.419921875,2445.919921875,2449.7900390625,11971592
52,2010-02-15,2467.1398925781,2481.669921875,2448.4599609375,2475.4799804688,17659090
53,2010-02-16,2489.3898925781,2518.5600585938,2483.6799316406,2512.8400878906,26006216
54,2010-02-17,2512.8898925781,2518.4099121094,2497.580078125,2518.4099121094,19981166
55,2010-02-18,2500.4299316406,2527.7299804688,2498.7700195312,2527.7299804688,19430786
56,2010-02-21,2526.0100097656,2529.9599609375,2511.6000976562,2521.1000976562,18699172
57,2010-02-22,2526.7399902344,2536.419921875,2495.4799804688,2502.8898925781,20212776
58,2010-02-23,2507.2800292969,2517.1101074219,2492.3500976562,2514.9399414062,17213960
59,2010-02-24,2512.5,2512.5,2474.3898925781,2480.6499023438,24082448
60,2010-02-25,2505.3000488281,2514.8701171875,2484.1201171875,2514.8701171875,22651628
61,2010-02-28,2533.169921875,2543.4099121094,2519.0600585938,2543.4099121094,18392084
62,2010-03-01,2541.9099121094,2558.7700195312,2537.3400878906,2558.7700195312,18232786
63,2010-03-02,2553.3100585938,2592.5600585938,2551.830078125,2592.5600585938,23237132
64,2010-03-03,2565.3999023438,2590.4599609375,2559.0200195312,2582.9599609375,29251736
65,2010-03-04,2588.1398925781,2611.0300292969,2582.6101074219,2611.0300292969,27504242
66,2010-03-07,2618.8500976562,2620.6298828125,2598.1398925781,2600.830078125,21038348
67,2010-03-08,2601.0200195312,2611.2700195312,2584.6101074219,2606.3100585938,20197250
68,2010-03-09,2614.7900390625,2634.1599121094,2606.9099121094,2634.1599121094,29203572
69,2010-03-10,2618.8200683594,2623.2099609375,2602.1101074219,2613.5200195312,21200024
70,2010-03-11,2615.169921875,2635.0900878906,2611.75,2625.2800292969,18589476
71,2010-03-14,2619.9299316406,2624.8898925781,2604.669921875,2608.8000488281,15616152
72,2010-03-15,2619.75,2640.6101074219,2618.2600097656,2631.5700683594,19993520
73,2010-03-16,2639.2700195312,2668.3100585938,2638.2700195312,2665.6201171875,24957904
74,2010-03-17,2662.2800292969,2662.2800292969,2645.9699707031,2654.8500976562,18311194
75,2010-03-18,2656.4799804688,2667.2800292969,2634.6201171875,2639.2800292969,36587432
76,2010-03-21,2630.9699707031,2636.2199707031,2608.3500976562,2634.4499511719,20620880
77,2010-03-22,2635.6000976562,2656.3701171875,2633.8200683594,2649.3400878906,16451913
78,2010-03-23,2653.9699707031,2657.4299316406,2628.0900878906,2649.6999511719,16297853
79,2010-03-24,2647.3898925781,2673.9499511719,2640.1000976562,2672.1000976562,22942988
80,2010-03-25,2664.3200683594,2670.1101074219,2651.4799804688,2656.9299316406,15316354
81,2010-03-28,2664.4899902344,2670.8999023438,2657.3601074219,2665.3999023438,14355453
82,2010-03-29,2671.5600585938,2677.8601074219,2655.6398925781,2656.1201171875,18492772
83,2010-03-30,2650.75,2660.6599121094,2633.330078125,2648.4599609375,24159860
84,2010-03-31,2656.8500976562,2681.0,2656.2199707031,2680.5600585938,20949680
85,2010-04-05,2688.75,2699.1298828125,2681.7900390625,2696.6599121094,25267120
86,2010-04-06,2696.3400878906,2710.9699707031,2693.5,2696.9599609375,18794274
87,2010-04-07,2686.8400878906,2687.9099121094,2652.9299316406,2668.6201171875,27978044
88,2010-04-08,2685.8000488281,2702.8701171875,2685.7299804688,2702.8701171875,22648096
89,2010-04-11,2723.2700195312,2725.6899414062,2707.2900390625,2714.8100585938,22940590
90,2010-04-12,2712.7399902344,2722.330078125,2697.6599121094,2708.9799804688,38250360
91,2010-04-13,2716.1899414062,2720.2299804688,2700.2600097656,2716.6999511719,20045960
92,2010-04-14,2706.2299804688,2720.6000976562,2690.5100097656,2715.1599121094,21435900
93,2010-04-15,2706.7600097656,2722.4399414062,2681.5700683594,2687.3601074219,30079008
94,2010-04-18,2664.8200683594,2678.0700683594,2661.3400878906,2667.9599609375,18525088
95,2010-04-19,2673.5200195312,2685.4299316406,2662.0400390625,2681.0700683594,18631580
