index,Date,Open,High,Low,Close,Volume
1,2009-12-02,1542.4100341797,1550.1099853516,1541.2199707031,1547.1800537109,450544
2,2009-12-03,1545.8499755859,1553.9899902344,1539.2099609375,1553.1800537109,81607
3,2009-12-06,1552.2099609375,1557.8000488281,1550.0300292969,1552.1500244141,50634
4,2009-12-07,1552.75,1554.5899658203,1542.5899658203,1545.8000488281,64965
5,2009-12-08,1545.5,1546.0300292969,1531.3800048828,1533.1199951172,257172
6,2009-12-09,1532.2900390625,1548.1700439453,1523.3900146484,1540.5100097656,102920
7,2009-12-10,1544.6800537109,1549.5799560547,1536.1400146484,1539.4699707031,60945
8,2009-12-13,1543.9300537109,1543.9300537109,1536.6600341797,1540.9799804688,100948
9,2009-12-14,1539.2600097656,1540.9799804688,1530.6700439453,1535.1400146484,71956
10,2009-12-15,1532.2199707031,1538.8000488281,1524.6099853516,1533.0300292969,181056
11,2009-12-16,1533.3299560547,1534.9100341797,1525.1800537109,1528.0899658203,877783
12,2009-12-20,1530.3699951172,1547.0999755859,1525.4200439453,1526.9599609375,91001
13,2009-12-21,1525.5999755859,1530.1600341797,1522.4899902344,1524.2700195312,56420
14,2009-12-22,1525.4399414062,1535.6400146484,1521.3599853516,1533.3499755859,179722
15,2009-12-23,1532.1800537109,1552.3399658203,1529.0200195312,1548.5500488281,63993
16,2009-12-27,1545.5699462891,1548.0400390625,1528.5600585938,1537.2099609375,51732
17,2009-12-28,1532.0600585938,1551.8199462891,1527.4300537109,1549.9100341797,34435
18,2009-12-29,1558.2700195312,1574.3800048828,1540.6199951172,1565.7700195312,66553
19,2010-01-03,1560.6400146484,1583.2800292969,1554.6899414062,1575.2900390625,36444
20,2010-01-04,1570.4200439453,1585.8499755859,1570.4200439453,1579.6899414062,77097
21,2010-01-06,1575.3499755859,1584.7199707031,1569.9899902344,1572.0799560547,153421
22,2010-01-07,1570.1400146484,1578.4000244141,1565.2700195312,1577.7099609375,41745
23,2010-01-10,1576.1899414062,1576.1899414062,1563.7900390625,1569.1800537109,1147003
