index,Date,Open,High,Low,Close,Volume
0,2010-05-22,1498.6600341797,1500.3100585938,1491.9799804688,1491.9799804688,573129
1,2010-05-23,1491.9799804688,1491.9799804688,1482.4200439453,1482.4200439453,926977
2,2010-05-24,1482.4200439453,1482.4200439453,1454.8499755859,1454.8499755859,1663491
3,2010-05-25,1456.5,1472.2900390625,1454.8499755859,1472.2900390625,1496793
4,2010-05-26,1472.2900390625,1478.0699462891,1453.8199462891,1453.8199462891,2476164
5,2010-05-29,1453.8199462891,1462.0400390625,1453.7199707031,1455.1600341797,5910678
6,2010-05-30,1455.1600341797,1455.1600341797,1449.6999511719,1450.2800292969,2351376
7,2010-05-31,1450.2800292969,1450.2800292969,1443.7099609375,1443.7099609375,454920
8,2010-06-01,1421.4399414062,1422.8100585938,1409.2299804688,1415.6500244141,3875770
9,2010-06-02,1415.6500244141,1417.9599609375,1415.6500244141,1416.9000244141,3051664
10,2010-06-05,1417.5799560547,1418.4000244141,1415.6800537109,1415.6800537109,4954341
11,2010-06-06,1415.6800537109,1415.6800537109,1409.0,1409.0,1391239
12,2010-06-07,1409.0,1414.1700439453,1406.25,1414.1700439453,1064100
13,2010-06-08,1414.1700439453,1414.1800537109,1406.1199951172,1411.6099853516,2351268
14,2010-06-09,1412.8199462891,1413.0100097656,1397.3199462891,1401.1199951172,937355
15,2010-06-12,1401.1199951172,1401.1199951172,1393.9000244141,1398.7399902344,1466094
16,2010-06-13,1398.7399902344,1404.8399658203,1398.7399902344,1403.8699951172,1549313
17,2010-06-14,1403.8699951172,1403.8699951172,1392.3199462891,1392.3199462891,1567056
18,2010-06-15,1392.3199462891,1394.6600341797,1390.5999755859,1390.8100585938,1250438
19,2010-06-16,1390.8100585938,1393.3299560547,1387.1500244141,1393.3000488281,2867606
20,2010-06-19,1393.3000488281,1393.3000488281,1387.5300292969,1392.4799804688,632679
21,2010-06-20,1392.4799804688,1396.3499755859,1390.6199951172,1396.1400146484,2106300
22,2010-06-21,1395.8000488281,1406.7600097656,1394.2299804688,1406.7600097656,3909737
23,2010-06-22,1407.9699707031,1418.2700195312,1407.9699707031,1413.1899414062,1307131
24,2010-06-23,1413.1899414062,1413.8100585938,1409.4599609375,1411.0899658203,635245
25,2010-06-26,1409.8800048828,1409.8800048828,1404.3499755859,1404.3499755859,5511895
26,2010-06-27,1403.1400146484,1406.2700195312,1402.9000244141,1406.2700195312,617083
27,2010-06-28,1406.2700195312,1406.6600341797,1400.9499511719,1401.5300292969,1077742
28,2010-06-29,1401.5300292969,1401.6899414062,1396.0100097656,1396.2900390625,641774
29,2010-06-30,1396.2900390625,1396.2900390625,1379.4899902344,1379.9799804688,635640
30,2010-07-03,1379.9799804688,1380.2600097656,1360.5100097656,1361.1899414062,1439366
31,2010-07-04,1361.1899414062,1361.6199951172,1360.7299804688,1361.6199951172,617036
32,2010-07-05,1361.6199951172,1366.9599609375,1361.6199951172,1364.9000244141,1555645
33,2010-07-06,1364.9000244141,1364.9000244141,1362.3499755859,1362.4899902344,1614446
34,2010-07-07,1362.4899902344,1366.2900390625,1362.4899902344,1366.2900390625,1013096
35,2010-07-10,1365.5100097656,1369.2199707031,1364.8199462891,1368.5600585938,177100
36,2010-07-11,1376.8000488281,1389.2800292969,1376.8000488281,1389.2800292969,1015278
37,2010-07-12,1389.2800292969,1389.9899902344,1388.2299804688,1388.8399658203,223670
38,2010-07-13,1388.8399658203,1389.5799560547,1388.5899658203,1389.5799560547,192787
39,2010-07-14,1391.2299804688,1392.2299804688,1389.5799560547,1392.1300048828,403272
40,2010-07-17,1392.1300048828,1398.8699951172,1391.0899658203,1398.8699951172,332396
41,2010-07-18,1398.8199462891,1401.6400146484,1398.8199462891,1401.2099609375,1095957
42,2010-07-19,1400.2099609375,1404.6099853516,1400.2099609375,1404.4699707031,737758
43,2010-07-20,1404.4699707031,1410.3199462891,1401.4699707031,1403.1199951172,1359241
44,2010-07-21,1403.1199951172,1404.2399902344,1398.8800048828,1401.4200439453,433711
45,2010-07-24,1401.4200439453,1401.4200439453,1389.5799560547,1391.2199707031,229650
46,2010-07-25,1392.8699951172,1392.8699951172,1387.1300048828,1387.1300048828,1051474
47,2010-07-26,1387.1300048828,1387.1300048828,1381.8499755859,1381.8499755859,1945060
48,2010-07-27,1381.8499755859,1395.0899658203,1381.5100097656,1391.8000488281,1561546
49,2010-07-28,1391.8000488281,1398.4699707031,1389.8299560547,1393.9200439453,1832068
50,2010-07-31,1393.9200439453,1395.9200439453,1393.1400146484,1393.1400146484,348807
51,2010-08-01,1395.1999511719,1403.8499755859,1395.1999511719,1395.6099853516,2265125
52,2010-08-02,1395.6099853516,1397.25,1393.5500488281,1397.25,443166
53,2010-08-03,1397.1500244141,1399.3699951172,1395.0899658203,1399.0,2393254
54,2010-08-04,1400.6500244141,1401.1300048828,1397.7199707031,1401.1300048828,319147
55,2010-08-07,1401.1300048828,1401.6199951172,1398.0899658203,1399.7399902344,606240
56,2010-08-08,1399.7399902344,1403.9899902344,1399.3599853516,1400.8399658203,1733990
57,2010-08-09,1400.8399658203,1407.8699951172,1400.8399658203,1407.8699951172,1455950
58,2010-08-10,1407.8699951172,1409.1899414062,1407.2600097656,1409.1899414062,1130692
59,2010-08-11,1409.1899414062,1409.3800048828,1407.3299560547,1409.3800048828,611860
60,2010-08-14,1409.3800048828,1409.5200195312,1405.4000244141,1406.4499511719,697000
61,2010-08-15,1406.4499511719,1409.5799560547,1406.4499511719,1409.5100097656,1575955
62,2010-08-16,1410.7199707031,1419.4699707031,1410.7199707031,1415.5,1212336
63,2010-08-17,1415.5,1418.2700195312,1412.3199462891,1413.5300292969,2701989
64,2010-08-18,1413.5300292969,1413.5300292969,1409.1199951172,1409.1199951172,2074046
65,2010-08-21,1409.1199951172,1409.1199951172,1408.7600097656,1409.0999755859,3560774
66,2010-08-22,1407.8900146484,1421.0999755859,1406.6800537109,1418.6999511719,1220338
67,2010-08-23,1422.8199462891,1431.0600585938,1422.8199462891,1424.2700195312,1431918
68,2010-08-24,1424.3000488281,1436.7299804688,1424.3000488281,1434.25,409850
69,2010-08-25,1434.25,1436.5300292969,1433.2600097656,1433.2600097656,1078715
70,2010-08-28,1434.4699707031,1434.4699707031,1431.2800292969,1431.2800292969,1473500
71,2010-08-29,1431.3100585938,1431.6500244141,1422.6500244141,1422.7199707031,376097
72,2010-08-30,1422.7199707031,1423.0,1417.4000244141,1418.6099853516,513925
73,2010-08-31,1418.6099853516,1423.0600585938,1418.6099853516,1423.0600585938,853128
74,2010-09-01,1423.0600585938,1423.0600585938,1418.9200439453,1420.1400146484,1878349
75,2010-09-04,1420.1400146484,1420.1400146484,1414.8199462891,1414.8199462891,2708982
76,2010-09-05,1414.8199462891,1422.8199462891,1414.8199462891,1422.7199707031,6369748
77,2010-09-06,1422.7199707031,1430.4899902344,1422.7199707031,1430.4899902344,598262
78,2010-09-07,1430.4899902344,1433.1999511719,1430.4899902344,1430.8000488281,1352678
79,2010-09-08,1430.8000488281,1443.0600585938,1430.8000488281,1440.7700195312,724666
80,2010-09-14,1440.7700195312,1450.3100585938,1440.7700195312,1445.0899658203,12542236
81,2010-09-15,1444.75,1444.75,1438.6899414062,1443.1999511719,1113510
82,2010-09-18,1443.1999511719,1443.5600585938,1437.2299804688,1437.2299804688,640698
83,2010-09-19,1437.2299804688,1439.2900390625,1437.2299804688,1438.9799804688,702888
84,2010-09-20,1438.9799804688,1439.1199951172,1437.4699707031,1437.4699707031,585263
85,2010-09-21,1438.2900390625,1440.5899658203,1438.2099609375,1440.5899658203,1562115
86,2010-09-22,1442.2399902344,1447.8100585938,1441.8100585938,1445.75,1020992
87,2010-09-25,1445.6800537109,1445.6800537109,1445.3399658203,1445.6800537109,367457
88,2010-09-26,1445.6800537109,1453.6700439453,1445.5799560547,1453.6700439453,449357
89,2010-09-27,1453.6700439453,1453.6700439453,1446.9100341797,1451.3000488281,874468
90,2010-09-28,1452.7199707031,1452.7199707031,1443.0799560547,1443.4200439453,1486568
91,2010-09-29,1443.6800537109,1444.7600097656,1435.7800292969,1444.7600097656,2313922
92,2010-10-02,1446.8199462891,1449.0799560547,1444.5699462891,1449.0799560547,647810
93,2010-10-03,1449.1800537109,1455.9000244141,1448.1600341797,1455.9000244141,642600
94,2010-10-04,1455.9000244141,1455.9000244141,1450.1500244141,1450.9799804688,786800
95,2010-10-05,1451.8000488281,1451.9000244141,1449.5100097656,1451.3499755859,1906068
96,2010-10-06,1450.5300292969,1458.4899902344,1450.5300292969,1458.4599609375,1464247
97,2010-10-09,1459.6700439453,1459.6700439453,1459.6700439453,1459.6700439453,1018404
98,2010-10-10,1459.6700439453,1460.1899414062,1456.7399902344,1460.1899414062,1157693
99,2010-10-11,1460.1899414062,1472.5100097656,1460.1899414062,1472.5100097656,779022
100,2010-10-12,1472.5100097656,1477.1400146484,1470.9599609375,1474.0400390625,1951943
101,2010-10-13,1474.0400390625,1475.0300292969,1459.4399414062,1459.4399414062,1110723
102,2010-10-16,1459.3399658203,1462.4899902344,1459.3399658203,1460.7099609375,391272
103,2010-10-17,1461.0999755859,1461.5600585938,1460.4200439453,1461.5600585938,1351549
104,2010-10-18,1460.8699951172,1465.5600585938,1458.9899902344,1465.5600585938,587444
105,2010-10-19,1465.5600585938,1466.0899658203,1463.5899658203,1466.0899658203,708144
106,2010-10-20,1468.1500244141,1470.6199951172,1459.0899658203,1465.3900146484,1278793
107,2010-10-23,1465.25,1474.4300537109,1465.1099853516,1469.9899902344,1618074
108,2010-10-24,1469.9899902344,1469.9899902344,1468.3399658203,1468.8699951172,63000
109,2010-10-25,1467.2199707031,1468.1099853516,1464.5699462891,1466.6099853516,610801
110,2010-10-26,1465.8199462891,1467.4699707031,1462.1400146484,1464.6700439453,1440025
111,2010-10-27,1464.6700439453,1464.9300537109,1459.8299560547,1462.6300048828,3428215
112,2010-10-30,1462.6300048828,1462.6300048828,1459.7199707031,1462.4200439453,1900261
113,2010-10-31,1462.3199462891,1462.7099609375,1459.5699462891,1461.9399414062,798637
114,2010-11-01,1461.9399414062,1462.2800292969,1460.2600097656,1460.2600097656,1361120
115,2010-11-02,1460.2600097656,1460.2600097656,1455.8800048828,1460.0799560547,732786
116,2010-11-03,1460.0799560547,1465.9300537109,1460.0799560547,1465.6199951172,1369555
117,2010-11-06,1465.6199951172,1465.6199951172,1463.1400146484,1463.1400146484,1982617
118,2010-11-07,1461.0799560547,1463.1400146484,1456.0,1456.0,1962203
119,2010-11-08,1456.0,1456.0300292969,1450.4200439453,1454.5200195312,1488924
120,2010-11-09,1454.5200195312,1454.5200195312,1439.1899414062,1447.6800537109,1000264
121,2010-11-10,1447.2800292969,1450.4100341797,1446.6300048828,1450.4100341797,1153926
122,2010-11-13,1450.4100341797,1452.0100097656,1450.4100341797,1452.0100097656,266438
123,2010-11-14,1452.1099853516,1455.5699462891,1452.0100097656,1455.5699462891,361944
124,2010-11-15,1452.0100097656,1452.0100097656,1452.0100097656,1452.0100097656,0
125,2010-11-16,1452.0100097656,1452.0100097656,1452.0100097656,1452.0100097656,0
126,2010-11-17,1452.0100097656,1455.5699462891,1452.0100097656,1455.5699462891,0
127,2010-11-20,1456.7800292969,1457.9399414062,1456.5100097656,1457.7900390625,2566656
128,2010-11-21,1459.0,1459.0,1450.8000488281,1452.1199951172,1729721
129,2010-11-22,1454.1800537109,1456.25,1452.4399414062,1452.4399414062,1615163
130,2010-11-23,1452.4399414062,1453.1700439453,1436.9899902344,1436.9899902344,2364688
131,2010-11-24,1436.9699707031,1438.5100097656,1435.2399902344,1438.5100097656,280852
132,2010-11-27,1438.5100097656,1438.5100097656,1426.9799804688,1426.9799804688,1229313
133,2010-11-28,1426.9799804688,1438.8699951172,1426.9799804688,1438.8699951172,830218
134,2010-11-29,1438.8699951172,1440.0400390625,1437.9399414062,1437.9399414062,1017008
135,2010-11-30,1437.9399414062,1437.9399414062,1432.7399902344,1434.1199951172,3445485
136,2010-12-01,1433.7800292969,1433.9200439453,1418.4699707031,1418.4699707031,704736
137,2010-12-04,1418.4699707031,1422.5899658203,1418.4699707031,1422.1800537109,1013732
138,2010-12-05,1422.1800537109,1430.7600097656,1422.1800537109,1429.4399414062,3001191
139,2010-12-06,1422.1800537109,1429.4399414062,1422.1800537109,1429.4399414062,0
140,2010-12-07,1427.3800048828,1433.0400390625,1425.7299804688,1433.0400390625,2264037
141,2010-12-08,1431.8299560547,1431.8299560547,1425.1400146484,1425.6700439453,740021
142,2010-12-11,1425.6700439453,1425.6700439453,1419.4399414062,1424.2700195312,508622
143,2010-12-12,1424.2700195312,1426.1899414062,1421.4100341797,1424.3000488281,523373
144,2010-12-13,1424.3000488281,1427.1400146484,1424.3000488281,1427.1400146484,529846
145,2010-12-14,1424.3000488281,1427.1400146484,1424.3000488281,1427.1400146484,0
146,2010-12-15,1424.3000488281,1427.1400146484,1424.3000488281,1427.1400146484,0
147,2010-12-18,1424.3000488281,1427.1400146484,1424.3000488281,1427.1400146484,0
148,2010-12-19,1427.1400146484,1429.8900146484,1423.1999511719,1427.1400146484,661834
149,2010-12-20,1427.7099609375,1427.7099609375,1423.0300292969,1423.6899414062,2188210
150,2010-12-21,1423.6899414062,1423.6899414062,1407.1800537109,1408.0699462891,3137093
151,2010-12-22,1408.0699462891,1411.0200195312,1407.7299804688,1411.0200195312,578992
152,2010-12-25,1417.1999511719,1428.1500244141,1417.1999511719,1428.1500244141,612054
153,2010-12-26,1430.2099609375,1430.3100585938,1425.5100097656,1426.3399658203,12958720
154,2010-12-27,1427.5500488281,1428.3000488281,1426.8699951172,1427.7299804688,3173973
155,2010-12-28,1427.7299804688,1427.7299804688,1427.5,1427.5,105839
156,2010-12-29,1427.5,1432.2600097656,1423.8900146484,1432.2600097656,2503284
157,2011-01-02,1432.2600097656,1432.6500244141,1426.8900146484,1427.8499755859,2288755
158,2011-01-03,1427.8499755859,1427.8499755859,1423.1300048828,1423.2600097656,1579274
159,2011-01-04,1423.2600097656,1425.3499755859,1422.7700195312,1423.6500244141,601093
160,2011-01-05,1431.6500244141,1434.3800048828,1429.2199707031,1430.0400390625,1033784
161,2011-01-08,1430.0400390625,1435.6300048828,1428.1300048828,1428.5500488281,546792
162,2011-01-09,1428.5500488281,1428.6999511719,1427.6099853516,1428.6999511719,435554
163,2011-01-10,1429.0400390625,1429.0400390625,1424.6199951172,1424.8800048828,1180686
164,2011-01-11,1424.8800048828,1426.7700195312,1424.1999511719,1426.7600097656,2159501
165,2011-01-12,1427.0999755859,1431.5400390625,1423.6500244141,1431.5400390625,2936546
166,2011-01-15,1431.5400390625,1437.7199707031,1429.1999511719,1436.1899414062,1186976
167,2011-01-16,1436.1899414062,1436.1899414062,1426.8800048828,1431.6999511719,1975895
168,2011-01-17,1431.6999511719,1432.1899414062,1425.7199707031,1425.8800048828,2577849
169,2011-01-18,1425.8800048828,1427.0500488281,1420.7399902344,1425.1099853516,3813777
170,2011-01-19,1424.4499511719,1424.4499511719,1422.8599853516,1422.8599853516,680050
171,2011-01-22,1422.8599853516,1434.0,1422.3699951172,1434.0,2772954
172,2011-01-23,1434.0,1436.6300048828,1431.1099853516,1435.7900390625,1950671
173,2011-01-24,1442.0999755859,1457.0400390625,1442.0999755859,1454.1500244141,1703765
174,2011-01-25,1456.25,1460.6700439453,1454.1500244141,1460.6700439453,3904101
175,2011-01-26,1460.6700439453,1472.5799560547,1460.2299804688,1472.5799560547,800559
176,2011-01-29,1472.5799560547,1472.5799560547,1451.0,1451.4899902344,1785142
177,2011-01-30,1451.4899902344,1459.9699707031,1448.8499755859,1448.8499755859,1930293
178,2011-01-31,1448.5899658203,1459.0400390625,1447.5400390625,1459.0400390625,2078671
179,2011-02-01,1459.0400390625,1459.0400390625,1452.1400146484,1453.0200195312,594920
180,2011-02-02,1453.0200195312,1456.1300048828,1442.3499755859,1442.3499755859,761928
181,2011-02-05,1442.3499755859,1450.7600097656,1439.8800048828,1450.7600097656,1397067
182,2011-02-06,1450.7600097656,1472.8399658203,1450.7600097656,1472.8399658203,5482341
183,2011-02-07,1468.5799560547,1468.5799560547,1467.4399414062,1467.4399414062,838022
184,2011-02-08,1467.4399414062,1469.1300048828,1463.3199462891,1467.0799560547,322293
185,2011-02-09,1467.3399658203,1467.5899658203,1466.8199462891,1467.5899658203,860724
186,2011-02-12,1467.5899658203,1472.5,1467.5899658203,1468.3599853516,627740
187,2011-02-13,1468.4499511719,1470.1199951172,1468.1600341797,1470.1199951172,521000
188,2011-02-15,1471.1500244141,1471.1500244141,1466.6600341797,1466.6600341797,547511
189,2011-02-16,1466.6600341797,1475.0999755859,1462.7700195312,1475.0999755859,47250
190,2011-02-19,1475.0999755859,1475.0999755859,1462.7299804688,1471.5400390625,250950
191,2011-02-20,1471.5400390625,1471.5400390625,1465.7399902344,1465.7399902344,772803
192,2011-02-21,1466.0799560547,1467.9200439453,1464.5400390625,1467.9200439453,1042601
