index,Date,Open,High,Low,Close,Volume
1,2009-12-02,68622.328125,69336.1328125,68307.703125,68314.8125,1223356
2,2009-12-03,68315.6171875,69361.0,67328.3125,67603.5234375,1410502
3,2009-12-06,67610.859375,68866.328125,67610.859375,68512.1875,1186259
4,2009-12-07,68510.90625,68510.90625,67470.25,67728.5078125,1549974
5,2009-12-08,67735.5234375,68271.703125,67483.59375,68011.9765625,1141393
6,2009-12-09,68021.40625,68912.328125,68021.40625,68728.2890625,1473212
7,2009-12-10,68749.59375,69502.2734375,68749.59375,69267.46875,1489663
8,2009-12-13,69272.5625,69785.40625,69193.359375,69349.3984375,1293992
9,2009-12-14,69344.953125,69514.59375,68821.609375,69310.796875,1284157
10,2009-12-15,69309.75,69622.1796875,68465.546875,68622.3984375,1710059
11,2009-12-16,68618.6171875,68618.6171875,66791.953125,67067.953125,1339479
12,2009-12-17,67068.3984375,67281.1171875,66321.9296875,66794.203125,1075194
13,2009-12-20,66806.2734375,67670.9375,65925.1875,65925.1875,1405961
14,2009-12-21,65940.1796875,67421.453125,65940.1796875,67417.9296875,1272545
15,2009-12-22,67418.34375,67810.15625,66943.109375,67588.859375,904334
16,2009-12-27,67591.046875,68277.3828125,67591.046875,67901.703125,556350
17,2009-12-28,67901.703125,68308.7734375,67901.703125,68296.0390625,669245
18,2009-12-29,68276.5390625,68588.40625,67748.9765625,68588.40625,1182192
19,2010-01-03,68587.15625,70080.96875,68587.15625,70045.078125,1655464
20,2010-01-04,70045.65625,70594.546875,69927.796875,70239.8125,1984118
21,2010-01-05,70236.5,70936.59375,70016.46875,70729.34375,2243625
22,2010-01-06,70722.90625,70722.90625,70045.046875,70451.1171875,1554951
23,2010-01-07,70455.2265625,70765.8828125,70158.1328125,70262.703125,1634483
24,2010-01-10,70267.2265625,71068.046875,70158.296875,70433.4765625,1569070
25,2010-01-11,70428.8125,70428.8125,69284.0234375,70075.7734375,1628618
26,2010-01-12,70080.5234375,70626.2578125,69535.21875,70385.46875,1818770
27,2010-01-13,70376.84375,70508.203125,69661.25,69801.40625,1830153
28,2010-01-14,69779.546875,69787.84375,68695.296875,68978.296875,1648321
29,2010-01-17,68983.203125,69748.15625,68983.203125,69400.9296875,1138938
30,2010-01-18,69396.203125,70036.4765625,68867.296875,69908.59375,1323300
31,2010-01-19,69901.3828125,69901.3828125,67546.34375,68200.0625,1990502
32,2010-01-20,68200.21875,68458.3984375,65996.2578125,66270.1328125,2263813
33,2010-01-21,66263.6328125,66660.1484375,65445.4296875,66220.0390625,1304991
34,2010-01-25,66212.8984375,66212.8984375,64718.91015625,65523.73046875,1990495
35,2010-01-26,65527.30859375,65663.3984375,64553.08984375,65069.7890625,1813642
