index,Date,Open,High,Low,Close,Volume
1,2009-12-02,3828.6101074219,3841.1101074219,3788.8000488281,3799.1101074219,123330888
2,2009-12-03,3782.6599121094,3876.2299804688,3772.3400878906,3846.6201171875,132759216
3,2009-12-06,3836.0500488281,3853.9799804688,3803.6201171875,3840.0500488281,85572256
4,2009-12-07,3829.1101074219,3854.080078125,3761.8601074219,3785.3000488281,134663296
5,2009-12-08,3776.5300292969,3799.8701171875,3734.7099609375,3757.3898925781,129175800
6,2009-12-09,3756.8999023438,3805.169921875,3753.1201171875,3798.3798828125,122146368
7,2009-12-10,3795.0600585938,3836.8798828125,3795.0600585938,3803.7199707031,112991984
8,2009-12-13,3839.75,3846.75,3811.6201171875,3830.4399414062,91276024
9,2009-12-14,3834.5300292969,3843.1298828125,3793.6499023438,3834.0900878906,100388160
10,2009-12-15,3837.1101074219,3878.1999511719,3836.2800292969,3875.8200683594,123995344
11,2009-12-16,3847.9899902344,3864.0500488281,3820.8798828125,3830.8200683594,121823224
12,2009-12-17,3833.7199707031,3871.0,3794.4399414062,3794.4399414062,197904848
13,2009-12-20,3807.8400878906,3873.8798828125,3802.1298828125,3872.0600585938,103573360
14,2009-12-21,3878.8601074219,3918.669921875,3876.8200683594,3898.3798828125,90655816
15,2009-12-22,3923.3100585938,3930.7600097656,3898.8200683594,3910.75,76481312
16,2009-12-23,3909.4299316406,3922.9299316406,3909.4299316406,3912.7299804688,17476968
17,2009-12-27,3939.6599121094,3951.7800292969,3934.3601074219,3947.1499023438,44805080
18,2009-12-28,3959.0300292969,3976.919921875,3949.9699707031,3959.9799804688,59821872
19,2009-12-29,3953.3000488281,3967.1599121094,3928.1999511719,3935.5,53781536
20,2009-12-30,3952.5300292969,3959.1999511719,3936.330078125,3936.330078125,30243492
21,2010-01-03,3952.2099609375,4013.9699707031,3950.6101074219,4013.9699707031,113396088
22,2010-01-04,4012.4299316406,4028.3400878906,3993.330078125,4012.9099121094,129518688
23,2010-01-05,4014.4499511719,4022.9399414062,3996.8000488281,4017.669921875,110086944
24,2010-01-06,4005.9599609375,4032.2399902344,3983.8999023438,4024.8000488281,118430464
25,2010-01-07,4042.6398925781,4051.4099121094,4013.3400878906,4045.1398925781,131783264
26,2010-01-10,4071.3999023438,4088.1799316406,4039.330078125,4043.0900878906,110068752
27,2010-01-11,4044.1899414062,4049.4799804688,3980.1999511719,4000.0500488281,124775816
28,2010-01-12,3979.9399414062,4007.8601074219,3979.1499023438,4000.8601074219,117700832
29,2010-01-13,4029.1999511719,4029.7099609375,3993.5,4015.7700195312,108974600
30,2010-01-14,4030.9399414062,4044.080078125,3949.8999023438,3954.3798828125,162295184
31,2010-01-17,3971.169921875,3982.7900390625,3954.2800292969,3977.4599609375,86949776
32,2010-01-18,3968.7299804688,4019.8798828125,3930.9099121094,4009.669921875,115690248
33,2010-01-19,3996.3601074219,4013.4799804688,3915.9599609375,3928.9499511719,143524608
34,2010-01-20,3955.7800292969,3966.1999511719,3862.1599121094,3862.1599121094,112341360
35,2010-01-21,3840.0600585938,3859.6499023438,3786.2900390625,3820.7800292969,170381024
36,2010-01-24,3793.6298828125,3833.4399414062,3780.5,3781.8500976562,131373904
37,2010-01-25,3748.0300292969,3807.4799804688,3741.3601074219,3807.0400390625,141543216
38,2010-01-26,3769.6599121094,3793.6298828125,3737.2900390625,3759.8000488281,136321632
39,2010-01-27,3812.1899414062,3812.1899414062,3688.7900390625,3688.7900390625,168079776
40,2010-01-28,3712.0200195312,3768.3898925781,3696.0,3739.4599609375,149875728
41,2010-01-31,3713.169921875,3774.3601074219,3702.0100097656,3762.0100097656,119833264
42,2010-02-01,3766.830078125,3819.0700683594,3737.7199707031,3812.1298828125,134752592
43,2010-02-02,3819.7700195312,3831.3798828125,3784.3200683594,3793.4699707031,124554608
