index,Date,Open,High,Low,Close,Volume
1,2009-12-02,2125.0700683594,2133.0200195312,2098.4799804688,2102.1999511719,0
2,2009-12-03,2091.8400878906,2112.3999023438,2074.2199707031,2110.3100585938,0
3,2009-12-06,2101.1999511719,2101.1999511719,2078.1499023438,2080.7399902344,0
4,2009-12-07,2081.2700195312,2081.2700195312,2057.4299316406,2059.0700683594,0
5,2009-12-08,2059.080078125,2063.0600585938,2033.7800292969,2058.25,0
6,2009-12-09,2062.5200195312,2069.1499023438,2058.5400390625,2067.7800292969,0
7,2009-12-10,2070.9399414062,2075.0500488281,2062.4599609375,2066.5500488281,0
8,2009-12-13,2070.5,2075.1999511719,2041.8100585938,2041.8100585938,0
9,2009-12-14,2040.2199707031,2040.2199707031,2021.4100341797,2022.4599609375,0
10,2009-12-15,2020.8599853516,2052.1599121094,2020.8599853516,2025.6999511719,0
11,2009-12-16,2023.2800292969,2027.8000488281,1991.2600097656,2004.5899658203,0
12,2009-12-17,2002.9699707031,2003.0600585938,1972.2399902344,1977.0200195312,0
13,2009-12-20,1971.8199462891,1974.9799804688,1934.3599853516,1936.5300292969,0
14,2009-12-21,1943.1800537109,1988.4699707031,1943.1800537109,1982.5,0
15,2009-12-22,1986.4599609375,2021.7399902344,1986.4599609375,1996.3199462891,0
16,2009-12-23,1996.6400146484,1998.8499755859,1981.7299804688,1987.4200439453,0
17,2009-12-27,1997.8399658203,2001.4100341797,1982.3100585938,1997.1300048828,0
18,2009-12-28,1996.9399414062,1998.5500488281,1982.7700195312,1993.8299560547,0
19,2009-12-29,1993.8199462891,1993.8199462891,1972.0,1979.0500488281,0
20,2009-12-30,1980.3100585938,2004.0600585938,1980.3100585938,2004.0600585938,0
21,2010-01-03,2001.3399658203,2025.9000244141,1979.8499755859,2023.3599853516,0
22,2010-01-04,2024.8199462891,2071.8000488281,2023.1700439453,2050.6899414062,0
23,2010-01-06,2058.0400390625,2075.6599121094,2046.1199951172,2059.8999023438,0
24,2010-01-07,2071.169921875,2074.7900390625,2062.2700195312,2074.7900390625,0
25,2010-01-10,2080.330078125,2115.9799804688,2080.3200683594,2112.169921875,0
26,2010-01-11,2117.5500488281,2123.2099609375,2094.9599609375,2104.4699707031,0
27,2010-01-12,2101.4699707031,2128.9399414062,2098.669921875,2128.9399414062,0
28,2010-01-13,2131.4399414062,2155.830078125,2126.7900390625,2131.25,0
29,2010-01-14,2139.3999023438,2166.75,2139.3999023438,2158.2099609375,0
30,2010-01-17,2162.169921875,2162.169921875,2150.8200683594,2157.9399414062,0
31,2010-01-18,2156.1799316406,2156.1799316406,2142.669921875,2155.2199707031,0
32,2010-01-19,2157.5100097656,2168.6899414062,2156.1201171875,2168.6899414062,0
33,2010-01-20,2168.7099609375,2184.0300292969,2153.6000976562,2171.5300292969,0
34,2010-01-21,2163.8200683594,2163.8200683594,2143.0500488281,2155.5300292969,0
35,2010-01-24,2144.8898925781,2144.8898925781,2118.1000976562,2140.8200683594,0
36,2010-01-25,2140.7600097656,2170.6999511719,2122.4699707031,2170.6999511719,0
37,2010-01-26,2164.3200683594,2199.7299804688,2159.3200683594,2198.7299804688,0
38,2010-01-27,2199.2399902344,2221.0900878906,2194.7900390625,2196.4099121094,0
39,2010-01-28,2196.4699707031,2203.5900878906,2181.9899902344,2203.3999023438,0
40,2010-01-31,2201.4099121094,2201.4099121094,2186.1298828125,2194.75,0
41,2010-02-01,2194.580078125,2199.2399902344,2183.7800292969,2193.1398925781,0
42,2010-02-02,2197.5100097656,2220.6499023438,2197.5100097656,2212.1799316406,0
43,2010-02-03,2211.6899414062,2217.0500488281,2178.5500488281,2178.5500488281,0
44,2010-02-04,2178.5400390625,2178.5400390625,2134.3100585938,2150.3200683594,0
45,2010-02-07,2153.4599609375,2166.6000976562,2138.4299316406,2147.3200683594,0
46,2010-02-08,2146.8999023438,2167.419921875,2128.5400390625,2159.1201171875,0
