index,Date,Open,High,Low,Close,Volume
1,2009-12-02,2952.1599121094,3010.7700195312,2952.1599121094,3004.6101074219,28794858
2,2009-12-03,3004.6101074219,3013.2399902344,2977.080078125,3000.330078125,12911630
3,2009-12-06,3000.330078125,3031.580078125,2999.9899902344,3025.3701171875,8209485
4,2009-12-07,3025.3701171875,3056.1499023438,3025.3701171875,3052.6799316406,14022579
5,2009-12-08,3052.7900390625,3064.25,3047.8500976562,3052.7399902344,12093574
6,2009-12-09,3052.7399902344,3069.7800292969,3052.7399902344,3060.0100097656,22059918
7,2009-12-10,3059.8898925781,3067.0600585938,3051.669921875,3056.6398925781,6829837
8,2009-12-13,3056.6398925781,3064.3701171875,3039.7800292969,3039.7800292969,8242456
9,2009-12-14,3039.7800292969,3090.5100097656,3036.3798828125,3076.9599609375,15300181
10,2009-12-15,3076.9599609375,3103.5,3076.9599609375,3089.4499511719,40530836
11,2009-12-16,3089.4499511719,3139.8400878906,3089.4499511719,3134.4699707031,24491216
12,2009-12-17,3134.9499511719,3200.2600097656,3134.7299804688,3188.8200683594,37102140
13,2009-12-20,3188.8200683594,3244.8701171875,3188.8200683594,3234.2800292969,18791644
14,2009-12-21,3234.2800292969,3298.830078125,3234.1899414062,3280.8200683594,24199528
15,2009-12-22,3280.8200683594,3340.5600585938,3253.830078125,3266.0,21198844
16,2009-12-23,3266.0,3301.4899902344,3266.0,3292.7600097656,15904290
17,2009-12-27,3292.669921875,3350.5,3292.669921875,3344.8898925781,14100397
18,2009-12-28,3345.8400878906,3372.5100097656,3345.1101074219,3356.5900878906,15004734
19,2009-12-29,3356.6398925781,3390.3100585938,3355.6799316406,3385.5500488281,16288580
20,2010-01-03,3385.6599121094,3490.5600585938,3384.2099609375,3481.6398925781,63341456
21,2010-01-04,3481.6398925781,3535.8100585938,3477.580078125,3519.9399414062,37579648
22,2010-01-05,3519.9399414062,3545.5600585938,3501.8200683594,3509.3601074219,63208224
23,2010-01-06,3509.3601074219,3512.580078125,3451.3798828125,3478.5600585938,26451148
24,2010-01-07,3478.5600585938,3521.580078125,3478.5600585938,3514.6298828125,34154104
25,2010-01-10,3514.6298828125,3549.2700195312,3514.6298828125,3515.7800292969,30022570
26,2010-01-11,3515.7800292969,3520.3898925781,3488.9499511719,3494.6201171875,28574060
27,2010-01-12,3494.6201171875,3541.919921875,3494.6201171875,3536.7099609375,37010196
28,2010-01-14,3536.9399414062,3576.8400878906,3535.0700683594,3563.1398925781,39806736
29,2010-01-17,3564.1000976562,3586.6799316406,3522.3798828125,3528.5500488281,74609104
30,2010-01-18,3528.5500488281,3532.4399414062,3462.4699707031,3483.3000488281,20670744
31,2010-01-19,3483.3000488281,3536.9699707031,3479.2600097656,3532.4099121094,20353806
32,2010-01-20,3532.4099121094,3544.6599121094,3474.8798828125,3519.7099609375,39003524
33,2010-01-21,3519.7099609375,3546.330078125,3519.6799316406,3531.7299804688,52511664
34,2010-01-24,3531.7900390625,3576.330078125,3531.7900390625,3554.4499511719,31683788
35,2010-01-25,3556.3601074219,3610.7399902344,3556.3601074219,3591.3798828125,25814704
36,2010-01-27,3590.919921875,3647.8000488281,3521.830078125,3636.4099121094,88869856
37,2010-01-31,3636.4099121094,3704.1999511719,3635.3400878906,3691.3898925781,80306080
38,2010-02-01,3691.5,3735.8601074219,3691.5,3709.1298828125,59860656
39,2010-02-02,3709.0200195312,3731.1201171875,3689.9399414062,3697.8000488281,44193144
40,2010-02-04,3697.8000488281,3719.1599121094,3683.8200683594,3706.7199707031,95984680
41,2010-02-07,3706.7199707031,3800.8100585938,3706.7199707031,3789.3701171875,114007336
42,2010-02-08,3789.3701171875,3799.3898925781,3739.9099121094,3785.2800292969,56251608
43,2010-02-09,3785.2800292969,3806.7800292969,3769.1398925781,3774.3400878906,85524072
44,2010-02-10,3774.3400878906,3784.3500976562,3718.6599121094,3724.8400878906,65621872
45,2010-02-11,3724.8400878906,3739.6899414062,3682.8999023438,3709.9699707031,29346696
46,2010-02-14,3709.9699707031,3748.7099609375,3709.9699707031,3717.5100097656,41488844
47,2010-02-15,3717.5100097656,3731.6201171875,3685.8100585938,3691.0400390625,26042132
48,2010-02-16,3691.0400390625,3726.4899902344,3690.7800292969,3721.1201171875,35183880
49,2010-02-17,3721.1201171875,3764.6799316406,3720.7399902344,3732.7700195312,49973860
50,2010-02-18,3732.7700195312,3775.5900878906,3730.4699707031,3768.8100585938,44028488
51,2010-02-21,3768.8100585938,3789.2700195312,3768.7299804688,3773.5500488281,34010208
52,2010-02-22,3773.5500488281,3795.4699707031,3767.9399414062,3770.3999023438,24461268
53,2010-02-23,3770.3999023438,3794.3798828125,3770.3999023438,3775.5100097656,34905332
54,2010-02-24,3775.5100097656,3796.1799316406,3775.5,3782.25,24480408
55,2010-02-25,3782.25,3823.4399414062,3782.2399902344,3807.8601074219,27332380
56,2010-02-28,3807.8601074219,3843.669921875,3807.8601074219,3825.3000488281,32051164
57,2010-03-01,3825.3000488281,3847.1799316406,3814.1599121094,3820.6599121094,30301340
58,2010-03-02,3814.8798828125,3830.2900390625,3772.580078125,3774.0300292969,33401768
59,2010-03-03,3774.0300292969,3816.8400878906,3774.0300292969,3805.8500976562,30912048
60,2010-03-04,3805.8500976562,3833.1298828125,3805.8100585938,3824.169921875,29265854
61,2010-03-07,3824.6000976562,3849.2299804688,3824.6000976562,3835.0600585938,27245926
