index,Date,Open,High,Low,Close,Volume
1,2009-12-02,5805.1401367188,5852.8701171875,5754.9799804688,5770.3500976562,0
2,2009-12-03,5752.8598632812,5859.33984375,5724.2700195312,5817.6499023438,0
3,2009-12-06,5812.1098632812,5812.6899414062,5743.169921875,5784.75,0
4,2009-12-07,5764.2998046875,5809.7998046875,5659.3999023438,5688.580078125,0
5,2009-12-08,5673.2001953125,5712.1899414062,5605.4301757812,5647.83984375,0
6,2009-12-09,5646.6499023438,5741.7998046875,5636.9599609375,5709.0200195312,0
7,2009-12-10,5714.4301757812,5793.0698242188,5714.4301757812,5756.2900390625,0
8,2009-12-13,5803.2001953125,5827.25,5778.830078125,5802.259765625,0
9,2009-12-14,5815.830078125,5828.240234375,5752.2099609375,5811.33984375,0
10,2009-12-15,5812.8798828125,5903.4301757812,5812.1899414062,5903.4301757812,0
11,2009-12-16,5884.16015625,5891.3701171875,5833.8999023438,5844.4399414062,0
12,2009-12-17,5846.9702148438,5900.6201171875,5829.6401367188,5831.2099609375,0
13,2009-12-20,5841.8100585938,5936.2700195312,5841.6899414062,5930.5297851562,0
14,2009-12-21,5939.2001953125,5981.9799804688,5929.669921875,5945.6899414062,0
15,2009-12-22,5966.1098632812,5988.2797851562,5935.1401367188,5957.4399414062,0
16,2009-12-27,5977.990234375,6011.2797851562,5977.990234375,6002.919921875,0
17,2009-12-28,6010.919921875,6026.6899414062,6001.2202148438,6011.5498046875,0
18,2009-12-29,6002.2900390625,6008.75,5949.4501953125,5957.4301757812,0
19,2010-01-03,5975.5200195312,6048.2998046875,5974.4301757812,6048.2998046875,0
20,2010-01-04,6043.9399414062,6058.0200195312,6015.669921875,6031.8598632812,0
21,2010-01-05,6032.3901367188,6047.5698242188,5997.08984375,6034.330078125,0
22,2010-01-06,6016.7998046875,6037.5698242188,5961.25,6019.3598632812,0
23,2010-01-07,6028.6201171875,6053.0400390625,5972.240234375,6037.6098632812,0
24,2010-01-10,6057.9301757812,6094.259765625,6031.1401367188,6040.5,0
25,2010-01-11,6039.3901367188,6055.5600585938,5924.7202148438,5943.0,0
26,2010-01-12,5937.169921875,5974.4399414062,5925.240234375,5963.1401367188,0
27,2010-01-13,5999.080078125,6009.91015625,5951.6899414062,5988.8798828125,0
28,2010-01-14,5996.5600585938,6025.3598632812,5866.83984375,5875.9702148438,0
29,2010-01-17,5897.6298828125,5922.9301757812,5877.6499023438,5918.5498046875,0
30,2010-01-18,5905.330078125,5988.7998046875,5849.669921875,5976.4799804688,0
31,2010-01-19,5963.7099609375,5972.7700195312,5832.08984375,5851.5297851562,0
32,2010-01-20,5878.240234375,5908.8500976562,5742.4501953125,5746.9702148438,0
33,2010-01-21,5735.6801757812,5740.8701171875,5639.490234375,5695.3198242188,0
34,2010-01-24,5662.8500976562,5693.8598632812,5624.580078125,5631.3701171875,0
35,2010-01-25,5593.9399414062,5675.9599609375,5574.4599609375,5668.9301757812,0
36,2010-01-26,5643.5200195312,5673.7299804688,5589.009765625,5643.2001953125,0
37,2010-01-27,5687.1000976562,5718.8100585938,5540.330078125,5540.330078125,0
38,2010-01-28,5566.0297851562,5657.8701171875,5556.1899414062,5608.7900390625,0
39,2010-01-31,5587.5,5674.2099609375,5567.7202148438,5654.4799804688,0
40,2010-02-01,5664.25,5723.2001953125,5624.6098632812,5709.66015625,0
41,2010-02-02,5715.16015625,5733.7099609375,5656.8999023438,5672.08984375,0
42,2010-02-03,5671.169921875,5696.9399414062,5522.5698242188,5533.240234375,0
43,2010-02-04,5515.6899414062,5527.0,5433.0200195312,5434.33984375,0
44,2010-02-07,5476.4702148438,5505.0600585938,5434.3999023438,5484.8500976562,0
45,2010-02-08,5485.3100585938,5537.9702148438,5461.509765625,5498.259765625,0
46,2010-02-09,5533.7099609375,5592.2700195312,5505.3701171875,5536.3701171875,0
47,2010-02-10,5562.830078125,5580.7700195312,5454.0698242188,5503.9301757812,0
48,2010-02-11,5550.4501953125,5565.4301757812,5460.0498046875,5500.3901367188,0
49,2010-02-14,5525.740234375,5547.1401367188,5502.490234375,5511.1000976562,0
50,2010-02-15,5573.0698242188,5592.1201171875,5498.0698242188,5592.1201171875,0
51,2010-02-16,5640.169921875,5682.3598632812,5634.9799804688,5648.33984375,0
52,2010-02-17,5645.6298828125,5691.6000976562,5626.080078125,5680.41015625,0
53,2010-02-18,5627.259765625,5729.580078125,5626.5698242188,5722.0498046875,0
54,2010-02-21,5741.0,5743.8901367188,5683.6098632812,5688.4399414062,0
55,2010-02-22,5715.6298828125,5732.1401367188,5584.4702148438,5604.0698242188,0
56,2010-02-23,5622.3100585938,5639.7099609375,5572.25,5615.509765625,0
57,2010-02-24,5562.7001953125,5655.75,5518.2700195312,5532.330078125,0
58,2010-02-25,5588.990234375,5605.1000976562,5530.1899414062,5598.4599609375,0
59,2010-02-28,5652.8500976562,5717.7202148438,5641.1801757812,5713.509765625,0
60,2010-03-01,5728.2797851562,5780.1401367188,5709.740234375,5776.5600585938,0
61,2010-03-02,5759.2202148438,5828.7998046875,5750.2998046875,5817.8798828125,0
62,2010-03-03,5773.8598632812,5823.1098632812,5767.6499023438,5795.3198242188,0
63,2010-03-04,5816.1899414062,5880.25,5808.3598632812,5877.3598632812,0
64,2010-03-07,5891.740234375,5894.1899414062,5865.4399414062,5875.91015625,0
65,2010-03-08,5872.5698242188,5900.16015625,5838.169921875,5885.8901367188,0
66,2010-03-09,5882.759765625,5951.9301757812,5874.75,5936.7202148438,0
67,2010-03-10,5913.169921875,5954.5498046875,5906.83984375,5928.6298828125,0
68,2010-03-11,5944.5698242188,5989.8798828125,5934.1499023438,5945.1098632812,0
69,2010-03-14,5933.6298828125,5953.1899414062,5898.2202148438,5903.5600585938,0
70,2010-03-15,5935.1899414062,5991.1098632812,5930.33984375,5970.990234375,0
71,2010-03-16,5999.3100585938,6035.9501953125,5991.2099609375,6024.2797851562,0
72,2010-03-17,6005.2900390625,6039.3901367188,5995.6801757812,6012.3100585938,0
73,2010-03-18,6031.7299804688,6041.9501953125,5956.6499023438,5982.4301757812,0
74,2010-03-21,5960.8500976562,5987.5,5910.8500976562,5987.5,0
75,2010-03-22,5987.08984375,6030.9399414062,5981.3500976562,6017.2700195312,0
76,2010-03-23,6038.0,6044.6401367188,5964.759765625,6039.0,0
77,2010-03-24,6043.83984375,6139.5,6038.0498046875,6132.9501953125,0
78,2010-03-25,6125.8701171875,6135.9501953125,6105.669921875,6120.0498046875,0
79,2010-03-28,6150.169921875,6172.8500976562,6128.2099609375,6156.8500976562,0
80,2010-03-29,6187.6401367188,6203.5,6135.509765625,6142.4501953125,0
81,2010-03-30,6139.3999023438,6162.1801757812,6108.2299804688,6153.5498046875,0
82,2010-03-31,6189.3798828125,6238.5698242188,6186.58984375,6235.5600585938,0
83,2010-04-04,6235.5600585938,6235.5600585938,6235.5600585938,6235.5600585938,0
84,2010-04-05,6250.009765625,6265.3198242188,6214.1801757812,6252.2099609375,0
85,2010-04-06,6248.3701171875,6256.3999023438,6208.5200195312,6222.41015625,0
86,2010-04-07,6199.9399414062,6207.1401367188,6138.0200195312,6171.830078125,0
87,2010-04-08,6226.259765625,6254.490234375,6216.6000976562,6249.7001953125,0
88,2010-04-11,6283.8100585938,6285.0297851562,6223.7797851562,6250.6899414062,0
89,2010-04-12,6236.2797851562,6251.4599609375,6199.7099609375,6230.830078125,0
90,2010-04-13,6269.4799804688,6305.1499023438,6249.919921875,6278.3999023438,0
91,2010-04-14,6286.6298828125,6310.759765625,6249.740234375,6291.4501953125,0
92,2010-04-15,6264.6499023438,6305.3999023438,6162.83984375,6180.8999023438,0
93,2010-04-18,6158.6000976562,6190.8598632812,6140.3798828125,6162.4399414062,0
94,2010-04-19,6193.5,6267.5400390625,6172.5698242188,6264.2299804688,0
95,2010-04-20,6280.5400390625,6281.3798828125,6229.1801757812,6230.3798828125,0
96,2010-04-21,6229.2299804688,6286.3598632812,6141.0698242188,6168.7202148438,0
97,2010-04-22,6192.6201171875,6287.5400390625,6170.3901367188,6259.5297851562,0
98,2010-04-25,6317.1298828125,6341.5200195312,6299.580078125,6332.1000976562,0
99,2010-04-26,6332.3999023438,6333.0,6159.509765625,6159.509765625,0
100,2010-04-27,6141.009765625,6159.0200195312,6024.009765625,6084.33984375,0
101,2010-04-28,6110.5600585938,6159.41015625,6073.3701171875,6144.91015625,0
102,2010-04-29,6155.5698242188,6205.7202148438,6085.6201171875,6135.7001953125,0
103,2010-05-02,6122.759765625,6190.0698242188,6089.9301757812,6166.919921875,0
104,2010-05-03,6176.240234375,6197.0,5995.4301757812,6006.8598632812,0
105,2010-05-04,6021.0600585938,6031.08984375,5929.3500976562,5958.4501953125,0
106,2010-05-05,5919.9399414062,6009.4799804688,5884.3901367188,5908.259765625,0
107,2010-05-06,5790.669921875,5905.3500976562,5655.1801757812,5715.08984375,0
108,2010-05-09,5814.41015625,6017.91015625,5805.9799804688,6017.91015625,0
109,2010-05-10,5922.0297851562,6042.1098632812,5918.1401367188,6037.7099609375,0
110,2010-05-11,6026.0600585938,6217.240234375,6006.3100585938,6183.490234375,0
111,2010-05-12,6240.669921875,6276.7998046875,6196.8901367188,6251.9702148438,0
112,2010-05-13,6226.490234375,6233.7099609375,6014.7797851562,6056.7099609375,0
113,2010-05-16,6029.91015625,6151.5400390625,6026.3198242188,6066.919921875,144988000
114,2010-05-17,6144.080078125,6181.259765625,6113.8701171875,6155.9301757812,122109600
115,2010-05-18,6091.8500976562,6124.8100585938,5972.169921875,5988.669921875,185439296
116,2010-05-19,6023.1098632812,6043.83984375,5780.7299804688,5867.8798828125,192604608
117,2010-05-20,5835.2202148438,5872.6499023438,5689.1801757812,5829.25,341947104
118,2010-05-23,5858.4501953125,5872.0698242188,5733.5698242188,5805.6801757812,91354000
119,2010-05-24,5659.58984375,5690.25,5607.6801757812,5670.0400390625,193420800
120,2010-05-25,5735.4599609375,5828.3701171875,5721.0200195312,5758.0200195312,172251008
121,2010-05-26,5802.6401367188,5952.2099609375,5802.3598632812,5937.1401367188,180623008
122,2010-05-27,5962.83984375,5980.7797851562,5927.3100585938,5946.1801757812,104018000
123,2010-05-30,5933.580078125,5993.9399414062,5931.2001953125,5964.330078125,45852600
