index,Date,Open,High,Low,Close,Volume
0,2009-12-05,1831.4799804688,1877.7299804688,1789.7299804688,1853.1300048828,477345472
1,2009-12-06,1853.1300048828,1853.1300048828,1736.6199951172,1744.8299560547,290310080
2,2009-12-07,1743.9499511719,1743.9499511719,1630.4699707031,1638.0500488281,388116128
3,2009-12-08,1637.1800537109,1637.1800537109,1528.9200439453,1533.3599853516,291383072
4,2009-12-09,1534.2299804688,1641.75,1461.75,1640.7600097656,856887744
5,2009-12-12,1641.6400146484,1734.5899658203,1640.7199707031,1695.3499755859,725480704
6,2009-12-13,1706.7299804688,1871.1999511719,1706.7299804688,1871.1999511719,281036640
7,2009-12-14,1873.8299560547,2000.7199707031,1839.7399902344,1843.2700195312,643894656
8,2009-12-15,1842.3900146484,1892.0500488281,1829.2800292969,1889.9899902344,364163392
9,2009-12-16,1889.1099853516,1894.6899414062,1861.4100341797,1879.2600097656,265398896
10,2009-12-19,1878.3900146484,1891.9699707031,1824.3599853516,1832.0899658203,201051584
11,2009-12-20,1832.0899658203,1834.3699951172,1793.9599609375,1828.8800048828,162787040
12,2009-12-21,1829.75,1846.6500244141,1790.6400146484,1803.3100585938,227806992
13,2009-12-22,1803.3100585938,1808.5300292969,1724.3499755859,1735.6999511719,193479392
14,2009-12-23,1735.6999511719,1776.6300048828,1726.5600585938,1759.2099609375,194884832
15,2009-12-26,1759.2099609375,1782.1600341797,1746.2900390625,1769.2700195312,163398032
16,2009-12-27,1770.1500244141,1833.0899658203,1765.5500488281,1828.6300048828,315387392
17,2009-12-28,1829.5,1838.6600341797,1784.3800048828,1789.2600097656,422598688
18,2009-12-29,1789.2600097656,1810.9200439453,1783.3399658203,1810.2399902344,165666272
19,2009-12-30,1810.2399902344,1824.3699951172,1797.8599853516,1803.5799560547,157924784
20,2010-01-02,1803.6600341797,1865.8699951172,1803.6600341797,1865.5899658203,392535520
21,2010-01-03,1865.9200439453,1877.3699951172,1808.8599853516,1817.1300048828,343406688
22,2010-01-04,1817.5799560547,1841.6099853516,1811.5899658203,1818.6999511719,223535440
23,2010-01-05,1818.6999511719,1837.5200195312,1813.4799804688,1819.8699951172,122247840
24,2010-01-06,1819.8699951172,1841.2399902344,1804.8399658203,1837.1400146484,279013248
25,2010-01-09,1832.6500244141,1832.7700195312,1807.2099609375,1814.3299560547,290812832
26,2010-01-10,1815.0,1815.9100341797,1784.8699951172,1802.6500244141,170135488
27,2010-01-11,1802.2700195312,1803.75,1754.9100341797,1759.0500488281,165018528
28,2010-01-12,1759.0500488281,1759.0500488281,1697.4499511719,1712.3699951172,228133040
29,2010-01-13,1712.3699951172,1735.3199462891,1703.0699462891,1707.3699951172,199781520
30,2010-01-16,1707.3699951172,1708.8599853516,1671.0200195312,1673.5999755859,112025568
31,2010-01-17,1674.9300537109,1707.8499755859,1674.9300537109,1688.1099853516,165005536
32,2010-01-18,1688.1099853516,1699.0799560547,1652.5699462891,1661.5400390625,131827040
33,2010-01-19,1661.5400390625,1677.6600341797,1659.0799560547,1677.0899658203,100221920
34,2010-01-20,1676.7099609375,1676.7099609375,1647.0200195312,1652.2600097656,103811600
35,2010-01-23,1651.3800048828,1652.2600097656,1565.3900146484,1570.0899658203,252491088
36,2010-01-24,1569.0899658203,1616.7600097656,1559.1300048828,1614.3000488281,193912240
37,2010-01-25,1614.3000488281,1614.3000488281,1541.5699462891,1556.0799560547,215175040
38,2010-01-26,1556.0799560547,1566.4300537109,1540.2700195312,1565.4799804688,199477040
39,2010-01-27,1565.4799804688,1604.7600097656,1565.4799804688,1599.4300537109,198690400
40,2010-01-30,1598.5600585938,1598.8499755859,1576.3599853516,1589.9699707031,141701536
41,2010-01-31,1590.0,1627.3399658203,1590.0,1624.75,185256864
42,2010-02-01,1625.6199951172,1650.0899658203,1618.5600585938,1648.4599609375,164284480
43,2010-02-02,1649.3399658203,1673.7800292969,1649.0,1659.5500488281,182945328
44,2010-02-03,1659.4399414062,1663.2099609375,1642.8100585938,1663.2099609375,91101560
45,2010-02-06,1660.5799560547,1660.5799560547,1616.7099609375,1630.8100585938,119487144
46,2010-02-07,1631.6899414062,1651.7199707031,1631.6899414062,1646.8000488281,136510832
47,2010-02-08,1646.8000488281,1662.7600097656,1634.5799560547,1660.9699707031,165306208
48,2010-02-09,1661.8499755859,1674.5500488281,1635.3199462891,1640.6300048828,174856416
49,2010-02-10,1641.1300048828,1683.8599853516,1641.1300048828,1676.1999511719,111791112
50,2010-02-13,1677.0699462891,1693.3199462891,1597.0699462891,1617.5100097656,268908608
51,2010-02-14,1618.3900146484,1623.1300048828,1599.1400146484,1614.2099609375,111590656
52,2010-02-15,1614.2099609375,1630.5799560547,1611.7399902344,1621.9899902344,87884328
53,2010-02-16,1621.9899902344,1634.5100097656,1619.4799804688,1628.4399414062,87395128
54,2010-02-17,1634.5699462891,1634.5699462891,1614.8499755859,1625.9899902344,112627792
55,2010-02-20,1625.9899902344,1636.5899658203,1620.3800048828,1623.9300537109,63595104
56,2010-02-21,1623.9300537109,1627.5300292969,1615.6300048828,1622.0100097656,79303488
57,2010-02-22,1621.8299560547,1622.4899902344,1586.1400146484,1586.1400146484,119432080
58,2010-02-23,1586.1400146484,1586.1400146484,1557.0999755859,1569.6300048828,132184288
59,2010-02-24,1569.6300048828,1584.1899414062,1553.1199951172,1581.9399414062,140892432
60,2010-02-27,1582.8100585938,1593.2299804688,1566.6099853516,1592.9100341797,140340672
61,2010-02-28,1593.7800292969,1601.5999755859,1589.3800048828,1596.7900390625,115592208
62,2010-03-01,1596.5600585938,1603.4799804688,1584.7099609375,1588.3599853516,94385840
63,2010-03-02,1589.2299804688,1590.0500488281,1566.9499511719,1573.1500244141,70408416
64,2010-03-03,1574.0300292969,1585.1600341797,1569.6199951172,1584.8100585938,56254664
65,2010-03-06,1585.6800537109,1621.7299804688,1585.6800537109,1621.7299804688,150956032
66,2010-03-07,1621.7299804688,1649.1600341797,1608.7900390625,1649.1400146484,273848000
67,2010-03-08,1648.2700195312,1666.5100097656,1634.7399902344,1663.0200195312,409639040
68,2010-03-09,1662.7900390625,1670.1300048828,1646.3100585938,1659.8900146484,262953632
69,2010-03-10,1659.8900146484,1700.0300292969,1659.8900146484,1683.8900146484,413644864
70,2010-03-13,1683.8900146484,1747.2800292969,1683.8900146484,1746.5999755859,483515808
71,2010-03-14,1746.7900390625,1747.1800537109,1715.3599853516,1722.6300048828,338482208
72,2010-03-15,1722.5899658203,1768.3000488281,1722.5899658203,1758.1700439453,593049792
73,2010-03-16,1759.0400390625,1796.2900390625,1711.5200195312,1717.9699707031,674891840
74,2010-03-17,1717.0899658203,1734.1199951172,1706.4699707031,1726.4300537109,204501600
75,2010-03-20,1726.4300537109,1774.4300537109,1723.5600585938,1774.4300537109,310897568
76,2010-03-21,1774.4300537109,1780.9499511719,1753.1700439453,1763.3100585938,249397088
77,2010-03-22,1763.3100585938,1795.9599609375,1763.3100585938,1776.3199462891,228806576
78,2010-03-23,1775.4499511719,1780.8100585938,1755.0500488281,1769.0100097656,144725200
