index,Date,Open,High,Low,Close,Volume
0,2013-01-28,1495.6600341797,1495.6600341797,1495.6600341797,1495.6600341797,n/a
1,2013-01-29,1486.5600585938,1486.5600585938,1486.5600585938,1486.5600585938,n/a
2,2013-01-30,1488.5600585938,1488.5600585938,1488.5600585938,1488.5600585938,n/a
3,2013-02-02,1494.1400146484,1494.1400146484,1494.1400146484,1494.1400146484,n/a
4,2013-02-03,1503.9699707031,1503.9699707031,1503.9699707031,1503.9699707031,n/a
5,2013-02-04,1518.4000244141,1518.4000244141,1518.4000244141,1518.4000244141,n/a
6,2013-02-05,1523.3599853516,1523.3599853516,1523.3599853516,1523.3599853516,n/a
7,2013-02-06,1524.5400390625,1524.5400390625,1524.5400390625,1524.5400390625,n/a
8,2013-02-09,1540.9200439453,1540.9200439453,1540.9200439453,1540.9200439453,n/a
9,2013-02-10,1541.2800292969,1541.2800292969,1541.2800292969,1541.2800292969,n/a
10,2013-02-11,1529.6800537109,1529.6800537109,1529.6800537109,1529.6800537109,n/a
11,2013-02-12,1535.2700195312,1535.2700195312,1535.2700195312,1535.2700195312,n/a
12,2013-02-13,1551.9699707031,1551.9699707031,1551.9699707031,1551.9699707031,n/a
13,2013-02-16,1545.4000244141,1545.4000244141,1545.4000244141,1545.4000244141,n/a
14,2013-02-17,1540.9799804688,1540.9799804688,1540.9799804688,1540.9799804688,n/a
15,2013-02-18,1523.3900146484,1523.3900146484,1523.3900146484,1523.3900146484,n/a
16,2013-02-19,1502.8599853516,1502.8599853516,1502.8599853516,1502.8599853516,n/a
17,2013-02-23,1464.5899658203,1464.5899658203,1464.5899658203,1464.5899658203,n/a
18,2013-02-24,1446.5400390625,1446.5400390625,1446.5400390625,1446.5400390625,n/a
19,2013-02-25,1465.4699707031,1465.4699707031,1465.4699707031,1465.4699707031,n/a
20,2013-02-26,1425.5899658203,1425.5899658203,1425.5899658203,1425.5899658203,n/a
21,2013-02-27,1431.9000244141,1431.9000244141,1431.9000244141,1431.9000244141,n/a
22,2013-03-02,1364.6999511719,1364.6999511719,1364.6999511719,1364.6999511719,n/a
23,2013-03-03,1410.0799560547,1410.0799560547,1410.0799560547,1410.0799560547,n/a
24,2013-03-04,1409.6700439453,1409.6700439453,1409.6700439453,1409.6700439453,n/a
25,2013-03-05,1399.9399414062,1399.9399414062,1399.9399414062,1399.9399414062,n/a
26,2013-03-06,1392.3399658203,1392.3399658203,1392.3399658203,1392.3399658203,n/a
27,2013-03-09,1382.6400146484,1382.6400146484,1382.6400146484,1382.6400146484,n/a
28,2013-03-10,1375.5600585938,1375.5600585938,1375.5600585938,1375.5600585938,n/a
29,2013-03-11,1387.8399658203,1387.8399658203,1387.8399658203,1387.8399658203,n/a
30,2013-03-12,1405.3100585938,1405.3100585938,1405.3100585938,1405.3100585938,n/a
31,2013-03-13,1411.8800048828,1411.8800048828,1411.8800048828,1411.8800048828,n/a
32,2013-03-17,1418.2600097656,1418.2600097656,1418.2600097656,1418.2600097656,n/a
33,2013-03-18,1428.1999511719,1428.1999511719,1428.1999511719,1428.1999511719,n/a
34,2013-03-19,1416.0,1416.0,1416.0,1416.0,n/a
35,2013-03-23,1390.0500488281,1390.0500488281,1390.0500488281,1390.0500488281,n/a
36,2013-03-24,1376.6400146484,1376.6400146484,1376.6400146484,1376.6400146484,n/a
37,2013-03-26,1352.6700439453,1352.6700439453,1352.6700439453,1352.6700439453,n/a
38,2013-03-27,1365.7800292969,1365.7800292969,1365.7800292969,1365.7800292969,n/a
39,2013-03-30,1340.1500244141,1340.1500244141,1340.1500244141,1340.1500244141,n/a
40,2013-03-31,1293.2399902344,1293.2399902344,1293.2399902344,1293.2399902344,n/a
41,2013-04-01,1313.0200195312,1313.0200195312,1313.0200195312,1313.0200195312,n/a
42,2013-04-02,1319.7600097656,1319.7600097656,1319.7600097656,1319.7600097656,n/a
43,2013-04-03,1310.9599609375,1310.9599609375,1310.9599609375,1310.9599609375,n/a
44,2013-04-06,1300.6999511719,1300.6999511719,1300.6999511719,1300.6999511719,n/a
45,2013-04-07,1306.4399414062,1306.4399414062,1306.4399414062,1306.4399414062,n/a
46,2013-04-08,1329.0999755859,1329.0999755859,1329.0999755859,1329.0999755859,n/a
47,2013-04-09,1330.5300292969,1330.5300292969,1330.5300292969,1330.5300292969,n/a
48,2013-04-10,1322.0500488281,1322.0500488281,1322.0500488281,1322.0500488281,n/a
49,2013-04-14,1338.4399414062,1338.4399414062,1338.4399414062,1338.4399414062,n/a
50,2013-04-15,1318.5,1318.5,1318.5,1318.5,n/a
51,2013-04-16,1321.1800537109,1321.1800537109,1321.1800537109,1321.1800537109,n/a
52,2013-04-17,1321.9899902344,1321.9899902344,1321.9899902344,1321.9899902344,n/a
53,2013-04-20,1306.5699462891,1306.5699462891,1306.5699462891,1306.5699462891,n/a
54,2013-04-21,1305.5799560547,1305.5799560547,1305.5799560547,1305.5799560547,n/a
