index,Date,Open,High,Low,Close,Volume
0,2013-03-13,8632.8603515625,8696.0400390625,8566.8603515625,8694.7802734375,n/a
1,2013-03-14,8708.849609375,8722.3603515625,8593.080078125,8606.4599609375,n/a
2,2013-03-17,8519.259765625,8519.259765625,8414.7001953125,8451.5498046875,n/a
3,2013-03-18,8469.4697265625,8550.3095703125,8469.4697265625,8519.2001953125,n/a
4,2013-03-19,8514.8798828125,8590.98046875,8514.8798828125,8540.099609375,n/a
5,2013-03-20,8559.48046875,8604.7802734375,8538.0,8557.2001953125,n/a
6,2013-03-21,8548.75,8588.169921875,8529.8603515625,8540.9697265625,n/a
7,2013-03-24,8621.349609375,8622.8203125,8552.16015625,8566.41015625,n/a
8,2013-03-25,8549.0400390625,8621.6904296875,8529.8798828125,8614.3603515625,n/a
9,2013-03-26,8641.0498046875,8696.2197265625,8628.0302734375,8683.48046875,n/a
10,2013-03-27,8652.8798828125,8662.3095703125,8590.1796875,8660.0,n/a
11,2013-03-28,8660.0,8660.0,8660.0,8660.0,n/a
12,2013-03-31,8660.0,8660.0,8660.0,8660.0,n/a
13,2013-04-01,8637.150390625,8722.5498046875,8634.650390625,8718.0400390625,n/a
14,2013-04-02,8785.58984375,8785.58984375,8698.599609375,8726.849609375,n/a
15,2013-04-03,8726.849609375,8726.849609375,8726.849609375,8726.849609375,n/a
16,2013-04-04,8686.080078125,8686.080078125,8480.169921875,8486.259765625,n/a
17,2013-04-07,8452.4404296875,8484.2001953125,8397.240234375,8475.1396484375,n/a
18,2013-04-08,8494.4404296875,8551.08984375,8494.4404296875,8504.009765625,n/a
19,2013-04-09,8524.349609375,8599.990234375,8520.8798828125,8593.01953125,n/a
20,2013-04-10,8658.6201171875,8681.330078125,8615.150390625,8629.91015625,n/a
21,2013-04-11,8658.849609375,8679.9404296875,8648.7900390625,8657.900390625,n/a
22,2013-04-14,8657.73046875,8657.73046875,8563.41015625,8581.900390625,n/a
23,2013-04-15,8581.509765625,8594.580078125,8452.669921875,8542.5302734375,n/a
24,2013-04-16,8542.6396484375,8608.849609375,8532.51953125,8547.8203125,n/a
25,2013-04-17,8548.2099609375,8565.580078125,8492.9296875,8536.9404296875,n/a
26,2013-04-18,8537.150390625,8658.509765625,8536.1298828125,8654.8701171875,n/a
27,2013-04-21,8655.7099609375,8723.2998046875,8655.7099609375,8699.419921875,n/a
28,2013-04-22,8699.7001953125,8722.3798828125,8635.3095703125,8653.08984375,n/a
29,2013-04-23,8653.3701171875,8788.2001953125,8653.3701171875,8780.51953125,n/a
30,2013-04-24,8779.9599609375,8864.509765625,8765.2001953125,8843.150390625,n/a
31,2013-04-25,8842.580078125,8928.1201171875,8842.580078125,8866.7998046875,n/a
32,2013-04-28,8866.23046875,8884.3798828125,8841.4404296875,8863.2001953125,n/a
33,2013-04-29,8863.3095703125,8929.919921875,8863.3095703125,8883.490234375,n/a
34,2013-04-30,8863.3095703125,8929.919921875,8863.3095703125,8883.490234375,n/a
35,2013-05-01,8881.08984375,8882.9599609375,8828.650390625,8849.6396484375,n/a
36,2013-05-02,8849.7001953125,8948.8798828125,8849.7001953125,8886.7197265625,n/a
37,2013-05-05,8886.3095703125,8980.73046875,8886.3095703125,8975.1103515625,n/a
38,2013-05-06,8976.099609375,9020.25,8976.099609375,9015.0498046875,n/a
39,2013-05-07,9015.8701171875,9060.9501953125,9015.8701171875,9048.400390625,n/a
40,2013-05-08,9047.0595703125,9068.51953125,8993.41015625,9023.7099609375,n/a
41,2013-05-09,9025.0498046875,9076.9296875,9008.9296875,9074.009765625,n/a
42,2013-05-12,9074.1796875,9074.1796875,8967.26953125,8977.2998046875,n/a
43,2013-05-13,8977.009765625,9041.3896484375,8949.0595703125,8965.16015625,n/a
44,2013-05-14,8965.509765625,9063.2802734375,8965.509765625,9021.900390625,n/a
45,2013-05-15,9022.419921875,9057.41015625,8987.48046875,9007.1904296875,n/a
46,2013-05-16,9022.419921875,9057.41015625,8987.48046875,9007.080078125,n/a
47,2013-05-19,9006.5595703125,9164.4296875,9006.5595703125,9157.5400390625,n/a
48,2013-05-20,9158.419921875,9173.5595703125,9115.6396484375,9118.8203125,n/a
49,2013-05-21,9118.9404296875,9160.259765625,9080.4599609375,9096.7900390625,n/a
50,2013-05-22,9098.3095703125,9098.3095703125,8867.8203125,8868.83984375,n/a
51,2013-05-23,8868.7900390625,8909.509765625,8808.4599609375,8859.76953125,n/a
52,2013-05-26,8859.830078125,8898.26953125,8844.150390625,8880.6103515625,n/a
53,2013-05-27,8880.2099609375,8957.1396484375,8860.48046875,8939.009765625,n/a
54,2013-05-28,8939.759765625,8939.759765625,8761.25,8767.58984375,n/a
55,2013-05-29,8767.5302734375,8767.5302734375,8607.349609375,8655.3896484375,n/a
56,2013-05-30,8654.4501953125,8695.0703125,8614.26953125,8623.4501953125,n/a
57,2013-06-02,8623.7900390625,8685.669921875,8578.7197265625,8599.990234375,n/a
58,2013-06-03,8598.9404296875,8616.8896484375,8553.7197265625,8616.33984375,n/a
59,2013-06-04,8616.3896484375,8616.3896484375,8401.6201171875,8451.6298828125,n/a
60,2013-06-05,8450.98046875,8450.98046875,8347.080078125,8353.740234375,n/a
61,2013-06-06,8354.0,8378.6904296875,8268.1298828125,8289.3896484375,n/a
62,2013-06-09,8289.66015625,8340.1396484375,8276.169921875,8325.9404296875,n/a
63,2013-06-10,8325.7900390625,8345.900390625,8193.48046875,8206.6904296875,n/a
64,2013-06-12,8206.3203125,8206.3203125,7986.0,8135.16015625,n/a
65,2013-06-13,8134.740234375,8264.3603515625,8134.740234375,8232.8603515625,n/a
66,2013-06-16,8231.740234375,8402.330078125,8231.740234375,8389.0302734375,n/a
67,2013-06-17,8388.75,8417.98046875,8327.0302734375,8409.3798828125,n/a
68,2013-06-18,8408.7802734375,8425.349609375,8275.2001953125,8344.9296875,n/a
69,2013-06-19,8345.259765625,8345.259765625,8122.41015625,8132.2001953125,n/a
70,2013-06-20,8133.9301757812,8133.9301757812,7956.6098632812,8013.3598632812,n/a
71,2013-06-23,8013.7202148438,8013.7202148438,7837.1201171875,7866.8198242188,n/a
72,2013-06-24,7866.0600585938,7937.4599609375,7737.66015625,7899.6098632812,n/a
73,2013-06-25,7899.5600585938,8048.41015625,7892.9599609375,8044.33984375,n/a
74,2013-06-26,8043.7700195312,8143.5498046875,8043.7700195312,8072.740234375,n/a
75,2013-06-27,8072.7998046875,8186.9301757812,8072.7998046875,8150.009765625,n/a
76,2013-06-30,8149.8500976562,8150.5400390625,8149.58984375,8150.009765625,n/a
77,2013-07-01,8150.75,8252.5,8104.83984375,8182.490234375,n/a
78,2013-07-02,8183.91015625,8183.91015625,8000.490234375,8016.2900390625,n/a
79,2013-07-03,8015.509765625,8108.2700195312,8015.509765625,8089.9301757812,n/a
80,2013-07-04,8090.1401367188,8224.099609375,8090.1401367188,8221.400390625,n/a
81,2013-07-07,8221.7197265625,8221.7197265625,7978.6098632812,8090.240234375,n/a
82,2013-07-08,8090.1899414062,8161.1098632812,8090.1899414062,8136.8701171875,n/a
83,2013-07-09,8137.0698242188,8277.58984375,8137.0698242188,8231.3603515625,n/a
84,2013-07-10,8231.2001953125,8416.009765625,8231.2001953125,8406.6396484375,n/a
85,2013-07-11,8406.58984375,8429.75,8363.7001953125,8364.16015625,n/a
86,2013-07-14,8364.26953125,8391.9404296875,8309.330078125,8332.3896484375,n/a
87,2013-07-15,8332.1201171875,8359.9296875,8310.349609375,8336.599609375,n/a
88,2013-07-16,8336.599609375,8371.330078125,8304.0,8331.2099609375,n/a
89,2013-07-17,8331.0498046875,8333.400390625,8272.0703125,8310.5498046875,n/a
90,2013-07-18,8310.990234375,8341.51953125,8257.990234375,8310.419921875,n/a
91,2013-07-21,8310.900390625,8353.650390625,8293.650390625,8352.0498046875,n/a
92,2013-07-22,8352.259765625,8526.349609375,8352.259765625,8502.98046875,n/a
93,2013-07-23,8502.2197265625,8557.26953125,8480.33984375,8555.080078125,n/a
94,2013-07-24,8555.25,8555.25,8489.4599609375,8511.7197265625,n/a
